Wavelength (nm),Average Intensity
290.0,3.545806408
291.0,2.3481139445934263
292.0,1.5829188825
293.0,0.48536393474402195
294.0,-0.029638975855
295.0,-0.4396920139464277
296.0,-0.63317123055
297.0,-0.5734510983602469
298.0,-0.6860822141
299.0,-0.5724238115358291
300.0,-0.7013075948
301.0,-0.5358470931753827
302.0,-0.52727636695
303.0,-0.6891982150532814
304.0,-0.62581291795
305.0,-0.5393532940296761
306.0,-0.3337895274
307.0,-0.4668684391046228
308.0,-0.39376333355000004
309.0,-0.18641765261398874
310.0,0.095314621935
311.0,0.6866188562285493
312.0,2.5634727479999997
313.0,6.18188516864428
314.0,13.05305958
315.0,23.910886671460172
316.0,39.129779815000006
317.0,61.20092749782451
318.0,87.66887283
319.0,113.86477286731784
320.0,142.08351894999998
321.0,169.80680266030774
322.0,196.187027
323.0,215.53855469518516
324.0,233.45288084999999
325.0,246.60262305269356
326.0,253.74210355
327.0,262.2554729447696
328.0,264.36958315000004
329.0,267.331992658795
330.0,262.02957155
331.0,266.7671222657756
332.0,261.4299011
333.0,264.045339518037
334.0,254.46266175
335.0,251.45385582876932
336.0,246.22828675
337.0,239.2726650920916
338.0,233.7401733
339.0,228.87998982274704
340.0,221.1786957
341.0,213.94177236312174
342.0,205.9356613
343.0,203.48416106257167
344.0,197.43341064999998
345.0,186.46383506859962
346.0,178.82061764999997
347.0,173.1440945085223
348.0,166.3184433
349.0,162.7060708423541
350.0,152.69794465
351.0,150.0171791075593
352.0,143.7229614
353.0,135.18196957685996
354.0,131.460495
355.0,124.80531260077703
356.0,116.60951610000001
357.0,114.8193265844705
358.0,107.69892885
359.0,101.81032070685922
360.0,96.98025894
361.0,91.16619010154213
362.0,89.61618045353502
363.0,82.20608531212795
364.0,79.35899455535319
365.0,76.457580565
366.0,70.69341959425805
367.0,66.32094458064391
368.0,61.512843818153726
369.0,60.25722421937091
370.0,55.89144707
371.0,52.10142858601391
372.0,49.083301545
373.0,49.03508695337992
374.0,45.54961777
375.0,43.888772297263486
376.0,40.384206774999996
377.0,37.99628318326373
378.0,36.318260190000004
379.0,33.88556947377775
380.0,31.16467571
381.0,30.8611771690599
382.0,31.278592525412627
383.0,27.484095366374504
384.0,25.070949215698214
385.0,24.941462515
386.0,24.03703533044786
387.0,20.684646815279834
388.0,19.30938831470697
389.0,19.811021956512086
390.0,18.58172989
391.0,17.606997605463235
392.0,14.904852865
393.0,16.255716634807943
394.0,14.653167725
