Wavelength (nm),Average Intensity
290.0,657.0203043666667
291.0,582.1742395158309
292.0,463.3059183666667
293.0,321.0968188898046
294.0,212.5276438666667
295.0,156.09950099324817
296.0,134.88814290000002
297.0,136.06908428236252
298.0,143.1889801
299.0,151.9712517100474
300.0,158.6201223
301.0,170.0911547873486
302.0,182.47998553333332
303.0,190.74152247175743
304.0,194.70469666666668
305.0,203.73346971024012
306.0,211.24397786666665
307.0,220.03799531558198
308.0,225.8973897333333
309.0,232.4878772312536
310.0,238.76135763333332
311.0,248.11260704381255
312.0,257.91493733333334
313.0,264.0238397990767
314.0,270.98479206666667
315.0,280.3168611718651
316.0,290.9017639333333
317.0,303.42388691324214
318.0,310.0978597
319.0,323.92441490200673
320.0,330.42854816666664
321.0,335.72576464360105
322.0,336.6992696
323.0,335.33936426726683
324.0,333.6354472
325.0,333.2321235653544
326.0,331.6181640666667
327.0,329.42252960697647
328.0,331.95612589999996
329.0,333.73834031417584
330.0,337.1714884666667
331.0,332.7776621504038
332.0,334.1234130666666
333.0,332.4929679285821
334.0,333.24960326666667
335.0,331.745391659886
336.0,332.1538086
337.0,331.35765699119014
338.0,331.761851
339.0,337.51089567162677
340.0,330.6064656333333
341.0,333.8544740347714
342.0,328.40332029999996
343.0,332.09306045410926
344.0,326.3516438666666
345.0,325.7908658233767
346.0,324.20795696666664
347.0,325.4442146694568
348.0,319.05747476666664
349.0,316.5855773319482
350.0,314.30184936666666
351.0,313.7645535307722
352.0,311.90783689999995
353.0,305.85997872183606
354.0,302.30298866666664
355.0,299.8407312907902
356.0,300.1414387666667
357.0,299.82202365613426
358.0,291.1067199666666
359.0,286.2550000453789
360.0,286.35453286666666
361.0,281.7403989604514
362.0,274.9305668189675
363.0,272.84066889646425
364.0,265.4783252097944
365.0,259.4915873
366.0,255.89375824202216
367.0,248.75398099464132
368.0,246.06553382236498
369.0,244.1561845633014
370.0,236.02185566666665
371.0,232.21874965047402
372.0,227.32280983333337
373.0,222.9415945836803
374.0,220.15079246666667
