Wavelength (nm),Average Intensity
290.0,381.2510071
291.0,279.7368298602733
292.0,184.4225616
293.0,106.19989003504797
294.0,49.07462311
295.0,22.0563459449747
296.0,8.888905525
297.0,4.180799064417847
298.0,3.023045063
299.0,2.883137539004601
300.0,2.632922649
301.0,1.1551720420648692
302.0,2.226594448
303.0,1.8039311026190799
304.0,1.427928925
305.0,1.3337938905941589
306.0,1.25342226
307.0,1.9742164237407613
308.0,1.074342728
309.0,0.7837374183913608
310.0,2.681799412
311.0,4.124949257800136
312.0,7.713658333
313.0,16.42815624063121
314.0,25.24548721
315.0,40.813228280551776
316.0,54.91202545
317.0,69.33977519525894
318.0,81.66709137
319.0,87.45217934089523
320.0,83.32344818
321.0,78.24526513395902
322.0,64.85202026
323.0,52.5676808167082
324.0,40.33295441
325.0,25.779935500689565
326.0,15.68160057
327.0,10.21659738076935
328.0,6.372232437
329.0,4.439730682105406
330.0,3.123617172
331.0,2.4530826391982057
332.0,3.179641724
333.0,1.9665227929422242
334.0,1.74727869
335.0,2.032207002171332
336.0,1.910660744
337.0,1.154497982306682
338.0,1.310547352
339.0,1.7875505995479435
340.0,2.684920311
341.0,1.2796783149874313
342.0,1.498685837
343.0,0.9564561670715729
344.0,2.518878937
345.0,1.67200944367971
346.0,1.36381197
347.0,1.1343149310545617
348.0,1.001009941
349.0,1.1767290281501555
350.0,0.8272285461
351.0,0.836701943524485
352.0,0.5469727516
353.0,1.2026715112252933
354.0,1.044346333
355.0,0.3978985968023041
356.0,1.281423092
357.0,0.5230704601067311
358.0,0.8714895248
359.0,0.3650364356481718
360.0,0.2034180164
361.0,1.0653253986431506
362.0,1.1516246112998652
363.0,0.8134384083646098
364.0,0.4116622963806929
365.0,0.223000288
366.0,0.06997322576891199
367.0,-0.4972378278657092
368.0,0.36313564612835797
369.0,-0.40565839120992936
370.0,-0.7226560116
371.0,0.08323762903218179
372.0,-0.01741099358
373.0,-0.06765680926742633
374.0,-0.3214094639
375.0,-0.7436031054760956
376.0,-0.4663369656
377.0,-0.5156063858179749
378.0,-0.6626172066
379.0,-0.8145001691741824
380.0,-0.7379584312
381.0,-1.0731471474763468
382.0,-0.8055107506113285
383.0,-0.8396567373723538
384.0,-0.8901358256987761
385.0,-1.10053277
386.0,-1.28392385692322
387.0,-1.3001841279904207
388.0,-1.168619860157854
389.0,-1.4341799575903895
390.0,-1.292665124
391.0,-1.0698590225836797
392.0,-1.493425012
393.0,-1.8740874224340272
394.0,-1.34086144
395.0,-1.8616494037830575
396.0,-0.9648525715
397.0,-1.9250545659163123
398.0,-1.85385263
399.0,-1.7115886772213582
400.0,-2.006156921
401.0,-1.6916849146482797
402.0,-1.8853609945470973
403.0,-2.068505989913019
404.0,-2.124711942901569
405.0,-2.12815094
406.0,-1.9376510275473635
407.0,-1.96510805768128
408.0,-2.022364557707028
409.0,-1.8859927979750315
410.0,-2.17847681
411.0,-2.052233437373493
412.0,-2.1274344717553504
413.0,-2.426973063688325
414.0,-2.039681459246098
415.0,-2.425716162
416.0,-1.7277800666729748
417.0,-1.9049608490471381
418.0,-1.8179053495192365
