                                                                12.03.2025 16:30
________________________________________________________________________________



Curve Name:
  !&Acetaminophen
Curve Values:
          Index          Value
                       [Wg^-1]
              0     -0.0300924
              5        1.51542
             10        1.81629
             15        1.85638
             20        1.89937
             25        1.94562
             30        1.99118
             35        2.03581
             40        2.08039
             45        2.12418
             50        2.16563
             55        2.20554
             60        2.24635
             65        2.29804
             70        2.41952
             75        2.63124
             80        2.87747
             85        2.62586
             90        2.48692
             95        2.49371
            100        2.52004
            105        2.54806
            110        2.57594
            115        2.60321
            120        2.62982
            125        2.65623
            130        2.68175
            135        2.70677
            140        2.73166
            145        2.77301
            150        2.81832
            155        2.81479
            160        2.83019
            165        2.85051
            170        2.87176
            175         2.8943
            180        2.91505
            185        2.93606
            190        2.95673
            195        2.97716
            200        3.00362
            205        3.01799
            210        3.03615
            215        3.05492
            220         3.0731
            225        3.09117
            230        3.10866
            235        3.12552
            240        3.14198
            245        3.15824
            250         3.1745
            255        3.19091
            260        3.20769
            265        3.22478
            270        3.24175
            275        3.25816
            280        3.27466
            285        3.29128
            290        3.30754
            295        3.32289
            300         3.3367
            305        3.34873
            310        3.35534
            315        3.34058
            320        3.11431
            325      -0.557172
            330       -3.28729
            335      -0.810549
            340        2.30617
            345        3.24356
            350         3.4057
            355        3.44895
            360        3.47125
            365        3.48919
            370        3.50653
            375        3.52363
            380        3.54066
            385        3.55766
            390         3.5748
            395        3.59211
            400        3.60979
            405        3.62788
            410        3.64617
            415        3.66397
            420          2.849
            425        1.74589
            430         1.7477
            435        1.74146
            440        1.71245
            445        1.67479
            450        1.63545
            455         1.5967
            460        1.55956
            465         1.5243
            470        1.49161
            475        1.46096
            480        1.43186


Results:
Sample:
  Acetaminophen, 2.0000 mg


________________________________________________________________________________
Not signed                                                        STARe SW 18.00
