                                                                12.03.2025 16:50
________________________________________________________________________________



Curve Name:
  !&Blue Fabric 1
Curve Values:
          Index          Value
                       [Wg^-1]
              0     -0.0106986
              9      0.0252387
             18      -0.114107
             27      -0.120911
             36      -0.121954
             45       -0.12229
             54      -0.122394
             63      -0.122819
             72      -0.122925
             81      -0.123188
             90      -0.123791
             99      -0.124163
            108      -0.124623
            117      -0.124944
            126      -0.125633
            135      -0.126089
            144      -0.126514
            153      -0.127412
            162      -0.128513
            171      -0.129735
            180      -0.131035
            189      -0.131625
            198      -0.131994
            207      -0.132421
            216      -0.133144
            225      -0.133934
            234       -0.13487
            243      -0.135688
            252      -0.136084
            261      -0.137167
            270      -0.137913
            279      -0.138503
            288      -0.139191
            297      -0.139677
            306      -0.140191
            315      -0.140681
            324      -0.141107
            333       -0.14088
            342      -0.141244
            351      -0.147864
            360      -0.091371
            369     -0.0425005
            378      -0.041486
            387     -0.0423923
            396     -0.0428192
            405     -0.0430815
            414     -0.0423233
            423     -0.0399248
            432     -0.0367976
            441     -0.0350379
            450     -0.0357819
            459     -0.0376698
            468     -0.0413386
            477     -0.0502022
            486     -0.0868405
            495      -0.115166
            504      -0.140028
            513        -0.1951
            522     -0.0688746
            531      -0.046881
            540     -0.0520268
            549     -0.0643438
            558     -0.0837155
            567      -0.114705
            576      -0.166654
            585       -0.26581
            594      -0.571633
            603      -0.928454
            612       -1.03001
            621      -0.424732
            630      -0.171685
            639      -0.148896
            648      -0.144668
            657      -0.142694
            666      -0.141377
            675      -0.139429
            684      -0.136946
            693      -0.134756
            702      -0.132086
            711      -0.128423
            720      -0.123956
            729      -0.120231
            738      -0.117061
            747      -0.137304
            756      0.0779291
            765       0.128668
            774       0.128863
            783       0.127589
            792       0.127037
            801       0.126666
            810       0.126329


Results:
Sample:
  Blue Fabric 1, 5.0500 mg


________________________________________________________________________________
Not signed                                                        STARe SW 18.00
