                                                                12.03.2025 16:49
________________________________________________________________________________



Curve Name:
  !&White_Gus_01
Curve Values:
          Index          Value
                       [Wg^-1]
              0         1.3624
              9       -2.63412
             18       -1.57536
             27       -1.15267
             36       -1.02003
             45      -0.974386
             54      -0.956501
             63      -0.949229
             72      -0.945453
             81      -0.941715
             90      -0.939358
             99      -0.941192
            108      -0.934299
            117      -0.933065
            126       -0.93171
            135      -0.932162
            144      -0.933096
            153      -0.935556
            162      -0.941415
            171      -0.950581
            180      -0.961629
            189      -0.970544
            198      -0.974267
            207      -0.977044
            216       -0.98229
            225      -0.985456
            234      -0.987372
            243      -0.987185
            252      -0.986799
            261      -0.985317
            270      -0.984994
            279       -0.98449
            288      -0.984701
            297      -0.983463
            306      -0.979768
            315      -0.982332
            324      -0.982888
            333      -0.982489
            342      -0.980752
            351      -0.977788
            360      -0.977233
            369      -0.978027
            378      -0.978543
            387      -0.972433
            396      -0.971831
            405      -0.971763
            414      -0.972532
            423      -0.980962
            432      -0.973139
            441      -0.970302
            450      -0.964746
            459      -0.961093
            468      -0.954338
            477      -0.954256
            486      -0.955705
            495      -0.960796
            504      -0.965555
            513      -0.970729
            522      -0.976909
            531      -0.974638
            540      -0.967809
            549        -0.9638
            558      -0.960511
            567      -0.957588
            576       -0.96355
            585        -1.0031
            594       -1.27701
            603       -1.11207
            612       -1.03269
            621      -0.956074
            630      -0.937019
            639      -0.931544
            648      -0.929483
            657      -0.928341
            666      -0.926314
            675      -0.923806
            684      -0.920816
            693       -0.91902
            702       -0.92021
            711      -0.919556
            720       -0.92126
            729      -0.917727
            738      -0.916757
            747      -0.120656
            756        1.71194
            765       0.780977
            774       0.484209
            783       0.387654
            792       0.344552
            801       0.319136
            810       0.301121


Results:
Sample:
  White_Gus_01, 2.0000 mg


________________________________________________________________________________
Not signed                                                        STARe SW 18.00
