                                                                12.03.2025 16:31
________________________________________________________________________________



Curve Name:
  !&Indium
Curve Values:
          Index          Value
                       [Wg^-1]
              0    -0.00244305
              5       -1.04988
             10       -1.06958
             15      -0.826107
             20      -0.671585
             25      -0.583098
             30      -0.532078
             35      -0.501176
             40      -0.482434
             45      -0.470281
             50      -0.462077
             55      -0.456488
             60      -0.452412
             65      -0.448941
             70      -0.446229
             75      -0.444342
             80      -0.443042
             85      -0.441803
             90      -0.440702
             95      -0.439921
            100      -0.439032
            105      -0.438178
            110      -0.437408
            115      -0.436746
            120      -0.436354
            125      -0.436123
            130      -0.435794
            135      -0.435559
            140      -0.435236
            145      -0.435035
            150      -0.434773
            155      -0.434665
            160      -0.434512
            165      -0.433794
            170      -0.434028
            175      -0.434216
            180      -0.433854
            185      -0.433951
            190      -0.434256
            195      -0.434403
            200      -0.434628
            205      -0.434778
            210      -0.434986
            215      -0.435153
            220      -0.435436
            225      -0.435717
            230      -0.435644
            235      -0.435657
            240       -0.43586
            245      -0.436258
            250      -0.436568
            255      -0.436569
            260      -0.436664
            265      -0.436951
            270      -0.437425
            275      -0.437994
            280      -0.438554
            285      -0.439112
            290      -0.439677
            295      -0.440346
            300      -0.441066
            305      -0.441831
            310      -0.442648
            315      -0.443545
            320      -0.664331
            325       -3.95194
            330       -1.54434
            335      -0.640858
            340      -0.495835
            345      -0.465188
            350      -0.463876
            355      -0.501479
            360      -0.584624
            365      -0.581279
            370      -0.581333
            375       -0.58225
            380        -0.5838
            385      -0.585851
            390      -0.588001
            395      -0.590978
            400      -0.591857
            405      -0.592206
            410      -0.591944
            415      -0.591568
            420      -0.591581


Results:
Sample:
  Indium, 6.5000 mg


________________________________________________________________________________
Not signed                                                        STARe SW 18.00
