         Index             t Heat Flow ...            Ts            Tr
           [#]           [s]       [Wg^-1]          [°C]          [°C]
             0   0.00000e+00   3.01927e-01   5.00585e+01   5.00000e+01
             1   1.00000e+00   2.02845e-01   5.03727e+01   5.03333e+01
             2   2.00000e+00  -6.61598e-02   5.06538e+01   5.06667e+01
             3   3.00000e+00  -4.79653e-01   5.09066e+01   5.10000e+01
             4   4.00000e+00  -9.70663e-01   5.11439e+01   5.13333e+01
             5   5.00000e+00  -1.32240e+00   5.14082e+01   5.16667e+01
             6   6.00000e+00  -1.50119e+00   5.17061e+01   5.20000e+01
             7   7.00000e+00  -1.57801e+00   5.20239e+01   5.23333e+01
             8   8.00000e+00  -1.53753e+00   5.23647e+01   5.26667e+01
             9   9.00000e+00  -1.49000e+00   5.27069e+01   5.30000e+01
            10   1.00000e+01  -1.44299e+00   5.30490e+01   5.33333e+01
            11   1.10000e+01  -1.39763e+00   5.33909e+01   5.36667e+01
            12   1.20000e+01  -1.35473e+00   5.37322e+01   5.40000e+01
            13   1.30000e+01  -1.31342e+00   5.40733e+01   5.43333e+01
            14   1.40000e+01  -1.27468e+00   5.44139e+01   5.46667e+01
            15   1.50000e+01  -1.23796e+00   5.47541e+01   5.50000e+01
            16   1.60000e+01  -1.20688e+00   5.50933e+01   5.53333e+01
            17   1.70000e+01  -1.17872e+00   5.54318e+01   5.56667e+01
            18   1.80000e+01  -1.15380e+00   5.57697e+01   5.60000e+01
            19   1.90000e+01  -1.13097e+00   5.61073e+01   5.63333e+01
            20   2.00000e+01  -1.11221e+00   5.64440e+01   5.66667e+01
            21   2.10000e+01  -1.09522e+00   5.67804e+01   5.70000e+01
            22   2.20000e+01  -1.08010e+00   5.71164e+01   5.73333e+01
            23   2.30000e+01  -1.06623e+00   5.74522e+01   5.76667e+01
            24   2.40000e+01  -1.05474e+00   5.77875e+01   5.80000e+01
            25   2.50000e+01  -1.04425e+00   5.81226e+01   5.83333e+01
            26   2.60000e+01  -1.03495e+00   5.84575e+01   5.86667e+01
            27   2.70000e+01  -1.02643e+00   5.87922e+01   5.90000e+01
            28   2.80000e+01  -1.01921e+00   5.91267e+01   5.93333e+01
            29   2.90000e+01  -1.01276e+00   5.94610e+01   5.96667e+01
            30   3.00000e+01  -1.00709e+00   5.97952e+01   6.00000e+01
            31   3.10000e+01  -1.00173e+00   6.01293e+01   6.03333e+01
            32   3.20000e+01  -9.97090e-01   6.04632e+01   6.06667e+01
            33   3.30000e+01  -9.93146e-01   6.07971e+01   6.10000e+01
            34   3.40000e+01  -9.89591e-01   6.11308e+01   6.13333e+01
            35   3.50000e+01  -9.86272e-01   6.14645e+01   6.16667e+01
            36   3.60000e+01  -9.83426e-01   6.17981e+01   6.20000e+01
            37   3.70000e+01  -9.80819e-01   6.21317e+01   6.23333e+01
            38   3.80000e+01  -9.78546e-01   6.24651e+01   6.26667e+01
            39   3.90000e+01  -9.76531e-01   6.27986e+01   6.30000e+01
            40   4.00000e+01  -9.74771e-01   6.31320e+01   6.33333e+01
            41   4.10000e+01  -9.73068e-01   6.34653e+01   6.36667e+01
            42   4.20000e+01  -9.71496e-01   6.37987e+01   6.40000e+01
            43   4.30000e+01  -9.70026e-01   6.41320e+01   6.43333e+01
            44   4.40000e+01  -9.68771e-01   6.44653e+01   6.46667e+01
            45   4.50000e+01  -9.67669e-01   6.47985e+01   6.50000e+01
