         Index             t Heat Flow ...            Ts            Tr
           [#]           [s]       [Wg^-1]          [°C]          [°C]
             0   0.00000e+00  -1.58828e-01   4.99880e+01   5.00000e+01
             1   1.00000e+00  -2.92111e-01   5.03112e+01   5.03333e+01
             2   2.00000e+00  -7.43715e-01   5.06102e+01   5.06667e+01
             3   3.00000e+00  -1.48723e+00   5.08868e+01   5.10000e+01
             4   4.00000e+00  -2.55055e+00   5.11389e+01   5.13333e+01
             5   5.00000e+00  -3.43600e+00   5.14044e+01   5.16667e+01
             6   6.00000e+00  -4.03249e+00   5.16917e+01   5.20000e+01
             7   7.00000e+00  -4.43031e+00   5.19940e+01   5.23333e+01
             8   8.00000e+00  -4.51382e+00   5.23204e+01   5.26667e+01
             9   9.00000e+00  -4.53227e+00   5.26518e+01   5.30000e+01
            10   1.00000e+01  -4.50683e+00   5.29865e+01   5.33333e+01
            11   1.10000e+01  -4.46184e+00   5.33227e+01   5.36667e+01
            12   1.20000e+01  -4.38974e+00   5.36611e+01   5.40000e+01
            13   1.30000e+01  -4.31138e+00   5.39999e+01   5.43333e+01
            14   1.40000e+01  -4.22922e+00   5.43391e+01   5.46667e+01
            15   1.50000e+01  -4.14607e+00   5.46783e+01   5.50000e+01
            16   1.60000e+01  -4.06502e+00   5.50175e+01   5.53333e+01
            17   1.70000e+01  -3.98710e+00   5.53564e+01   5.56667e+01
            18   1.80000e+01  -3.91349e+00   5.56949e+01   5.60000e+01
            19   1.90000e+01  -3.84319e+00   5.60333e+01   5.63333e+01
            20   2.00000e+01  -3.78092e+00   5.63710e+01   5.66667e+01
            21   2.10000e+01  -3.72229e+00   5.67084e+01   5.70000e+01
            22   2.20000e+01  -3.66799e+00   5.70456e+01   5.73333e+01
            23   2.30000e+01  -3.61666e+00   5.73825e+01   5.76667e+01
            24   2.40000e+01  -3.57209e+00   5.77189e+01   5.80000e+01
            25   2.50000e+01  -3.53017e+00   5.80551e+01   5.83333e+01
            26   2.60000e+01  -3.49145e+00   5.83910e+01   5.86667e+01
            27   2.70000e+01  -3.45472e+00   5.87268e+01   5.90000e+01
            28   2.80000e+01  -3.42318e+00   5.90622e+01   5.93333e+01
            29   2.90000e+01  -3.39352e+00   5.93975e+01   5.96667e+01
            30   3.00000e+01  -3.36615e+00   5.97326e+01   6.00000e+01
            31   3.10000e+01  -3.34026e+00   6.00675e+01   6.03333e+01
            32   3.20000e+01  -3.31754e+00   6.04023e+01   6.06667e+01
            33   3.30000e+01  -3.29662e+00   6.07369e+01   6.10000e+01
            34   3.40000e+01  -3.27701e+00   6.10713e+01   6.13333e+01
            35   3.50000e+01  -3.25837e+00   6.14058e+01   6.16667e+01
            36   3.60000e+01  -3.24183e+00   6.17400e+01   6.20000e+01
            37   3.70000e+01  -3.22603e+00   6.20742e+01   6.23333e+01
            38   3.80000e+01  -3.21119e+00   6.24083e+01   6.26667e+01
            39   3.90000e+01  -3.19700e+00   6.27424e+01   6.30000e+01
            40   4.00000e+01  -3.18439e+00   6.30764e+01   6.33333e+01
