         Index             t Heat Flow ...            Ts            Tr
           [#]           [s]       [Wg^-1]          [°C]          [°C]
             0   0.00000e+00  -1.18924e-01   4.99910e+01   5.00000e+01
             1   1.00000e+00  -2.84218e-01   5.03118e+01   5.03333e+01
             2   2.00000e+00  -8.38550e-01   5.06030e+01   5.06667e+01
             3   3.00000e+00  -1.74472e+00   5.08672e+01   5.10000e+01
             4   4.00000e+00  -3.01307e+00   5.11037e+01   5.13333e+01
             5   5.00000e+00  -4.05516e+00   5.13571e+01   5.16667e+01
             6   6.00000e+00  -4.74408e+00   5.16373e+01   5.20000e+01
             7   7.00000e+00  -5.19451e+00   5.19355e+01   5.23333e+01
             8   8.00000e+00  -5.27864e+00   5.22617e+01   5.26667e+01
             9   9.00000e+00  -5.29257e+00   5.25933e+01   5.30000e+01
            10   1.00000e+01  -5.26120e+00   5.29284e+01   5.33333e+01
            11   1.10000e+01  -5.21024e+00   5.32650e+01   5.36667e+01
            12   1.20000e+01  -5.13341e+00   5.36037e+01   5.40000e+01
            13   1.30000e+01  -5.05081e+00   5.39427e+01   5.43333e+01
            14   1.40000e+01  -4.96508e+00   5.42821e+01   5.46667e+01
            15   1.50000e+01  -4.87883e+00   5.46215e+01   5.50000e+01
            16   1.60000e+01  -4.79688e+00   5.49606e+01   5.53333e+01
            17   1.70000e+01  -4.71876e+00   5.52994e+01   5.56667e+01
            18   1.80000e+01  -4.64584e+00   5.56378e+01   5.60000e+01
            19   1.90000e+01  -4.57685e+00   5.59760e+01   5.63333e+01
            20   2.00000e+01  -4.51627e+00   5.63135e+01   5.66667e+01
            21   2.10000e+01  -4.45969e+00   5.66507e+01   5.70000e+01
            22   2.20000e+01  -4.40715e+00   5.69876e+01   5.73333e+01
            23   2.30000e+01  -4.35742e+00   5.73243e+01   5.76667e+01
            24   2.40000e+01  -4.31494e+00   5.76604e+01   5.80000e+01
            25   2.50000e+01  -4.27503e+00   5.79964e+01   5.83333e+01
            26   2.60000e+01  -4.23723e+00   5.83321e+01   5.86667e+01
            27   2.70000e+01  -4.20082e+00   5.86678e+01   5.90000e+01
            28   2.80000e+01  -4.16826e+00   5.90032e+01   5.93333e+01
            29   2.90000e+01  -4.13621e+00   5.93386e+01   5.96667e+01
            30   3.00000e+01  -4.10485e+00   5.96739e+01   6.00000e+01
            31   3.10000e+01  -4.07402e+00   6.00092e+01   6.03333e+01
            32   3.20000e+01  -4.04478e+00   6.03443e+01   6.06667e+01
            33   3.30000e+01  -4.01703e+00   6.06794e+01   6.10000e+01
            34   3.40000e+01  -3.98912e+00   6.10144e+01   6.13333e+01
            35   3.50000e+01  -3.96001e+00   6.13496e+01   6.16667e+01
            36   3.60000e+01  -3.92575e+00   6.16852e+01   6.20000e+01
            37   3.70000e+01  -3.88716e+00   6.20211e+01   6.23333e+01
            38   3.80000e+01  -3.84245e+00   6.23576e+01   6.26667e+01
            39   3.90000e+01  -3.79316e+00   6.26944e+01   6.30000e+01
            40   4.00000e+01  -3.73389e+00   6.30320e+01   6.33333e+01
            41   4.10000e+01  -3.66992e+00   6.33701e+01   6.36667e+01
            42   4.20000e+01  -3.59961e+00   6.37086e+01   6.40000e+01
            43   4.30000e+01  -3.52398e+00   6.40476e+01   6.43333e+01
            44   4.40000e+01  -3.43388e+00   6.43878e+01   6.46667e+01
            45   4.50000e+01  -3.34166e+00   6.47282e+01   6.50000e+01
            46   4.60000e+01  -3.24770e+00   6.50688e+01   6.53333e+01
            47   4.70000e+01  -3.15142e+00   6.54096e+01   6.56667e+01
            48   4.80000e+01  -3.04561e+00   6.57512e+01   6.60000e+01
            49   4.90000e+01  -2.93287e+00   6.60934e+01   6.63333e+01
            50   5.00000e+01  -2.80899e+00   6.64365e+01   6.66667e+01
            51   5.10000e+01  -2.67689e+00   6.67803e+01   6.70000e+01
            52   5.20000e+01  -2.52541e+00   6.71257e+01   6.73333e+01
            53   5.30000e+01  -2.37555e+00   6.74711e+01   6.76667e+01
            54   5.40000e+01  -2.23988e+00   6.78153e+01   6.80000e+01
            55   5.50000e+01  -2.11819e+00   6.81584e+01   6.83333e+01
            56   5.60000e+01  -2.00437e+00   6.85009e+01   6.86667e+01
            57   5.70000e+01  -1.88103e+00   6.88442e+01   6.90000e+01
            58   5.80000e+01  -1.74877e+00   6.91883e+01   6.93333e+01
            59   5.90000e+01  -1.61437e+00   6.95325e+01   6.96667e+01
            60   6.00000e+01  -1.50378e+00   6.98749e+01   7.00000e+01
            61   6.10000e+01  -1.39953e+00   7.02167e+01   7.03333e+01
            62   6.20000e+01  -1.29607e+00   7.05585e+01   7.06667e+01
            63   6.30000e+01  -1.19152e+00   7.09004e+01   7.10000e+01
            64   6.40000e+01  -1.09554e+00   7.12416e+01   7.13333e+01
            65   6.50000e+01  -1.02126e+00   7.15810e+01   7.16667e+01
            66   6.60000e+01  -9.87740e-01   7.19171e+01   7.20000e+01
            67   6.70000e+01  -9.85962e-01   7.22504e+01   7.23333e+01
            68   6.80000e+01  -1.06475e+00   7.25770e+01   7.26667e+01
            69   6.90000e+01  -1.16685e+00   7.29016e+01   7.30000e+01
            70   7.00000e+01  -1.28741e+00   7.32246e+01   7.33333e+01
            71   7.10000e+01  -1.42150e+00   7.35464e+01   7.36667e+01
            72   7.20000e+01  -1.57763e+00   7.38664e+01   7.40000e+01
            73   7.30000e+01  -1.73837e+00   7.41859e+01   7.43333e+01
            74   7.40000e+01  -1.90201e+00   7.45051e+01   7.46667e+01
            75   7.50000e+01  -2.06391e+00   7.48244e+01   7.50000e+01
            76   7.60000e+01  -2.20924e+00   7.51451e+01   7.53333e+01
            77   7.70000e+01  -2.34107e+00   7.54669e+01   7.56667e+01
            78   7.80000e+01  -2.45882e+00   7.57898e+01   7.60000e+01
            79   7.90000e+01  -2.56897e+00   7.61134e+01   7.63333e+01
            80   8.00000e+01  -2.66175e+00   7.64385e+01   7.66667e+01
            81   8.10000e+01  -2.74753e+00   7.67641e+01   7.70000e+01
            82   8.20000e+01  -2.82574e+00   7.70904e+01   7.73333e+01
            83   8.30000e+01  -2.89845e+00   7.74171e+01   7.76667e+01
            84   8.40000e+01  -2.96387e+00   7.77444e+01   7.80000e+01
            85   8.50000e+01  -3.02621e+00   7.80720e+01   7.83333e+01
            86   8.60000e+01  -3.08590e+00   7.83998e+01   7.86667e+01
            87   8.70000e+01  -3.14328e+00   7.87278e+01   7.90000e+01
            88   8.80000e+01  -3.19700e+00   7.90561e+01   7.93333e+01
            89   8.90000e+01  -3.25023e+00   7.93844e+01   7.96667e+01
            90   9.00000e+01  -3.30262e+00   7.97127e+01   8.00000e+01
            91   9.10000e+01  -3.35445e+00   8.00411e+01   8.03333e+01
            92   9.20000e+01  -3.40359e+00   8.03697e+01   8.06667e+01
            93   9.30000e+01  -3.45312e+00   8.06983e+01   8.10000e+01
            94   9.40000e+01  -3.50235e+00   8.10269e+01   8.13333e+01
            95   9.50000e+01  -3.55038e+00   8.13556e+01   8.16667e+01
            96   9.60000e+01  -3.58458e+00   8.16855e+01   8.20000e+01
            97   9.70000e+01  -3.61073e+00   8.20161e+01   8.23333e+01
            98   9.80000e+01  -3.62941e+00   8.23473e+01   8.26667e+01
            99   9.90000e+01  -3.64409e+00   8.26789e+01   8.30000e+01
           100   1.00000e+02  -3.65235e+00   8.30110e+01   8.33333e+01
           101   1.01000e+02  -3.65873e+00   8.33433e+01   8.36667e+01
           102   1.02000e+02  -3.66305e+00   8.36758e+01   8.40000e+01
           103   1.03000e+02  -3.66596e+00   8.40084e+01   8.43333e+01
           104   1.04000e+02  -3.66740e+00   8.43411e+01   8.46667e+01
           105   1.05000e+02  -3.66843e+00   8.46739e+01   8.50000e+01
           106   1.06000e+02  -3.66900e+00   8.50067e+01   8.53333e+01
           107   1.07000e+02  -3.66939e+00   8.53396e+01   8.56667e+01
           108   1.08000e+02  -3.66987e+00   8.56724e+01   8.60000e+01
           109   1.09000e+02  -3.67035e+00   8.60052e+01   8.63333e+01
           110   1.10000e+02  -3.67086e+00   8.63381e+01   8.66667e+01
           111   1.11000e+02  -3.67114e+00   8.66709e+01   8.70000e+01
           112   1.12000e+02  -3.67091e+00   8.70038e+01   8.73333e+01
           113   1.13000e+02  -3.67070e+00   8.73367e+01   8.76667e+01
           114   1.14000e+02  -3.67063e+00   8.76695e+01   8.80000e+01
           115   1.15000e+02  -3.67057e+00   8.80024e+01   8.83333e+01
           116   1.16000e+02  -3.67052e+00   8.83353e+01   8.86667e+01
           117   1.17000e+02  -3.67043e+00   8.86682e+01   8.90000e+01
           118   1.18000e+02  -3.67033e+00   8.90011e+01   8.93333e+01
           119   1.19000e+02  -3.67036e+00   8.93339e+01   8.96667e+01
           120   1.20000e+02  -3.67034e+00   8.96668e+01   9.00000e+01
           121   1.21000e+02  -3.66977e+00   8.99997e+01   9.03333e+01
           122   1.22000e+02  -3.66847e+00   9.03327e+01   9.06667e+01
           123   1.23000e+02  -3.66677e+00   9.06657e+01   9.10000e+01
           124   1.24000e+02  -3.66532e+00   9.09988e+01   9.13333e+01
           125   1.25000e+02  -3.66485e+00   9.13317e+01   9.16667e+01
           126   1.26000e+02  -3.66597e+00   9.16644e+01   9.20000e+01
           127   1.27000e+02  -3.66740e+00   9.19972e+01   9.23333e+01
           128   1.28000e+02  -3.66836e+00   9.23300e+01   9.26667e+01
           129   1.29000e+02  -3.66882e+00   9.26628e+01   9.30000e+01
           130   1.30000e+02  -3.66866e+00   9.29957e+01   9.33333e+01
           131   1.31000e+02  -3.66814e+00   9.33286e+01   9.36667e+01
