         Index             t Heat Flow ...            Ts            Tr
           [#]           [s]       [Wg^-1]          [°C]          [°C]
             0   0.00000e+00   1.87853e-02   5.00013e+01   5.00000e+01
             1   1.00000e+00   2.16819e-02   5.03348e+01   5.03333e+01
             2   2.00000e+00  -1.66284e-02   5.06655e+01   5.06667e+01
             3   3.00000e+00  -1.05025e-01   5.09928e+01   5.10000e+01
             4   4.00000e+00  -2.65016e-01   5.13152e+01   5.13333e+01
             5   5.00000e+00  -4.11190e-01   5.16384e+01   5.16667e+01
             6   6.00000e+00  -5.26914e-01   5.19638e+01   5.20000e+01
             7   7.00000e+00  -6.19960e-01   5.22906e+01   5.23333e+01
             8   8.00000e+00  -6.74491e-01   5.26201e+01   5.26667e+01
             9   9.00000e+00  -7.19464e-01   5.29503e+01   5.30000e+01
            10   1.00000e+01  -7.56549e-01   5.32810e+01   5.33333e+01
            11   1.10000e+01  -7.89278e-01   5.36119e+01   5.36667e+01
            12   1.20000e+01  -8.13655e-01   5.39435e+01   5.40000e+01
            13   1.30000e+01  -8.34136e-01   5.42753e+01   5.43333e+01
            14   1.40000e+01  -8.50840e-01   5.46074e+01   5.46667e+01
            15   1.50000e+01  -8.65370e-01   5.49396e+01   5.50000e+01
            16   1.60000e+01  -8.76080e-01   5.52721e+01   5.53333e+01
            17   1.70000e+01  -8.85241e-01   5.56047e+01   5.56667e+01
            18   1.80000e+01  -8.93361e-01   5.59374e+01   5.60000e+01
            19   1.90000e+01  -9.00693e-01   5.62701e+01   5.63333e+01
            20   2.00000e+01  -9.06612e-01   5.66029e+01   5.66667e+01
            21   2.10000e+01  -9.12186e-01   5.69357e+01   5.70000e+01
            22   2.20000e+01  -9.17152e-01   5.72686e+01   5.73333e+01
            23   2.30000e+01  -9.21660e-01   5.76015e+01   5.76667e+01
            24   2.40000e+01  -9.25815e-01   5.79345e+01   5.80000e+01
            25   2.50000e+01  -9.29519e-01   5.82674e+01   5.83333e+01
            26   2.60000e+01  -9.32706e-01   5.86004e+01   5.86667e+01
            27   2.70000e+01  -9.35666e-01   5.89334e+01   5.90000e+01
            28   2.80000e+01  -9.38359e-01   5.92665e+01   5.93333e+01
            29   2.90000e+01  -9.41177e-01   5.95995e+01   5.96667e+01
            30   3.00000e+01  -9.43918e-01   5.99325e+01   6.00000e+01
            31   3.10000e+01  -9.46579e-01   6.02656e+01   6.03333e+01
            32   3.20000e+01  -9.49013e-01   6.05986e+01   6.06667e+01
            33   3.30000e+01  -9.51468e-01   6.09317e+01   6.10000e+01
            34   3.40000e+01  -9.53882e-01   6.12647e+01   6.13333e+01
            35   3.50000e+01  -9.56329e-01   6.15978e+01   6.16667e+01
            36   3.60000e+01  -9.58262e-01   6.19309e+01   6.20000e+01
            37   3.70000e+01  -9.60245e-01   6.22639e+01   6.23333e+01
            38   3.80000e+01  -9.62162e-01   6.25970e+01   6.26667e+01
            39   3.90000e+01  -9.64045e-01   6.29301e+01   6.30000e+01
            40   4.00000e+01  -9.65688e-01   6.32632e+01   6.33333e+01
            41   4.10000e+01  -9.67350e-01   6.35963e+01   6.36667e+01
            42   4.20000e+01  -9.68990e-01   6.39294e+01   6.40000e+01
            43   4.30000e+01  -9.70603e-01   6.42625e+01   6.43333e+01
            44   4.40000e+01  -9.72080e-01   6.45957e+01   6.46667e+01
            45   4.50000e+01  -9.73666e-01   6.49288e+01   6.50000e+01
            46   4.60000e+01  -9.75281e-01   6.52619e+01   6.53333e+01
