         Index             t Heat Flow ...            Ts            Tr
           [#]           [s]       [Wg^-1]          [°C]          [°C]
             0   0.00000e+00  -3.72543e-02   4.99957e+01   5.00000e+01
             1   1.00000e+00  -4.81768e-02   5.03278e+01   5.03333e+01
             2   2.00000e+00  -7.74062e-02   5.06577e+01   5.06667e+01
             3   3.00000e+00  -1.27079e-01   5.09853e+01   5.10000e+01
             4   4.00000e+00  -2.26765e-01   5.13071e+01   5.13333e+01
             5   5.00000e+00  -3.28268e-01   5.16286e+01   5.16667e+01
             6   6.00000e+00  -4.16296e-01   5.19516e+01   5.20000e+01
             7   7.00000e+00  -4.89941e-01   5.22763e+01   5.23333e+01
             8   8.00000e+00  -5.30674e-01   5.26048e+01   5.26667e+01
             9   9.00000e+00  -5.60348e-01   5.29346e+01   5.30000e+01
            10   1.00000e+01  -5.81139e-01   5.32654e+01   5.33333e+01
            11   1.10000e+01  -5.97328e-01   5.35967e+01   5.36667e+01
            12   1.20000e+01  -6.06797e-01   5.39288e+01   5.40000e+01
            13   1.30000e+01  -6.13878e-01   5.42612e+01   5.43333e+01
            14   1.40000e+01  -6.18689e-01   5.45938e+01   5.46667e+01
            15   1.50000e+01  -6.22054e-01   5.49266e+01   5.50000e+01
            16   1.60000e+01  -6.24082e-01   5.52596e+01   5.53333e+01
            17   1.70000e+01  -6.25176e-01   5.55927e+01   5.56667e+01
            18   1.80000e+01  -6.25835e-01   5.59258e+01   5.60000e+01
            19   1.90000e+01  -6.26384e-01   5.62590e+01   5.63333e+01
            20   2.00000e+01  -6.26482e-01   5.65922e+01   5.66667e+01
            21   2.10000e+01  -6.26647e-01   5.69254e+01   5.70000e+01
            22   2.20000e+01  -6.26737e-01   5.72586e+01   5.73333e+01
            23   2.30000e+01  -6.26841e-01   5.75918e+01   5.76667e+01
            24   2.40000e+01  -6.26757e-01   5.79250e+01   5.80000e+01
            25   2.50000e+01  -6.26711e-01   5.82582e+01   5.83333e+01
            26   2.60000e+01  -6.26672e-01   5.85915e+01   5.86667e+01
            27   2.70000e+01  -6.26634e-01   5.89247e+01   5.90000e+01
            28   2.80000e+01  -6.26504e-01   5.92579e+01   5.93333e+01
            29   2.90000e+01  -6.26409e-01   5.95911e+01   5.96667e+01
            30   3.00000e+01  -6.26323e-01   5.99244e+01   6.00000e+01
            31   3.10000e+01  -6.26248e-01   6.02576e+01   6.03333e+01
            32   3.20000e+01  -6.26181e-01   6.05908e+01   6.06667e+01
            33   3.30000e+01  -6.26111e-01   6.09240e+01   6.10000e+01
            34   3.40000e+01  -6.26040e-01   6.12573e+01   6.13333e+01
            35   3.50000e+01  -6.25965e-01   6.15905e+01   6.16667e+01
            36   3.60000e+01  -6.25870e-01   6.19237e+01   6.20000e+01
            37   3.70000e+01  -6.25781e-01   6.22569e+01   6.23333e+01
            38   3.80000e+01  -6.25697e-01   6.25902e+01   6.26667e+01
            39   3.90000e+01  -6.25610e-01   6.29234e+01   6.30000e+01
            40   4.00000e+01  -6.25508e-01   6.32566e+01   6.33333e+01
            41   4.10000e+01  -6.25432e-01   6.35898e+01   6.36667e+01
            42   4.20000e+01  -6.25360e-01   6.39231e+01   6.40000e+01
            43   4.30000e+01  -6.25282e-01   6.42563e+01   6.43333e+01
            44   4.40000e+01  -6.25237e-01   6.45895e+01   6.46667e+01
            45   4.50000e+01  -6.25181e-01   6.49227e+01   6.50000e+01
            46   4.60000e+01  -6.25115e-01   6.52560e+01   6.53333e+01
            47   4.70000e+01  -6.25038e-01   6.55892e+01   6.56667e+01
            48   4.80000e+01  -6.24969e-01   6.59224e+01   6.60000e+01
            49   4.90000e+01  -6.24899e-01   6.62556e+01   6.63333e+01
            50   5.00000e+01  -6.24819e-01   6.65888e+01   6.66667e+01
            51   5.10000e+01  -6.24744e-01   6.69221e+01   6.70000e+01
            52   5.20000e+01  -6.24641e-01   6.72553e+01   6.73333e+01
            53   5.30000e+01  -6.24533e-01   6.75885e+01   6.76667e+01
            54   5.40000e+01  -6.24425e-01   6.79217e+01   6.80000e+01
            55   5.50000e+01  -6.24320e-01   6.82550e+01   6.83333e+01
            56   5.60000e+01  -6.24216e-01   6.85882e+01   6.86667e+01
            57   5.70000e+01  -6.24116e-01   6.89214e+01   6.90000e+01
            58   5.80000e+01  -6.24012e-01   6.92547e+01   6.93333e+01
            59   5.90000e+01  -6.23905e-01   6.95879e+01   6.96667e+01
            60   6.00000e+01  -6.23786e-01   6.99211e+01   7.00000e+01
            61   6.10000e+01  -6.23625e-01   7.02543e+01   7.03333e+01
            62   6.20000e+01  -6.23418e-01   7.05876e+01   7.06667e+01
            63   6.30000e+01  -6.23170e-01   7.09208e+01   7.10000e+01
            64   6.40000e+01  -6.22793e-01   7.12541e+01   7.13333e+01
            65   6.50000e+01  -6.22452e-01   7.15873e+01   7.16667e+01
            66   6.60000e+01  -6.22001e-01   7.19206e+01   7.20000e+01
            67   6.70000e+01  -6.21469e-01   7.22539e+01   7.23333e+01
            68   6.80000e+01  -6.20802e-01   7.25872e+01   7.26667e+01
            69   6.90000e+01  -6.20056e-01   7.29205e+01   7.30000e+01
            70   7.00000e+01  -6.18950e-01   7.32539e+01   7.33333e+01
            71   7.10000e+01  -6.17533e-01   7.35873e+01   7.36667e+01
            72   7.20000e+01  -6.15796e-01   7.39207e+01   7.40000e+01
            73   7.30000e+01  -6.13969e-01   7.42542e+01   7.43333e+01
            74   7.40000e+01  -6.11713e-01   7.45877e+01   7.46667e+01
            75   7.50000e+01  -6.09192e-01   7.49212e+01   7.50000e+01
            76   7.60000e+01  -6.05767e-01   7.52549e+01   7.53333e+01
            77   7.70000e+01  -6.01962e-01   7.55886e+01   7.56667e+01
            78   7.80000e+01  -5.97439e-01   7.59224e+01   7.60000e+01
            79   7.90000e+01  -5.92067e-01   7.62563e+01   7.63333e+01
            80   8.00000e+01  -5.85516e-01   7.65904e+01   7.66667e+01
            81   8.10000e+01  -5.77658e-01   7.69246e+01   7.70000e+01
            82   8.20000e+01  -5.68470e-01   7.72590e+01   7.73333e+01
            83   8.30000e+01  -5.58399e-01   7.75936e+01   7.76667e+01
            84   8.40000e+01  -5.45438e-01   7.79285e+01   7.80000e+01
            85   8.50000e+01  -5.30804e-01   7.82637e+01   7.83333e+01
            86   8.60000e+01  -5.13986e-01   7.85991e+01   7.86667e+01
            87   8.70000e+01  -4.95463e-01   7.89348e+01   7.90000e+01
            88   8.80000e+01  -4.72273e-01   7.92711e+01   7.93333e+01
            89   8.90000e+01  -4.46526e-01   7.96077e+01   7.96667e+01
            90   9.00000e+01  -4.17442e-01   7.99448e+01   8.00000e+01
            91   9.10000e+01  -3.85959e-01   8.02822e+01   8.03333e+01
            92   9.20000e+01  -3.47441e-01   8.06206e+01   8.06667e+01
            93   9.30000e+01  -3.04609e-01   8.09595e+01   8.10000e+01
            94   9.40000e+01  -2.56473e-01   8.12992e+01   8.13333e+01
            95   9.50000e+01  -2.04474e-01   8.16394e+01   8.16667e+01
            96   9.60000e+01  -1.42744e-01   8.19810e+01   8.20000e+01
            97   9.70000e+01  -7.58768e-02   8.23232e+01   8.23333e+01
            98   9.80000e+01  -2.97382e-03   8.26663e+01   8.26667e+01
            99   9.90000e+01   7.45764e-02   8.30100e+01   8.30000e+01
           100   1.00000e+02   1.66226e-01   8.33556e+01   8.33333e+01
           101   1.01000e+02   2.66345e-01   8.37024e+01   8.36667e+01
           102   1.02000e+02   3.77260e-01   8.40508e+01   8.40000e+01
           103   1.03000e+02   4.96044e-01   8.44002e+01   8.43333e+01
           104   1.04000e+02   6.37282e-01   8.47526e+01   8.46667e+01
           105   1.05000e+02   7.93052e-01   8.51071e+01   8.50000e+01
           106   1.06000e+02   9.67171e-01   8.54642e+01   8.53333e+01
           107   1.07000e+02   1.15369e+00   8.58230e+01   8.56667e+01
           108   1.08000e+02   1.36817e+00   8.61856e+01   8.60000e+01
           109   1.09000e+02   1.59914e+00   8.65506e+01   8.63333e+01
           110   1.10000e+02   1.85120e+00   8.69186e+01   8.66667e+01
           111   1.11000e+02   2.11784e+00   8.72886e+01   8.70000e+01
           112   1.12000e+02   2.41645e+00   8.76631e+01   8.73333e+01
           113   1.13000e+02   2.73085e+00   8.80398e+01   8.76667e+01
           114   1.14000e+02   3.05321e+00   8.84178e+01   8.80000e+01
           115   1.15000e+02   3.37418e+00   8.87957e+01   8.83333e+01
           116   1.16000e+02   3.65206e+00   8.91678e+01   8.86667e+01
           117   1.17000e+02   3.88545e+00   8.95339e+01   8.90000e+01
           118   1.18000e+02   4.08447e+00   8.98954e+01   8.93333e+01
           119   1.19000e+02   4.27007e+00   9.02551e+01   8.96667e+01
           120   1.20000e+02   4.42093e+00   9.06100e+01   9.00000e+01
           121   1.21000e+02   4.50888e+00   9.09564e+01   9.03333e+01
           122   1.22000e+02   4.50484e+00   9.12900e+01   9.06667e+01
           123   1.23000e+02   4.44055e+00   9.16153e+01   9.10000e+01
           124   1.24000e+02   4.26195e+00   9.19247e+01   9.13333e+01
           125   1.25000e+02   4.03651e+00   9.22275e+01   9.16667e+01
           126   1.26000e+02   3.77491e+00   9.25252e+01   9.20000e+01
           127   1.27000e+02   3.49625e+00   9.28204e+01   9.23333e+01
           128   1.28000e+02   3.20126e+00   9.31133e+01   9.26667e+01
           129   1.29000e+02   2.90146e+00   9.34053e+01   9.30000e+01
           130   1.30000e+02   2.59886e+00   9.36969e+01   9.33333e+01
           131   1.31000e+02   2.29724e+00   9.39885e+01   9.36667e+01
           132   1.32000e+02   2.00284e+00   9.42809e+01   9.40000e+01
           133   1.33000e+02   1.70880e+00   9.45734e+01   9.43333e+01
           134   1.34000e+02   1.42476e+00   9.48671e+01   9.46667e+01
           135   1.35000e+02   1.15597e+00   9.51628e+01   9.50000e+01
           136   1.36000e+02   9.44881e-01   9.54666e+01   9.53333e+01
           137   1.37000e+02   7.63749e-01   9.57745e+01   9.56667e+01
           138   1.38000e+02   6.13865e-01   9.60868e+01   9.60000e+01
           139   1.39000e+02   4.83206e-01   9.64018e+01   9.63333e+01
           140   1.40000e+02   3.80151e-01   9.67206e+01   9.66667e+01
           141   1.41000e+02   2.85819e-01   9.70406e+01   9.70000e+01
           142   1.42000e+02   2.03454e-01   9.73623e+01   9.73333e+01
           143   1.43000e+02   1.29751e-01   9.76851e+01   9.76667e+01
           144   1.44000e+02   7.59711e-02   9.80108e+01   9.80000e+01
           145   1.45000e+02   3.11754e-02   9.83378e+01   9.83333e+01
           146   1.46000e+02  -6.27327e-03   9.86658e+01   9.86667e+01
           147   1.47000e+02  -4.04619e-02   9.89942e+01   9.90000e+01
           148   1.48000e+02  -6.93394e-02   9.93234e+01   9.93333e+01
           149   1.49000e+02  -9.56996e-02   9.96529e+01   9.96667e+01
           150   1.50000e+02  -1.19462e-01   9.99828e+01   1.00000e+02
           151   1.51000e+02  -1.41452e-01   1.00313e+02   1.00333e+02
           152   1.52000e+02  -1.58651e-01   1.00644e+02   1.00667e+02
           153   1.53000e+02  -1.74136e-01   1.00975e+02   1.01000e+02
           154   1.54000e+02  -1.90324e-01   1.01306e+02   1.01333e+02
           155   1.55000e+02  -2.07582e-01   1.01637e+02   1.01667e+02
           156   1.56000e+02  -2.26636e-01   1.01967e+02   1.02000e+02
           157   1.57000e+02  -2.45795e-01   1.02298e+02   1.02333e+02
           158   1.58000e+02  -2.64850e-01   1.02628e+02   1.02667e+02
           159   1.59000e+02  -2.83183e-01   1.02959e+02   1.03000e+02
           160   1.60000e+02  -2.99068e-01   1.03290e+02   1.03333e+02
           161   1.61000e+02  -3.13593e-01   1.03621e+02   1.03667e+02
           162   1.62000e+02  -3.26741e-01   1.03952e+02   1.04000e+02
           163   1.63000e+02  -3.39386e-01   1.04284e+02   1.04333e+02
           164   1.64000e+02  -3.51083e-01   1.04615e+02   1.04667e+02
           165   1.65000e+02  -3.62429e-01   1.04947e+02   1.05000e+02
           166   1.66000e+02  -3.73191e-01   1.05279e+02   1.05333e+02
           167   1.67000e+02  -3.83482e-01   1.05610e+02   1.05667e+02
           168   1.68000e+02  -3.92617e-01   1.05942e+02   1.06000e+02
           169   1.69000e+02  -4.00876e-01   1.06274e+02   1.06333e+02
           170   1.70000e+02  -4.08538e-01   1.06606e+02   1.06667e+02
           171   1.71000e+02  -4.15778e-01   1.06939e+02   1.07000e+02
           172   1.72000e+02  -4.22039e-01   1.07271e+02   1.07333e+02
           173   1.73000e+02  -4.27893e-01   1.07603e+02   1.07667e+02
           174   1.74000e+02  -4.33254e-01   1.07936e+02   1.08000e+02
           175   1.75000e+02  -4.38322e-01   1.08268e+02   1.08333e+02
           176   1.76000e+02  -4.42732e-01   1.08601e+02   1.08667e+02
           177   1.77000e+02  -4.47085e-01   1.08934e+02   1.09000e+02
           178   1.78000e+02  -4.51258e-01   1.09266e+02   1.09333e+02
           179   1.79000e+02  -4.55361e-01   1.09599e+02   1.09667e+02
           180   1.80000e+02  -4.58758e-01   1.09932e+02   1.10000e+02
           181   1.81000e+02  -4.62159e-01   1.10264e+02   1.10333e+02
           182   1.82000e+02  -4.65402e-01   1.10597e+02   1.10667e+02
           183   1.83000e+02  -4.68615e-01   1.10930e+02   1.11000e+02
           184   1.84000e+02  -4.71627e-01   1.11263e+02   1.11333e+02
           185   1.85000e+02  -4.74659e-01   1.11595e+02   1.11667e+02
           186   1.86000e+02  -4.77498e-01   1.11928e+02   1.12000e+02
           187   1.87000e+02  -4.80167e-01   1.12261e+02   1.12333e+02
           188   1.88000e+02  -4.82667e-01   1.12594e+02   1.12667e+02
           189   1.89000e+02  -4.85258e-01   1.12927e+02   1.13000e+02
           190   1.90000e+02  -4.87818e-01   1.13260e+02   1.13333e+02
           191   1.91000e+02  -4.90336e-01   1.13592e+02   1.13667e+02
           192   1.92000e+02  -4.92715e-01   1.13925e+02   1.14000e+02
           193   1.93000e+02  -4.95101e-01   1.14258e+02   1.14333e+02
           194   1.94000e+02  -4.97468e-01   1.14591e+02   1.14667e+02
           195   1.95000e+02  -4.99854e-01   1.14924e+02   1.15000e+02
           196   1.96000e+02  -5.01940e-01   1.15257e+02   1.15333e+02
           197   1.97000e+02  -5.04069e-01   1.15590e+02   1.15667e+02
           198   1.98000e+02  -5.06005e-01   1.15923e+02   1.16000e+02
           199   1.99000e+02  -5.07797e-01   1.16256e+02   1.16333e+02
           200   2.00000e+02  -5.09211e-01   1.16589e+02   1.16667e+02
           201   2.01000e+02  -5.10586e-01   1.16922e+02   1.17000e+02
           202   2.02000e+02  -5.11799e-01   1.17255e+02   1.17333e+02
           203   2.03000e+02  -5.12876e-01   1.17588e+02   1.17667e+02
           204   2.04000e+02  -5.13614e-01   1.17921e+02   1.18000e+02
           205   2.05000e+02  -5.14471e-01   1.18254e+02   1.18333e+02
           206   2.06000e+02  -5.15395e-01   1.18587e+02   1.18667e+02
           207   2.07000e+02  -5.16325e-01   1.18920e+02   1.19000e+02
           208   2.08000e+02  -5.17293e-01   1.19253e+02   1.19333e+02
           209   2.09000e+02  -5.18269e-01   1.19587e+02   1.19667e+02
           210   2.10000e+02  -5.19354e-01   1.19920e+02   1.20000e+02
           211   2.11000e+02  -5.20533e-01   1.20253e+02   1.20333e+02
           212   2.12000e+02  -5.21811e-01   1.20586e+02   1.20667e+02
           213   2.13000e+02  -5.23068e-01   1.20919e+02   1.21000e+02
           214   2.14000e+02  -5.24346e-01   1.21252e+02   1.21333e+02
           215   2.15000e+02  -5.25642e-01   1.21585e+02   1.21667e+02
           216   2.16000e+02  -5.27049e-01   1.21918e+02   1.22000e+02
           217   2.17000e+02  -5.28418e-01   1.22251e+02   1.22333e+02
           218   2.18000e+02  -5.29776e-01   1.22584e+02   1.22667e+02
           219   2.19000e+02  -5.31138e-01   1.22917e+02   1.23000e+02
           220   2.20000e+02  -5.32570e-01   1.23250e+02   1.23333e+02
           221   2.21000e+02  -5.33978e-01   1.23583e+02   1.23667e+02
           222   2.22000e+02  -5.35380e-01   1.23916e+02   1.24000e+02
           223   2.23000e+02  -5.36779e-01   1.24249e+02   1.24333e+02
           224   2.24000e+02  -5.38138e-01   1.24582e+02   1.24667e+02
           225   2.25000e+02  -5.39458e-01   1.24915e+02   1.25000e+02
           226   2.26000e+02  -5.40742e-01   1.25248e+02   1.25333e+02
           227   2.27000e+02  -5.42009e-01   1.25581e+02   1.25667e+02
           228   2.28000e+02  -5.43152e-01   1.25914e+02   1.26000e+02
           229   2.29000e+02  -5.44323e-01   1.26247e+02   1.26333e+02
           230   2.30000e+02  -5.45487e-01   1.26580e+02   1.26667e+02
           231   2.31000e+02  -5.46640e-01   1.26913e+02   1.27000e+02
           232   2.32000e+02  -5.47705e-01   1.27246e+02   1.27333e+02
           233   2.33000e+02  -5.48765e-01   1.27579e+02   1.27667e+02
           234   2.34000e+02  -5.49805e-01   1.27913e+02   1.28000e+02
           235   2.35000e+02  -5.50830e-01   1.28246e+02   1.28333e+02
           236   2.36000e+02  -5.51731e-01   1.28579e+02   1.28667e+02
           237   2.37000e+02  -5.52636e-01   1.28912e+02   1.29000e+02
           238   2.38000e+02  -5.53509e-01   1.29245e+02   1.29333e+02
           239   2.39000e+02  -5.54350e-01   1.29578e+02   1.29667e+02
           240   2.40000e+02  -5.55047e-01   1.29911e+02   1.30000e+02
           241   2.41000e+02  -5.55761e-01   1.30244e+02   1.30333e+02
           242   2.42000e+02  -5.56434e-01   1.30577e+02   1.30667e+02
           243   2.43000e+02  -5.57063e-01   1.30910e+02   1.31000e+02
           244   2.44000e+02  -5.57532e-01   1.31244e+02   1.31333e+02
           245   2.45000e+02  -5.58051e-01   1.31577e+02   1.31667e+02
           246   2.46000e+02  -5.58549e-01   1.31910e+02   1.32000e+02
           247   2.47000e+02  -5.59020e-01   1.32243e+02   1.32333e+02
           248   2.48000e+02  -5.59357e-01   1.32576e+02   1.32667e+02
           249   2.49000e+02  -5.59723e-01   1.32909e+02   1.33000e+02
           250   2.50000e+02  -5.60074e-01   1.33243e+02   1.33333e+02
           251   2.51000e+02  -5.60416e-01   1.33576e+02   1.33667e+02
           252   2.52000e+02  -5.60677e-01   1.33909e+02   1.34000e+02
           253   2.53000e+02  -5.60967e-01   1.34242e+02   1.34333e+02
           254   2.54000e+02  -5.61258e-01   1.34575e+02   1.34667e+02
           255   2.55000e+02  -5.61549e-01   1.34909e+02   1.35000e+02
           256   2.56000e+02  -5.61819e-01   1.35242e+02   1.35333e+02
           257   2.57000e+02  -5.62088e-01   1.35575e+02   1.35667e+02
           258   2.58000e+02  -5.62354e-01   1.35908e+02   1.36000e+02
           259   2.59000e+02  -5.62614e-01   1.36241e+02   1.36333e+02
           260   2.60000e+02  -5.62832e-01   1.36575e+02   1.36667e+02
           261   2.61000e+02  -5.63034e-01   1.36908e+02   1.37000e+02
           262   2.62000e+02  -5.63203e-01   1.37241e+02   1.37333e+02
           263   2.63000e+02  -5.63348e-01   1.37574e+02   1.37667e+02
           264   2.64000e+02  -5.63403e-01   1.37907e+02   1.38000e+02
           265   2.65000e+02  -5.63490e-01   1.38241e+02   1.38333e+02
           266   2.66000e+02  -5.63577e-01   1.38574e+02   1.38667e+02
           267   2.67000e+02  -5.63659e-01   1.38907e+02   1.39000e+02
           268   2.68000e+02  -5.63669e-01   1.39240e+02   1.39333e+02
           269   2.69000e+02  -5.63708e-01   1.39573e+02   1.39667e+02
           270   2.70000e+02  -5.63764e-01   1.39907e+02   1.40000e+02
           271   2.71000e+02  -5.63828e-01   1.40240e+02   1.40333e+02
           272   2.72000e+02  -5.63899e-01   1.40573e+02   1.40667e+02
           273   2.73000e+02  -5.64001e-01   1.40906e+02   1.41000e+02
           274   2.74000e+02  -5.64129e-01   1.41240e+02   1.41333e+02
           275   2.75000e+02  -5.64340e-01   1.41573e+02   1.41667e+02
           276   2.76000e+02  -5.64615e-01   1.41906e+02   1.42000e+02
           277   2.77000e+02  -5.65032e-01   1.42239e+02   1.42333e+02
           278   2.78000e+02  -5.65842e-01   1.42572e+02   1.42667e+02
           279   2.79000e+02  -5.66826e-01   1.42905e+02   1.43000e+02
           280   2.80000e+02  -5.68455e-01   1.43238e+02   1.43333e+02
           281   2.81000e+02  -5.67413e-01   1.43572e+02   1.43667e+02
           282   2.82000e+02  -5.65355e-01   1.43905e+02   1.44000e+02
           283   2.83000e+02  -5.64540e-01   1.44239e+02   1.44333e+02
           284   2.84000e+02  -5.65524e-01   1.44572e+02   1.44667e+02
           285   2.85000e+02  -5.66376e-01   1.44905e+02   1.45000e+02
           286   2.86000e+02  -5.67161e-01   1.45238e+02   1.45333e+02
           287   2.87000e+02  -5.67812e-01   1.45571e+02   1.45667e+02
           288   2.88000e+02  -5.68504e-01   1.45904e+02   1.46000e+02
           289   2.89000e+02  -5.69215e-01   1.46237e+02   1.46333e+02
           290   2.90000e+02  -5.69932e-01   1.46570e+02   1.46667e+02
           291   2.91000e+02  -5.70644e-01   1.46903e+02   1.47000e+02
           292   2.92000e+02  -5.71371e-01   1.47237e+02   1.47333e+02
           293   2.93000e+02  -5.72128e-01   1.47570e+02   1.47667e+02
           294   2.94000e+02  -5.72895e-01   1.47903e+02   1.48000e+02
           295   2.95000e+02  -5.73661e-01   1.48236e+02   1.48333e+02
           296   2.96000e+02  -5.74438e-01   1.48569e+02   1.48667e+02
           297   2.97000e+02  -5.75185e-01   1.48902e+02   1.49000e+02
           298   2.98000e+02  -5.75940e-01   1.49235e+02   1.49333e+02
           299   2.99000e+02  -5.76715e-01   1.49568e+02   1.49667e+02
           300   3.00000e+02  -5.77482e-01   1.49901e+02   1.50000e+02
           301   3.01000e+02  -5.78221e-01   1.50234e+02   1.50333e+02
           302   3.02000e+02  -5.79127e-01   1.50568e+02   1.50667e+02
           303   3.03000e+02  -5.80082e-01   1.50901e+02   1.51000e+02
           304   3.04000e+02  -5.81785e-01   1.51234e+02   1.51333e+02
           305   3.05000e+02  -5.83796e-01   1.51566e+02   1.51667e+02
           306   3.06000e+02  -5.86231e-01   1.51899e+02   1.52000e+02
           307   3.07000e+02  -5.88950e-01   1.52232e+02   1.52333e+02
           308   3.08000e+02  -5.92488e-01   1.52565e+02   1.52667e+02
           309   3.09000e+02  -5.96685e-01   1.52897e+02   1.53000e+02
           310   3.10000e+02  -6.02136e-01   1.53229e+02   1.53333e+02
           311   3.11000e+02  -6.08024e-01   1.53562e+02   1.53667e+02
