         Index             t Heat Flow ...            Ts            Tr
           [#]           [s]       [Wg^-1]          [°C]          [°C]
             0   0.00000e+00   2.37914e-03   2.50004e+01   2.50000e+01
             1   1.00000e+00   2.93716e-03   2.50838e+01   2.50833e+01
             2   2.00000e+00   5.38984e-03   2.51675e+01   2.51667e+01
             3   3.00000e+00   9.58948e-03   2.52515e+01   2.52500e+01
             4   4.00000e+00   1.63093e-02   2.53358e+01   2.53333e+01
             5   5.00000e+00   2.21162e-02   2.54201e+01   2.54167e+01
             6   6.00000e+00   2.62859e-02   2.55040e+01   2.55000e+01
             7   7.00000e+00   2.91573e-02   2.55878e+01   2.55833e+01
             8   8.00000e+00   2.97390e-02   2.56712e+01   2.56667e+01
             9   9.00000e+00   2.93450e-02   2.57545e+01   2.57500e+01
            10   1.00000e+01   2.78868e-02   2.58376e+01   2.58333e+01
            11   1.10000e+01   2.56721e-02   2.59206e+01   2.59167e+01
            12   1.20000e+01   2.26943e-02   2.60035e+01   2.60000e+01
            13   1.30000e+01   1.94645e-02   2.60863e+01   2.60833e+01
            14   1.40000e+01   1.59551e-02   2.61691e+01   2.61667e+01
            15   1.50000e+01   1.23408e-02   2.62519e+01   2.62500e+01
            16   1.60000e+01   8.69388e-03   2.63347e+01   2.63333e+01
            17   1.70000e+01   5.10457e-03   2.64175e+01   2.64167e+01
            18   1.80000e+01   1.49236e-03   2.65002e+01   2.65000e+01
            19   1.90000e+01  -2.13268e-03   2.65830e+01   2.65833e+01
            20   2.00000e+01  -5.34091e-03   2.66658e+01   2.66667e+01
            21   2.10000e+01  -8.36544e-03   2.67487e+01   2.67500e+01
            22   2.20000e+01  -1.11769e-02   2.68316e+01   2.68333e+01
            23   2.30000e+01  -1.38977e-02   2.69145e+01   2.69167e+01
            24   2.40000e+01  -1.64303e-02   2.69974e+01   2.70000e+01
            25   2.50000e+01  -1.87521e-02   2.70804e+01   2.70833e+01
            26   2.60000e+01  -2.07873e-02   2.71634e+01   2.71667e+01
            27   2.70000e+01  -2.26591e-02   2.72465e+01   2.72500e+01
            28   2.80000e+01  -2.41383e-02   2.73296e+01   2.73333e+01
            29   2.90000e+01  -2.55885e-02   2.74127e+01   2.74167e+01
            30   3.00000e+01  -2.69191e-02   2.74958e+01   2.75000e+01
            31   3.10000e+01  -2.81708e-02   2.75789e+01   2.75833e+01
            32   3.20000e+01  -2.91716e-02   2.76621e+01   2.76667e+01
            33   3.30000e+01  -3.01321e-02   2.77453e+01   2.77500e+01
            34   3.40000e+01  -3.09908e-02   2.78285e+01   2.78333e+01
            35   3.50000e+01  -3.17545e-02   2.79117e+01   2.79167e+01
            36   3.60000e+01  -3.24188e-02   2.79949e+01   2.80000e+01
            37   3.70000e+01  -3.30933e-02   2.80782e+01   2.80833e+01
            38   3.80000e+01  -3.36578e-02   2.81614e+01   2.81667e+01
            39   3.90000e+01  -3.41467e-02   2.82447e+01   2.82500e+01
            40   4.00000e+01  -3.44065e-02   2.83280e+01   2.83333e+01
            41   4.10000e+01  -3.47082e-02   2.84112e+01   2.84167e+01
            42   4.20000e+01  -3.50212e-02   2.84945e+01   2.85000e+01
            43   4.30000e+01  -3.53192e-02   2.85778e+01   2.85833e+01
            44   4.40000e+01  -3.55246e-02   2.86611e+01   2.86667e+01
            45   4.50000e+01  -3.57495e-02   2.87444e+01   2.87500e+01
            46   4.60000e+01  -3.59704e-02   2.88277e+01   2.88333e+01
            47   4.70000e+01  -3.61813e-02   2.89110e+01   2.89167e+01
            48   4.80000e+01  -3.63114e-02   2.89943e+01   2.90000e+01
            49   4.90000e+01  -3.64547e-02   2.90776e+01   2.90833e+01
            50   5.00000e+01  -3.65781e-02   2.91609e+01   2.91667e+01
            51   5.10000e+01  -3.66853e-02   2.92442e+01   2.92500e+01
            52   5.20000e+01  -3.67343e-02   2.93276e+01   2.93333e+01
            53   5.30000e+01  -3.68104e-02   2.94109e+01   2.94167e+01
            54   5.40000e+01  -3.68945e-02   2.94942e+01   2.95000e+01
            55   5.50000e+01  -3.69662e-02   2.95775e+01   2.95833e+01
            56   5.60000e+01  -3.70055e-02   2.96608e+01   2.96667e+01
            57   5.70000e+01  -3.70500e-02   2.97442e+01   2.97500e+01
            58   5.80000e+01  -3.70922e-02   2.98275e+01   2.98333e+01
            59   5.90000e+01  -3.71323e-02   2.99108e+01   2.99167e+01
            60   6.00000e+01  -3.71601e-02   2.99941e+01   3.00000e+01
            61   6.10000e+01  -3.72019e-02   3.00775e+01   3.00833e+01
            62   6.20000e+01  -3.72371e-02   3.01608e+01   3.01667e+01
            63   6.30000e+01  -3.72600e-02   3.02441e+01   3.02500e+01
            64   6.40000e+01  -3.72700e-02   3.03274e+01   3.03333e+01
            65   6.50000e+01  -3.72780e-02   3.04108e+01   3.04167e+01
