1mM Cacl2 0.1mM EDTA Group B 21723_X,1mM Cacl2 0.1mM EDTA Group B 21723_Y
0.083333,9.79151
0.1,9.79132
0.116667,9.79139
0.133333,9.79136
0.15,9.79134
0.166667,9.79138
0.183333,9.79131
0.2,9.7912
0.216667,9.79125
0.233333,9.79108
0.25,9.79082
0.266667,9.79029
0.283333,9.79009
0.3,9.7898
0.316667,9.78965
0.333333,9.78954
0.35,9.7894
0.366667,9.78936
0.383333,9.7895
0.4,9.78929
0.416667,9.78903
0.433333,9.78873
0.45,9.7884
0.466667,9.7881
0.483333,9.78816
0.5,9.78801
0.516667,9.78793
0.533333,9.78808
0.55,9.78802
0.566667,9.78818
0.583333,9.78852
0.6,9.7886
0.616667,9.78866
0.633333,9.78885
0.65,9.78899
0.666667,9.78889
0.683333,9.78881
0.7,9.78876
0.716667,9.78884
0.733333,9.78892
0.75,9.78885
0.766667,9.78862
0.783333,9.78853
0.8,9.78843
0.816667,9.78857
0.833333,9.78878
0.85,9.78877
0.866667,9.78858
0.883333,9.78841
0.9,9.78814
0.916667,9.7881
0.933333,9.78809
0.95,9.78771
0.966667,9.78798
0.983333,9.78923
1,9.78928
1.016667,9.7877
1.033333,9.78443
1.05,9.73554
1.066667,9.69823
1.083333,9.68025
1.1,9.67682
1.116667,9.68455
1.133333,9.69653
1.15,9.70751
1.166667,9.7171
1.183333,9.72689
1.2,9.73138
1.216667,9.73605
1.233333,9.73925
1.25,9.74231
1.266667,9.74478
1.283333,9.74727
1.3,9.75
1.316667,9.75264
1.333333,9.75519
1.35,9.75729
1.366667,9.75881
1.383333,9.76092
1.4,9.76273
1.416667,9.7644
1.433333,9.76586
1.45,9.767
1.466667,9.76861
1.483333,9.77012
1.5,9.77157
1.516667,9.77255
1.533333,9.77309
1.55,9.77382
1.566667,9.77462
1.583333,9.7752
1.6,9.77544
1.616667,9.77564
1.633333,9.77616
1.65,9.77695
1.666667,9.77768
1.683333,9.77827
1.7,9.77842
1.716667,9.77856
1.733333,9.77879
1.75,9.77913
1.766667,9.77915
1.783333,9.7794
1.8,9.7795
1.816667,9.77955
1.833333,9.77991
1.85,9.77993
1.866667,9.78012
1.883333,9.78079
1.9,9.7812
1.916667,9.78168
1.933333,9.78216
1.95,9.78279
1.966667,9.78283
1.983333,9.78293
2,9.78357
2.016667,9.78438
2.033333,9.78564
2.05,9.78664
2.066667,9.78711
2.083333,9.78766
2.1,9.7883
2.116667,9.78936
2.133333,9.78993
2.15,9.78939
2.166667,9.78871
2.183333,9.78863
2.2,9.78859
2.216667,9.7887
2.233333,9.78889
2.25,9.78828
2.266667,9.78722
2.283333,9.78629
2.3,9.78572
2.316667,9.78548
2.333333,9.78507
2.35,9.78386
2.366667,9.7828
2.383333,9.78188
2.4,9.78054
2.416667,9.77974
2.433333,9.77949
2.45,9.77919
2.466667,9.77854
2.483333,9.77691
2.5,9.77527
2.516667,9.77435
2.533333,9.77436
2.55,9.77485
2.566667,9.77536
2.583333,9.77513
2.6,9.77438
2.616667,9.77448
2.633333,9.77496
2.65,9.77518
2.666667,9.77564
2.683333,9.77609
2.7,9.77649
2.716667,9.77701
2.733333,9.77756
2.75,9.77819
2.766667,9.77879
2.783333,9.77922
2.8,9.77953
2.816667,9.7798
2.833333,9.77989
2.85,9.77987
2.866667,9.77989
2.883333,9.77983
2.9,9.77996
2.916667,9.78006
2.933333,9.78002
2.95,9.78012
2.966667,9.78015
2.983333,9.78021
3,9.78031
3.016667,9.78045
3.033333,9.78055
3.05,9.78058
3.066667,9.78053
3.083333,9.78059
3.1,9.78075
3.116667,9.78098
3.133333,9.78111
3.15,9.78131
3.166667,9.78148
3.183333,9.78161
3.2,9.78153
3.216667,9.78138
3.233333,9.78119
3.25,9.78121
3.266667,9.78125
3.283333,9.78128
3.3,9.78124
3.316667,9.78117
3.333333,9.78108
3.35,9.78101
3.366667,9.78095
3.383333,9.78088
3.4,9.78034
3.416667,9.77973
3.433333,9.77922
3.45,9.7797
3.466667,9.78048
3.483333,9.78037
3.5,9.78041
3.516667,9.7799
3.533333,9.76902
3.55,9.67916
3.566667,9.53037
3.583333,9.33632
3.6,9.14492
3.616667,9.02087
3.633333,8.97672
3.65,9.00465
3.666667,9.06602
3.683333,9.14968
3.7,9.23192
3.716667,9.30943
3.733333,9.37363
3.75,9.42638
3.766667,9.46983
3.783333,9.50895
3.8,9.54134
3.816667,9.56386
3.833333,9.58613
3.85,9.60444
3.866667,9.62188
3.883333,9.63798
3.9,9.65259
3.916667,9.66642
3.933333,9.6732
3.95,9.68548
3.966667,9.69428
3.983333,9.69917
4,9.70966
4.016667,9.71786
4.033333,9.72129
4.05,9.72544
4.066667,9.72903
4.083333,9.73272
4.1,9.736
4.116667,9.73899
4.133333,9.74108
4.15,9.74344
4.166667,9.74586
4.183333,9.74787
4.2,9.74981
4.216667,9.75195
4.233333,9.75405
4.25,9.75556
4.266667,9.75711
4.283333,9.75863
4.3,9.7601
4.316667,9.76147
4.333333,9.76269
4.35,9.76382
4.366667,9.76465
4.383333,9.76569
4.4,9.76657
4.416667,9.76732
4.433333,9.76797
4.45,9.76869
4.466667,9.76942
4.483333,9.77019
4.5,9.77092
4.516667,9.77129
4.533333,9.77167
4.55,9.77201
4.566667,9.77234
4.583333,9.77268
4.6,9.77281
4.616667,9.77286
4.633333,9.77294
4.65,9.77307
4.666667,9.77322
4.683333,9.77335
4.7,9.77355
4.716667,9.77392
4.733333,9.77416
4.75,9.77436
4.766667,9.77468
4.783333,9.775
4.8,9.77489
4.816667,9.77488
4.833333,9.77485
4.85,9.77483
4.866667,9.77492
4.883333,9.77497
4.9,9.77497
4.916667,9.77485
4.933333,9.77486
4.95,9.77489
4.966667,9.77506
4.983333,9.77515
5,9.77516
5.016667,9.77535
5.033333,9.77542
5.05,9.77521
5.066667,9.77491
5.083333,9.77459
5.1,9.7744
5.116667,9.77414
5.133333,9.77413
5.15,9.77407
5.166667,9.77395
5.183333,9.7741
5.2,9.77401
5.216667,9.77409
5.233333,9.77396
5.25,9.77412
5.266667,9.77451
5.283333,9.775
5.3,9.77559
5.316667,9.77578
5.333333,9.77574
5.35,9.7761
5.366667,9.77693
5.383333,9.77736
5.4,9.77833
5.416667,9.77857
5.433333,9.77767
5.45,9.77622
5.466667,9.77579
5.483333,9.77587
5.5,9.77626
5.516667,9.77565
5.533333,9.77564
5.55,9.7758
5.566667,9.77569
5.583333,9.77568
5.6,9.77565
5.616667,9.77535
5.633333,9.77473
5.65,9.7744
5.666667,9.77413
5.683333,9.77384
5.7,9.77388
5.716667,9.77397
5.733333,9.77411
5.75,9.77412
5.766667,9.77389
5.783333,9.7737
5.8,9.77355
5.816667,9.77327
5.833333,9.77309
5.85,9.77311
5.866667,9.77266
5.883333,9.77215
5.9,9.77193
5.916667,9.7718
5.933333,9.77191
5.95,9.7726
5.966667,9.77288
5.983333,9.77368
6,9.7752
6.016667,9.77889
6.033333,9.77465
6.05,9.69154
6.066667,9.53612
6.083333,9.33591
6.1,9.14022
6.116667,9.01066
6.133333,8.95955
6.15,8.9761
6.166667,9.02782
6.183333,9.10204
6.2,9.18442
6.216667,9.26368
6.233333,9.32981
6.25,9.39066
6.266667,9.44033
6.283333,9.48249
6.3,9.51722
6.316667,9.54545
6.333333,9.56939
6.35,9.59002
6.366667,9.60673
6.383333,9.62332
6.4,9.64216
6.416667,9.65656
6.433333,9.66839
6.45,9.68154
6.466667,9.69019
6.483333,9.69905
6.5,9.70508
