MgCl EDTA 21Feb GroupAFit_X,MgCl EDTA 21Feb GroupAFit_Y,MgCl EDTA 21Feb GroupA_X,MgCl EDTA 21Feb GroupA_Y
0.019002,2.654366,0.11456,2.194055
0.11456,2.591197,0.211018,2.751874
0.211018,2.457326,0.308377,2.375902
0.308377,2.272845,0.406638,2.217454
0.406638,2.023766,0.505799,1.65714
0.505799,1.704539,0.605862,1.184082
0.605862,1.331244,0.706826,0.80867
0.706826,0.945933,0.808691,0.556031
0.808691,0.597839,0.911457,0.479291
0.911457,0.316587,1.015124,0.154572
1.015124,0.105346,1.119692,0.021119
1.119692,-0.047761,1.225162,-0.12547
1.225162,-0.157745,1.331532,-0.238084
1.331532,-0.237275,1.438803,-0.181007
1.438803,-0.295613,1.546976,-0.404451
1.546976,-0.339157,1.65605,-0.38549
1.65605,-0.372249,1.766025,-0.481412
1.766025,-0.397841,1.876901,-0.503253
1.876901,-0.417959,,
