MgCl EDTA 21Feb GroupA_X,MgCl EDTA 21Feb GroupA_Y
0.083333,9.83703
0.1,9.83724
0.116667,9.83739
0.133333,9.83743
0.15,9.83763
0.166667,9.83771
0.183333,9.83783
0.2,9.83799
0.216667,9.838
0.233333,9.83794
0.25,9.83808
0.266667,9.83814
0.283333,9.83815
0.3,9.83795
0.316667,9.83771
0.333333,9.83757
0.35,9.83746
0.366667,9.83752
0.383333,9.83753
0.4,9.83754
0.416667,9.83764
0.433333,9.8375
0.45,9.83742
0.466667,9.83738
0.483333,9.83717
0.5,9.83703
0.516667,9.83682
0.533333,9.8365
0.55,9.83659
0.566667,9.83675
0.583333,9.83691
0.6,9.83686
0.616667,9.83672
0.633333,9.8368
0.65,9.837
0.666667,9.83716
0.683333,9.83705
0.7,9.83699
0.716667,9.83646
0.733333,9.83633
0.75,9.83644
0.766667,9.83669
0.783333,9.83626
0.8,9.83462
0.816667,9.83384
0.833333,9.8349
0.85,9.83489
0.866667,9.84041
0.883333,9.86717
0.9,9.87504
0.916667,9.87378
0.933333,9.86811
0.95,9.86094
0.966667,9.85444
0.983333,9.84705
1,9.84585
1.016667,9.84403
1.033333,9.8397
1.05,9.8286
1.066667,9.82134
1.083333,9.82246
1.1,9.82336
1.116667,9.82407
1.133333,9.82347
1.15,9.81825
1.166667,9.81252
1.183333,9.81074
1.2,9.80971
1.216667,9.80886
1.233333,9.80683
1.25,9.80432
1.266667,9.8041
1.283333,9.80671
1.3,9.80846
1.316667,9.80889
1.333333,9.80994
1.35,9.81077
1.366667,9.81125
1.383333,9.81169
1.4,9.81154
1.416667,9.81187
1.433333,9.81425
1.45,9.81603
1.466667,9.81665
1.483333,9.81781
1.5,9.81929
1.516667,9.81962
1.533333,9.81999
1.55,9.82002
1.566667,9.82034
1.583333,9.82089
1.6,9.82118
1.616667,9.82151
1.633333,9.82211
1.65,9.82266
1.666667,9.82292
1.683333,9.82265
1.7,9.82305
1.716667,9.82366
1.733333,9.82431
1.75,9.82473
1.766667,9.82481
1.783333,9.82448
1.8,9.82432
1.816667,9.82417
1.833333,9.8244
1.85,9.82484
1.866667,9.82518
1.883333,9.8252
1.9,9.82519
1.916667,9.82545
1.933333,9.82584
1.95,9.8263
1.966667,9.82689
1.983333,9.8275
2,9.82779
2.016667,9.82794
2.033333,9.82775
2.05,9.8275
2.066667,9.82739
2.083333,9.82751
2.1,9.82759
2.116667,9.82765
2.133333,9.82796
2.15,9.82792
2.166667,9.82779
2.183333,9.82796
2.2,9.82816
2.216667,9.82821
2.233333,9.82841
2.25,9.82851
2.266667,9.8285
2.283333,9.82874
2.3,9.82887
2.316667,9.82864
2.333333,9.82877
2.35,9.82927
2.366667,9.82929
2.383333,9.829
2.4,9.82897
2.416667,9.82909
2.433333,9.8292
2.45,9.82959
2.466667,9.82986
2.483333,9.82969
2.5,9.82951
2.516667,9.82947
2.533333,9.82929
2.55,9.82929
2.566667,9.82937
2.583333,9.82939
2.6,9.82936
2.616667,9.82917
2.633333,9.82926
2.65,9.82945
2.666667,9.8295
2.683333,9.82947
2.7,9.82919
2.716667,9.82906
2.733333,9.82885
2.75,9.82871
2.766667,9.82854
2.783333,9.82867
2.8,9.82834
2.816667,9.8285
2.833333,9.8283
2.85,9.82816
2.866667,9.82814
2.883333,9.82829
2.9,9.82829
2.916667,9.82817
2.933333,9.82831
2.95,9.82852
2.966667,9.82859
2.983333,9.82873
3,9.82875
3.016667,9.8284
3.033333,9.82788
3.05,9.82777
3.066667,9.82801
3.083333,9.82798
3.1,9.8282
3.116667,9.82818
3.133333,9.82821
3.15,9.82797
3.166667,9.82819
3.183333,9.8284
3.2,9.8285
3.216667,9.82889
3.233333,9.82893
3.25,9.82868
3.266667,9.82849
3.283333,9.82797
3.3,9.82771
3.316667,9.8274
3.333333,9.82723
3.35,9.82686
3.366667,9.82676
3.383333,9.82646
3.4,9.82625
3.416667,9.82616
3.433333,9.82621
3.45,9.82641
3.466667,9.82664
3.483333,9.82627
3.5,9.82631
3.516667,9.82707
3.533333,9.82967
3.55,9.83868
3.566667,9.88778
3.583333,9.96997
3.6,10.06492
3.616667,10.13911
3.633333,10.1789
3.65,10.19198
3.666667,10.17871
3.683333,10.15078
3.7,10.11617
3.716667,10.08345
3.733333,10.05135
3.75,10.02448
3.766667,10.00243
3.783333,9.98018
3.8,9.95958
3.816667,9.9425
3.833333,9.92919
3.85,9.914
3.866667,9.89767
3.883333,9.88531
3.9,9.87815
3.916667,9.86801
3.933333,9.86305
3.95,9.8562
3.966667,9.84901
3.983333,9.84427
4,9.83962
4.016667,9.83651
4.033333,9.83389
4.05,9.83089
4.066667,9.82818
4.083333,9.82518
4.1,9.82081
4.116667,9.81934
4.133333,9.81843
4.15,9.81717
4.166667,9.81653
4.183333,9.81599
4.2,9.81556
4.216667,9.81527
4.233333,9.81511
4.25,9.81465
4.266667,9.81401
4.283333,9.81384
4.3,9.8139
4.316667,9.81381
4.333333,9.81365
4.35,9.81353
4.366667,9.81359
4.383333,9.81354
4.4,9.81349
4.416667,9.81352
4.433333,9.81362
4.45,9.8134
4.466667,9.81314
4.483333,9.81322
4.5,9.81327
4.516667,9.81347
4.533333,9.81363
4.55,9.81367
4.566667,9.81368
4.583333,9.81388
4.6,9.81396
4.616667,9.81381
4.633333,9.81389
4.65,9.81399
4.666667,9.81408
4.683333,9.81429
4.7,9.81448
4.716667,9.81486
4.733333,9.81534
4.75,9.81557
4.766667,9.81584
4.783333,9.81575
4.8,9.81614
4.816667,9.81611
4.833333,9.81635
4.85,9.8164
4.866667,9.81644
4.883333,9.81666
4.9,9.81693
4.916667,9.81727
4.933333,9.81761
4.95,9.81747
4.966667,9.8177
4.983333,9.81772
5,9.81771
5.016667,9.81787
5.033333,9.81797
5.05,9.81817
5.066667,9.81847
5.083333,9.81854
5.1,9.81881
5.116667,9.81909
5.133333,9.81915
5.15,9.81903
5.166667,9.81897
5.183333,9.8191
5.2,9.81901
5.216667,9.81888
5.233333,9.81889
