T5,,
Time (min),Abs,
0.0008333333535,0.2386143506,
0.002499999944,0.2378469855,
0.004166666884,0.2340565473,
0.005833333824,0.2377995402,
0.007500000298,0.234445259,
0.009166667238,0.2347867936,
0.01083333418,0.2363619059,
0.01250000019,0.2371547967,
0.01416666713,0.2365127057,
0.01583333313,0.2348424047,
0.01750000007,0.2325982302,
0.01916666701,0.2304287553,
0.02083333395,0.2281061858,
0.02249999903,0.2269024402,
0.02416666597,0.226198405,
0.02583333291,0.2257362455,
0.02749999985,0.2247942984,
0.02916666679,0.2242858112,
0.03083333187,0.2238888443,
0.03249999881,0.2234287113,
0.03416666761,0.2227013409,
0.03583333269,0.2220549136,
0.03750000149,0.2214169055,
0.03916666657,0.2209439725,
0.04083333537,0.2203643322,
0.04250000045,0.2202275842,
0.04416666552,0.2198884636,
0.04583333433,0.2194573432,
0.0474999994,0.2189782113,
0.04916666821,0.2179088593,
0.05083333328,0.2168480754,
0.05249999836,0.216255188,
0.05416666716,0.2152861208,
0.05583333224,0.2146647274,
0.05750000104,0.2143034041,
0.05916666612,0.213689968,
0.0608333312,0.2129205614,
0.0625,0.2128756791,
0.06416666508,0.2122599483,
0.0658333376,0.2119267285,
0.06750000268,0.2115042359,
0.06916666776,0.210860163,
0.07083333284,0.2103386521,
0.07250000536,0.2097512186,
0.07416667044,0.2088611573,
0.07583333552,0.208285749,
0.0775000006,0.2073152661,
0.07916666567,0.2066170424,
0.0808333382,0.2056804895,
0.08250000328,0.20552665,
0.08416666836,0.2045951784,
0.08583333343,0.2039724439,
0.08749999851,0.2035832107,
0.08916667104,0.2035144269,
0.09083333611,0.2032681555,
0.09250000119,0.2031169683,
0.09416666627,0.2027682662,
0.09583333135,0.2022740394,
0.09750000387,0.2018821687,
0.09916666895,0.2012766004,
0.100833334,0.2009171098,
0.1024999991,0.2002795488,
0.1041666642,0.2000937462,
0.1058333367,0.1995274574,
0.1075000018,0.1988877505,
0.1091666669,0.1982584149,
0.1108333319,0.1978025138,
0.112499997,0.1971166432,
0.1141666695,0.1964704096,
0.1158333346,0.1960325241,
0.1174999997,0.1952324659,
0.1191666648,0.1946325153,
0.1208333299,0.1935178041,
0.1225000024,0.1928581446,
0.1241666675,0.1921058148,
0.1258333325,0.1914209425,
0.1274999976,0.190811649,
0.1291666627,0.1901053488,
0.1308333427,0.1893807054,
0.1325000077,0.1886236519,
0.1341666728,0.1881433725,
0.1358333379,0.1872957498,
0.137500003,0.186867401,
0.1391666681,0.1862312406,
0.1408333331,0.185710758,
0.1424999982,0.1852383912,
0.1441666782,0.1844314486,
0.1458333284,0.1840776056,
0.1475000083,0.1832572967,
0.1491666585,0.1829569936,
0.1508333385,0.1823300719,
0.1525000036,0.181837067,
0.1541666687,0.1814312041,
0.1558333337,0.1808173507,
0.1574999988,0.1801902801,
0.1591666639,0.1797079146,
0.1608333439,0.179228127,
0.162499994,0.1787647903,
0.164166674,0.1783607453,
0.1658333242,0.1778128743,
0.1675000042,0.1773534715,
0.1691666692,0.176824376,
0.1708333343,0.1762148142,
0.1724999994,0.1756922752,
0.1741666645,0.1753271818,
0.1758333296,0.1749481112,
0.1775000095,0.1742634177,
0.1791666597,0.1738457531,
0.1808333397,0.173073411,
0.1824999899,0.1728040725,
0.1841666698,0.1721085459,
0.1858333349,0.1715472192,
0.1875,0.171111241,
0.1891666651,0.1707573533,
0.1908333302,0.1702333242,
0.1924999952,0.1698345542,
0.1941666752,0.1688453108,
0.1958333254,0.1685737818,
0.1975000054,0.1679392159,
0.1991666555,0.1673403233,
0.2008333355,0.1669268757,
0.2025000006,0.1663055569,
0.2041666657,0.1660812497,
0.2058333308,0.1654229611,
0.2074999958,0.165061295,
0.2091666609,0.1643449813,
0.2108333409,0.1640678346,
0.2124999911,0.1634897888,
0.214166671,0.1628131866,
0.2158333212,0.1625027657,
0.2175000012,0.1619894058,
0.2191666663,0.1616534591,
0.2208333313,0.1610063463,
0.2224999964,0.1603616625,
0.2241666615,0.1600959301,
0.2258333266,0.1596876383,
0.2275000066,0.1589247286,
0.2291666567,0.1585638374,
0.2308333367,0.158108145,
0.2324999869,0.1575884968,
0.2341666669,0.1573742181,
0.2358333319,0.157333836,
0.237499997,0.1571626514,
0.2391666621,0.1569276005,
0.2408333272,0.156281516,
0.2424999923,0.1561985016,
0.2441666722,0.1556638628,
0.2458333224,0.1553410292,
0.2475000024,0.1545822024,
0.2491666526,0.1535984278,
0.2508333325,0.1532281488,
0.2524999976,0.1528347582,
0.2541666627,0.1522038728,
0.2558333278,0.1516284496,
0.2574999928,0.1514548808,
0.2591666579,0.1511824876,
0.2608333528,0.150497064,
0.2624999881,0.1499601156,
0.264166683,0.1496363133,
0.2658333182,0.1493131369,
0.2675000131,0.1488701999,
0.2691666782,0.1485422403,
0.2708333433,0.147915557,
0.2724999785,0.1474774927,
0.2741666734,0.1470088363,
0.2758333385,0.146546185,
0.2775000036,0.1459421813,
0.2791666687,0.1456000656,
0.2808333337,0.1450581551,
0.2824999988,0.1445147842,
0.2841666639,0.1440549195,
0.285833329,0.1437443048,
0.2875000238,0.1430653781,
0.2891666591,0.1426226199,
0.2908333242,0.142325893,
0.2924999893,0.1417006105,
0.2941666842,0.1411800086,
0.2958333492,0.1406953186,
0.2974999845,0.1402020603,
0.2991666496,0.1397305429,
0.3008333445,0.139059633,
0.3025000095,0.1388536543,
0.3041666746,0.1379154921,
0.3058333099,0.137955144,
0.3075000048,0.137101084,
0.3091666698,0.1363787651,
0.3108333349,0.1358059943,
0.3125,0.135250777,
0.3141666651,0.1345910877,
0.3158333302,0.1341720521,
0.3174999952,0.133746326,
0.3191666603,0.1331430823,
0.3208333552,0.1329037249,
0.3224999905,0.1320734471,
0.3241666555,0.1317463219,
0.3258333206,0.1311162263,
0.3275000155,0.1307467669,
0.3291666806,0.1300180554,
0.3308333158,0.1295804679,
0.3324999809,0.1292791367,
0.3341666758,0.1285896301,
0.3358333409,0.1282090992,
0.337500006,0.1277584583,
0.3391666412,0.1273565441,
0.3408333361,0.1268678904,
0.3425000012,0.126531288,
0.3441666663,0.1262494028,
0.3458333313,0.125674352,
0.3474999964,0.12517187,
0.3491666615,0.1249880642,
0.3508333266,0.1247734427,
0.3524999917,0.1241505519,
0.3541666865,0.1236163899,
0.3558333218,0.1231761351,
0.3574999869,0.123025395,
0.359166652,0.1225953475,
0.3608333468,0.1221501231,
0.3625000119,0.1215955019,
0.3641666472,0.1212315485,
0.3658333123,0.1212518364,
0.3675000072,0.1205914319,
0.3691666722,0.1202952713,
0.3708333373,0.1198617443,
0.3724999726,0.1193505153,
0.3741666675,0.1191202402,
0.3758333325,0.1190248951,
0.3774999976,0.1182064414,
0.3791666925,0.11780487,
0.3808333278,0.1174203604,
0.3824999928,0.1170907319,
0.3841666579,0.1167309955,
