T1,,
Time (min),Abs,
0.0008333333535,0.6233463287,
0.002499999944,0.6212968826,
0.004166666884,0.6194335222,
0.005833333824,0.6170642376,
0.007500000298,0.614823699,
0.009166667238,0.612550199,
0.01083333418,0.6105875373,
0.01250000019,0.6095184088,
0.01416666713,0.6061874628,
0.01583333313,0.6043303609,
0.01750000007,0.6018531322,
0.01916666701,0.5996572971,
0.02083333395,0.597415626,
0.02249999903,0.5955893993,
0.02416666597,0.5931025743,
0.02583333291,0.5920615196,
0.02749999985,0.5898175836,
0.02916666679,0.5877382159,
0.03083333187,0.5861985087,
0.03249999881,0.5840511918,
0.03416666761,0.5812860727,
0.03583333269,0.5795278549,
0.03750000149,0.5771198273,
0.03916666657,0.5756778717,
0.04083333537,0.5737692714,
0.04250000045,0.5714128017,
0.04416666552,0.5693716407,
0.04583333433,0.5674651861,
0.0474999994,0.5657848716,
0.04916666821,0.5635057688,
0.05083333328,0.561678946,
0.05249999836,0.560026288,
0.05416666716,0.5574268699,
0.05583333224,0.5558254719,
0.05750000104,0.5539734364,
0.05916666612,0.5520835519,
0.0608333312,0.5499902368,
0.0625,0.5480189323,
0.06416666508,0.5462360978,
0.0658333376,0.5443773866,
0.06750000268,0.5419187546,
0.06916666776,0.53992939,
0.07083333284,0.5384590626,
0.07250000536,0.5371994972,
0.07416667044,0.5346857905,
0.07583333552,0.5323560834,
0.0775000006,0.5306737423,
0.07916666567,0.5289971232,
0.0808333382,0.5271968842,
0.08250000328,0.5252387524,
0.08416666836,0.5237275958,
0.08583333343,0.5213578343,
0.08749999851,0.519538939,
0.08916667104,0.5176938176,
0.09083333611,0.5162801147,
0.09250000119,0.5144158006,
0.09416666627,0.5126288533,
0.09583333135,0.510091126,
0.09750000387,0.5088081956,
0.09916666895,0.5067135692,
0.100833334,0.5045469999,
0.1024999991,0.5028447509,
0.1041666642,0.5012375116,
0.1058333367,0.4994688928,
0.1075000018,0.4976192713,
0.1091666669,0.4955875874,
0.1108333319,0.4939599335,
0.112499997,0.4921878576,
0.1141666695,0.4903702438,
0.1158333346,0.4881929755,
0.1174999997,0.4865699112,
0.1191666648,0.4845689237,
0.1208333299,0.4820726514,
0.1225000024,0.4810259938,
0.1241666675,0.479265511,
0.1258333325,0.4773988426,
0.1274999976,0.4757502973,
0.1291666627,0.4731615484,
0.1308333427,0.4721684158,
0.1325000077,0.4704495668,
0.1341666728,0.4685355723,
0.1358333379,0.46671924,
0.137500003,0.4652290046,
0.1391666681,0.4633040428,
0.1408333331,0.4620011151,
0.1424999982,0.4594986737,
0.1441666782,0.4580116272,
0.1458333284,0.4562076628,
0.1475000083,0.4544311464,
0.1491666585,0.4525498748,
0.1508333385,0.4511933029,
0.1525000036,0.4497615993,
0.1541666687,0.4472295642,
0.1558333337,0.4454471767,
0.1574999988,0.4438718259,
0.1591666639,0.4420633018,
0.1608333439,0.4407362938,
0.162499994,0.4388153553,
0.164166674,0.4372448623,
0.1658333242,0.4354919195,
0.1675000042,0.4336901009,
0.1691666692,0.4322356284,
0.1708333343,0.4304910004,
0.1724999994,0.4283989668,
0.1741666645,0.4272544682,
0.1758333296,0.4254932702,
0.1775000095,0.4235075712,
0.1791666597,0.4222976565,
0.1808333397,0.4202554226,
0.1824999899,0.4184677601,
0.1841666698,0.4172016978,
0.1858333349,0.4151899517,
0.1875,0.4134643972,
0.1891666651,0.4117912948,
0.1908333302,0.4104519188,
0.1924999952,0.4088180363,
0.1941666752,0.4071893394,
0.1958333254,0.4053396285,
0.1975000054,0.4040762484,
0.1991666555,0.4022876024,
0.2008333355,0.4007246196,
0.2025000006,0.3989578784,
0.2041666657,0.3970647156,
0.2058333308,0.395724237,
0.2074999958,0.3937295079,
0.2091666609,0.3922557533,
0.2108333409,0.3907933831,
0.2124999911,0.3893537819,
0.214166671,0.387699306,
0.2158333212,0.3860103786,
0.2175000012,0.3846021295,
0.2191666663,0.3828851879,
0.2208333313,0.3811691999,
0.2224999964,0.3796510994,
0.2241666615,0.3784350157,
0.2258333266,0.3767386973,
0.2275000066,0.3752367496,
0.2291666567,0.3736104071,
0.2308333367,0.3724856377,
0.2324999869,0.3707008958,
0.2341666669,0.3692046404,
0.2358333319,0.3674166501,
0.237499997,0.3657413125,
0.2391666621,0.3643985391,
0.2408333272,0.3631052077,
0.2424999923,0.3612704277,
0.2441666722,0.360093087,
0.2458333224,0.3581876159,
0.2475000024,0.357301861,
0.2491666526,0.3551485538,
0.2508333325,0.3540691137,
0.2524999976,0.3522774577,
0.2541666627,0.3509698808,
0.2558333278,0.3493620753,
0.2574999928,0.3479967713,
0.2591666579,0.3466047049,
0.2608333528,0.3451015353,
0.2624999881,0.3437360227,
0.264166683,0.3421640694,
0.2658333182,0.340462178,
0.2675000131,0.3390756845,
0.2691666782,0.3381935954,
0.2708333433,0.336715579,
0.2724999785,0.3349128067,
0.2741666734,0.3334569633,
0.2758333385,0.3321140707,
0.2775000036,0.330771178,
0.2791666687,0.3293373883,
0.2808333337,0.3277772069,
0.2824999988,0.3263817132,
0.2841666639,0.3252137601,
0.285833329,0.3234727085,
0.2875000238,0.3223354518,
0.2891666591,0.3211995065,
0.2908333242,0.3192766309,
0.2924999893,0.3184799254,
0.2941666842,0.3166953325,
0.2958333492,0.3154633641,
0.2974999845,0.3140053153,
0.2991666496,0.3126578331,
0.3008333445,0.3113932014,
0.3025000095,0.3098450005,
0.3041666746,0.3085565865,
0.3058333099,0.3073240519,
0.3075000048,0.3059665561,
0.3091666698,0.3043667972,
0.3108333349,0.3032265007,
0.3125,0.3015841246,
0.3141666651,0.3003688455,
0.3158333302,0.2990095317,
0.3174999952,0.2979699373,
0.3191666603,0.2965434492,
0.3208333552,0.2950091064,
