SetA.run3,,
Time (sec),Abs,
0.25,0.7181807756,
0.75,0.7128856778,
1.25,0.7070782781,
1.75,0.7019364834,
2.25,0.6959852576,
2.75,0.6906996965,
3.25,0.6854079962,
3.75,0.6797460914,
4.25,0.6743029356,
4.75,0.6692388058,
5.25,0.6641049385,
5.75,0.6590160131,
6.25,0.6534349322,
6.75,0.6483837366,
7.25,0.6427716613,
7.75,0.6380001307,
8.25,0.6323102713,
8.75,0.6277939081,
9.25,0.6220814586,
9.75,0.6170870066,
10.25,0.6117637753,
10.75,0.6070803404,
11.25,0.6016008854,
11.75,0.5964721441,
12.25,0.5917866826,
12.75,0.5867517591,
13.25,0.5814819336,
13.75,0.5767149925,
14.25,0.5717345476,
14.75,0.5666571259,
15.25,0.5615874529,
15.75,0.5569027066,
16.25,0.5519282818,
16.75,0.5473454595,
17.25,0.5422906876,
17.75,0.537373364,
18.25,0.5327839255,
18.75,0.5281487703,
19.25,0.5230218768,
19.75,0.5184850097,
20.25,0.5135940313,
20.75,0.5092748404,
21.25,0.5042021871,
21.75,0.4999368489,
22.25,0.4951792657,
22.75,0.4905978441,
23.25,0.4863349795,
23.75,0.482337147,
24.25,0.477445662,
24.75,0.4726990163,
25.25,0.4678291082,
25.75,0.4635753334,
26.25,0.4593657851,
26.75,0.454893291,
27.25,0.450334549,
27.75,0.4461393654,
28.25,0.4417980909,
28.75,0.4376439452,
29.25,0.4332478046,
29.75,0.4289218485,
30.25,0.424847424,
30.75,0.4205911458,
31.25,0.4166056216,
31.75,0.4123550057,
32.25,0.4082907438,
32.75,0.4045971632,
33.25,0.4006082118,
33.75,0.3963067234,
34.25,0.3920758665,
34.75,0.3883049786,
35.25,0.3844360113,
35.75,0.3803141117,
36.25,0.37651968,
36.75,0.3727104366,
37.25,0.3688857853,
37.75,0.3650225103,
38.25,0.3616354465,
38.75,0.3579153717,
39.25,0.3540605605,
39.75,0.3503439128,
40.25,0.3467848599,
40.75,0.343349874,
41.25,0.3395301402,
41.75,0.3358631134,
42.25,0.3325710595,
42.75,0.3288786411,
43.25,0.3257318735,
43.75,0.3220998645,
44.25,0.3188922405,
44.75,0.3152053058,
45.25,0.3121221662,
45.75,0.3084925115,
46.25,0.3055327535,
46.75,0.302438736,
47.25,0.2988533676,
47.75,0.2957768738,
48.25,0.2926695347,
48.75,0.2895509303,
49.25,0.2863224149,
49.75,0.2832255065,
50.25,0.2803935111,
50.75,0.2775193751,
51.25,0.2743382454,
51.75,0.2714259923,
52.25,0.2684571743,
52.75,0.2656264305,
53.25,0.2625688612,
53.75,0.2598804235,
54.25,0.257349968,
54.75,0.2544780672,
55.25,0.2516898513,
55.75,0.2489800602,
56.25,0.2463064045,
56.75,0.2436318249,
57.25,0.2410421073,
57.75,0.238479048,
58.25,0.2361274064,
58.75,0.2333693951,
59.25,0.2307377607,
59.75,0.2283835113,
60.25,0.2260317504,
60.75,0.223452732,
61.25,0.2212077975,
61.75,0.2186995894,
62.25,0.2163550705,
62.75,0.21409747,
63.25,0.2119386345,
63.75,0.2095557451,
64.25,0.2074506432,
64.75,0.2051550746,
65.25,0.2030000538,
65.75,0.2007827759,
66.25,0.1988679022,
66.75,0.1975145936,
67.25,0.1976670921,
67.75,0.1973735541,
68.25,0.1961230636,
68.75,0.1933514625,
69.25,0.1881593019,
69.75,0.1847033352,
70.25,0.1828592122,
70.75,0.1807910055,
71.25,0.1789134443,
71.75,0.1770064831,
72.25,0.1752503216,
72.75,0.173532322,
73.25,0.1716208458,
73.75,0.1698632538,
74.25,0.1680739522,
74.75,0.1665176004,
75.25,0.1647981405,
75.75,0.1632487625,
76.25,0.1614907086,
76.75,0.1598588675,
77.25,0.1581575423,
77.75,0.1566654593,
78.25,0.1551796347,
78.75,0.1536412984,
79.25,0.1521627903,
79.75,0.150684759,
80.25,0.1492587477,
80.75,0.1477189511,
81.25,0.146362856,
81.75,0.1447813958,
82.25,0.1433795094,
82.75,0.1422157288,
83.25,0.1408525854,
83.75,0.1394627243,
84.25,0.1380915195,
84.75,0.1368830204,
85.25,0.135786429,
85.75,0.1345740855,
86.25,0.1332894862,
86.75,0.1322979629,
87.25,0.1310013533,
87.75,0.1295776218,
88.25,0.1282944083,
88.75,0.1270036101,
89.25,0.1257695705,
89.75,0.1246368363,
90.25,0.1236578226,
90.75,0.1223945022,
91.25,0.1214392483,
91.75,0.1202483177,
92.25,0.1194241866,
92.75,0.1181259081,
93.25,0.1172163337,
93.75,0.1163381636,
94.25,0.1154863238,
94.75,0.1142462492,
95.25,0.1133125275,
95.75,0.1122050434,
96.25,0.1114487201,
96.75,0.110545896,
97.25,0.1095245406,
97.75,0.1086632684,
98.25,0.10769061,
98.75,0.1069095507,
99.25,0.10601376,
99.75,0.1051365957,
100.25,0.1044993028,
100.75,0.1036555246,
101.25,0.1027666107,
101.75,0.1020180434,
102.25,0.1011815518,
102.75,0.1004558057,
103.25,0.09961657971,
103.75,0.0986969322,
104.25,0.0983427316,
104.75,0.0973874107,
105.25,0.09666525573,
105.75,0.09612746537,
106.25,0.09527215362,
