SetB.run1,,
Time (sec),Abs,
0.25,0.975651741,
0.75,0.965603292,
1.25,0.9541697502,
1.75,0.9427938461,
2.25,0.9317367673,
2.75,0.9216578007,
3.25,0.9116159678,
3.75,0.900637269,
4.25,0.8897325993,
4.75,0.879891634,
5.25,0.8696812391,
5.75,0.858515501,
6.25,0.8486683965,
6.75,0.8394200206,
7.25,0.8279519677,
7.75,0.8180325627,
8.25,0.8079383969,
8.75,0.7981666327,
9.25,0.7880411744,
9.75,0.7780299783,
10.25,0.7683672905,
10.75,0.758695066,
11.25,0.7489526868,
11.75,0.7397090197,
12.25,0.7302151918,
12.75,0.7211229205,
13.25,0.7119745612,
13.75,0.7027760744,
14.25,0.6938862205,
14.75,0.6849405766,
15.25,0.6762158275,
15.75,0.6674026847,
16.25,0.6585956812,
16.75,0.6494685411,
17.25,0.64117378,
17.75,0.6324728727,
18.25,0.6242561936,
18.75,0.6156236529,
19.25,0.6075193882,
19.75,0.5996345282,
20.25,0.5914747715,
20.75,0.5833032727,
21.25,0.5755386353,
21.75,0.5675923824,
22.25,0.559856832,
22.75,0.5525435209,
23.25,0.5447353125,
23.75,0.5369840264,
24.25,0.5295279026,
24.75,0.5221494436,
25.25,0.5148488283,
25.75,0.5078699589,
26.25,0.5005246997,
26.75,0.4937472343,
27.25,0.4867624938,
27.75,0.4803887308,
28.25,0.4733897746,
28.75,0.4673613906,
29.25,0.460231334,
29.75,0.4540924728,
30.25,0.4477593005,
30.75,0.4415555596,
31.25,0.4353663623,
31.75,0.4291149378,
32.25,0.4232161939,
32.75,0.4175355136,
33.25,0.4114179313,
33.75,0.405644536,
34.25,0.3999990225,
34.75,0.3942471743,
35.25,0.3888536394,
35.75,0.3832493424,
36.25,0.3778124154,
36.75,0.3725641668,
37.25,0.3672483861,
37.75,0.362367034,
38.25,0.3571187556,
38.75,0.3521219492,
39.25,0.347207427,
39.75,0.3420468867,
40.25,0.3372530341,
40.75,0.3323373199,
41.25,0.3277709782,
41.75,0.3229236603,
42.25,0.318028152,
42.75,0.3134695888,
43.25,0.309040457,
43.75,0.3045427501,
44.25,0.3001950979,
44.75,0.2960396409,
45.25,0.2915432155,
45.75,0.2875071168,
46.25,0.2832686901,
46.75,0.2792387605,
47.25,0.2754107118,
47.75,0.2715402544,
48.25,0.2677643895,
48.75,0.2640356421,
49.25,0.260532409,
49.75,0.2567984462,
50.25,0.2532190681,
50.75,0.2499125898,
51.25,0.2465755939,
51.75,0.2430529296,
52.25,0.2396926433,
52.75,0.2364462167,
53.25,0.2333464921,
53.75,0.23021622,
54.25,0.2271191627,
54.75,0.2241792381,
55.25,0.2211603671,
55.75,0.2182693034,
56.25,0.2152543366,
56.75,0.2125397474,
57.25,0.2097615004,
57.75,0.2069382966,
58.25,0.2042849362,
58.75,0.2015248239,
59.25,0.1992490292,
59.75,0.1964167506,
60.25,0.1940696985,
60.75,0.1916960031,
61.25,0.1892330498,
61.75,0.1867362261,
62.25,0.1845725775,
62.75,0.1821838319,
63.25,0.1799925119,
63.75,0.1778587252,
