SetCrun1,,
Time (sec),Abs,
0.25,0.9720488787,
0.75,0.9616485238,
1.25,0.9506335855,
1.75,0.9403179288,
2.25,0.9288290143,
2.75,0.9190915823,
3.25,0.908069253,
3.75,0.8977825642,
4.25,0.8870840073,
4.75,0.8771753311,
5.25,0.8670634031,
5.75,0.8563917875,
6.25,0.8470113873,
6.75,0.8367210627,
7.25,0.8264359832,
7.75,0.8169512749,
8.25,0.8066534996,
8.75,0.7970998287,
9.25,0.7875871658,
9.75,0.7789979577,
10.25,0.7694697976,
10.75,0.7599058747,
11.25,0.7501051426,
11.75,0.7407972217,
12.25,0.7312230468,
12.75,0.7218271494,
13.25,0.7133331895,
13.75,0.704652369,
14.25,0.6963360906,
14.75,0.6868260503,
15.25,0.6779051423,
15.75,0.6690157056,
16.25,0.6603543758,
16.75,0.652038753,
17.25,0.6435677409,
17.75,0.6350631118,
18.25,0.6266615391,
18.75,0.6187463999,
19.25,0.6101442575,
19.75,0.6024661064,
20.25,0.5941657424,
20.75,0.5860599279,
21.25,0.5785101652,
21.75,0.5703696609,
22.25,0.5626096725,
22.75,0.5551220179,
23.25,0.5476935506,
23.75,0.5404875278,
24.25,0.5328452587,
24.75,0.5256371498,
25.25,0.5187323093,
25.75,0.5111906528,
26.25,0.5040720701,
26.75,0.4970481694,
27.25,0.4898857176,
27.75,0.483341068,
28.25,0.4767394066,
28.75,0.4698215127,
29.25,0.4631076455,
29.75,0.4566680193,
30.25,0.4501745403,
30.75,0.443784833,
31.25,0.4376235306,
31.75,0.4310982227,
32.25,0.424898684,
32.75,0.4189115763,
33.25,0.4129381478,
33.75,0.406886369,
34.25,0.4010642469,
34.75,0.3951786458,
35.25,0.3897004128,
35.75,0.3839990497,
36.25,0.3786591291,
36.75,0.3731177449,
37.25,0.3677176833,
37.75,0.3626190126,
38.25,0.3572875559,
38.75,0.3522311449,
39.25,0.347175926,
39.75,0.3423039019,
40.25,0.3373509943,
40.75,0.3324220181,
41.25,0.3278179169,
41.75,0.3232185245,
42.25,0.3185253143,
42.75,0.3138411641,
43.25,0.3095215559,
43.75,0.3053627908,
44.25,0.300889194,
44.75,0.2966784239,
45.25,0.2926161587,
45.75,0.2884191871,
46.25,0.2842410207,
46.75,0.2802367806,
47.25,0.2764801383,
47.75,0.2721458077,
48.25,0.2685401142,
48.75,0.2646915913,
49.25,0.2609197497,
49.75,0.2573462427,
50.25,0.2536285818,
50.75,0.2499805689,
51.25,0.2465437204,
51.75,0.2433819473,
52.25,0.2398709655,
52.75,0.2365086973,
53.25,0.233276993,
53.75,0.2300498188,
54.25,0.2269422114,
54.75,0.2239823937,
55.25,0.2209857702,
55.75,0.2179986984,
56.25,0.2151275575,
56.75,0.2121588886,
57.25,0.2092891783,
57.75,0.2065705955,
58.25,0.2039505839,
58.75,0.2012823969,
59.25,0.1984263211,
59.75,0.1959075332,
60.25,0.193509683,
60.75,0.1909955293,
61.25,0.1884894371,
61.75,0.1860504299,
62.25,0.1836479902,
62.75,0.1812654585,
63.25,0.1790521294,
63.75,0.1769177318,
64.25,0.1745723486,
64.75,0.172581166,
65.25,0.1702496707,
65.75,0.1684201956,
66.25,0.1662689745,
66.75,0.1641431898,
67.25,0.1620696634,
67.75,0.1603429317,
68.25,0.1584054828,
68.75,0.1566278487,
69.25,0.1547303796,
69.75,0.1528956741,
70.25,0.1509920508,
70.75,0.1495130956,
71.25,0.1477134228,
71.75,0.1460276842,
72.25,0.1443522573,
72.75,0.142614603,
73.25,0.1410452425,
73.75,0.1394501626,
74.25,0.13792108,
74.75,0.1365511864,
75.25,0.1349936575,
75.75,0.1336781383,
76.25,0.1322849989,
76.75,0.1306886375,
77.25,0.129357338,
77.75,0.1279416531,
78.25,0.126832217,
78.75,0.1252882034,
79.25,0.1241207495,
79.75,0.1228245571,
80.25,0.1217136458,
80.75,0.1204919741,
81.25,0.119349286,
81.75,0.1181821078,
82.25,0.11698661,
82.75,0.1158859879,
83.25,0.1144962609,
83.75,0.1135458276,
84.25,0.1125658751,
84.75,0.1115288883,
85.25,0.1103507131,
85.75,0.1092740446,
86.25,0.1084524468,
86.75,0.1077063009,
87.25,0.1064695269,
87.75,0.1054875702,
88.25,0.1046327427,
88.75,0.1035621688,
89.25,0.1027860567,
89.75,0.1019523069,
90.25,0.1010047719,
90.75,0.1002763882,
91.25,0.09948880225,
91.75,0.0986449495,
92.25,0.0978730917,
92.75,0.09689088166,
93.25,0.09623216093,
93.75,0.09551924467,
94.25,0.09482459724,
94.75,0.09408740699,
95.25,0.09332369268,
95.75,0.09259247035,
96.25,0.09196671844,
96.75,0.09135106951,
97.25,0.09062904865,
97.75,0.09004902095,
98.25,0.08931132406,
98.75,0.08862798661,
99.25,0.08808144182,
99.75,0.08756025136,
100.25,0.08698755503,
100.75,0.08624657989,
101.25,0.08575347066,
101.75,0.08507435024,
102.25,0.08457247913,
102.75,0.08421122283,
103.25,0.08379843086,
103.75,0.08301240951,
104.25,0.08265949786,
104.75,0.08204375952,
105.25,0.08175890148,
105.75,0.08131808788,
106.25,0.08075209707,
106.75,0.08018382639,
107.25,0.07982172072,
107.75,0.07928188145,
108.25,0.07883252949,
108.75,0.07852433622,
109.25,0.07792665809,
109.75,0.0776475817,
110.25,0.07716432214,
110.75,0.07673429698,
111.25,0.07626356184,
111.75,0.07577287406,
112.25,0.07547580451,
112.75,0.07516388595,
113.25,0.0746281445,
113.75,0.07429391891,
114.25,0.07391014695,
114.75,0.07356292009,
115.25,0.07333122939,
115.75,0.07319394499,
116.25,0.0727481544,
116.75,0.07226452976,
117.25,0.07208520174,
117.75,0.0717067644,
118.25,0.07133027166,
118.75,0.07119575888,
119.25,0.07082217187,
119.75,0.07045061886,
120.25,0.07018321007,
120.75,0.06977438182,
121.25,0.06978721172,
121.75,0.06933769584,
122.25,0.06912639737,
122.75,0.06893998384,
123.25,0.0687770322,
123.75,0.06843157858,
124.25,0.06807983667,
124.75,0.06790585816,
125.25,0.06781920791,
125.75,0.06752151251,
126.25,0.06724375486,
126.75,0.06685692072,
127.25,0.06670386344,
127.75,0.06647184491,
128.25,0.06621543318,
128.75,0.06618751585,
129.25,0.06587678194,
129.75,0.06586385518,
130.25,0.06574409455,
