s28,,
Wavelength (nm),Abs,
800.0029907,3.028668743E-006,
798.9966431,0.0001173310593,
797.9899292,-2.919839062E-005,
796.9829102,0.0004442232312,
796.0100708,0.0003997856402,
795.0021362,0.00117767253,
793.9938965,0.0003011841036,
792.9851685,0.00149993517,
792.0108643,0.001375971711,
791.0012817,0.001261051977,
789.991394,0.001042150077,
789.0159302,0.001436897088,
788.0053101,0.002387203742,
786.9941406,0.001178243547,
785.982605,0.002217139816,
785.0056763,0.002752018394,
783.9933472,0.003286304418,
783.015686,0.002019912703,
782.0025635,0.002854956081,
780.9891357,0.003359341761,
780.0102539,0.002592644421,
778.9960327,0.003568687942,
778.0163574,0.004736306146,
777.0014038,0.005218779203,
775.9860229,0.005616188515,
775.005188,0.00640973635,
773.9890137,0.006822726224,
773.0075684,0.006776263937,
771.9906006,0.007998215035,
771.0083618,0.008621769957,
769.9906616,0.00958704669,
769.0076904,0.01033910923,
767.9891357,0.01229139138,
767.0054932,0.01335270982,
765.9862061,0.01364105009,
765.00177,0.01508345641,
764.0169067,0.01694618911,
762.996521,0.01916195825,
762.0109863,0.0210265182,
760.9898682,0.02290064655,
760.00354,0.02473134734,
759.0169067,0.02796911448,
757.9946289,0.03076436371,
757.0072021,0.03408432752,
755.9841919,0.03794677556,
754.9960938,0.04139629006,
754.0076294,0.04677489027,
752.9834595,0.05169367418,
751.9942627,0.05725781992,
751.0046997,0.06257050484,
750.0148315,0.0697856918,
748.9892578,0.07636401057,
747.9985962,0.08362460136,
747.0076294,0.09270849079,
746.0162354,0.1025883928,
744.9891968,0.1135251224,
743.9970703,0.1243074387,
743.0046387,0.1354751289,
742.0119629,0.1482288092,
740.9833374,0.1637846529,
739.9898682,0.1806724817,
738.9960938,0.1965249479,
738.0019531,0.2162450552,
737.0073853,0.2382639199,
736.0125732,0.2599181235,
735.017395,0.2832813263,
733.9862671,0.3074310422,
732.9902954,0.3345580697,
731.9940186,0.3631005585,
730.9974365,0.3929807544,
730.0004883,0.4257461131,
729.0031738,0.4603903294,
728.0055542,0.4922114313,
727.0075684,0.5278229117,
726.0092163,0.5626631975,
725.0105591,0.5967361927,
724.0115356,0.6336525083,
723.012207,0.670378685,
722.0124512,0.7066795826,
721.0124512,0.7427078485,
720.0120239,0.7821241021,
719.0113525,0.8089821339,
718.0103149,0.840390861,
717.0089111,0.8725996614,
716.0071411,0.9035036564,
715.0050659,0.9295117855,
714.0026245,0.9545762539,
712.9998169,0.9759591222,
711.9968262,1.000950217,
710.9933472,1.013620377,
709.989563,1.023968101,
708.9854736,1.034511805,
708.0169678,1.041815996,
707.012146,1.049141526,
706.0070801,1.048181534,
705.0015869,1.039084911,
703.9959106,1.03270781,
702.9898071,1.020732403,
701.9833984,1.007745385,
701.0125732,0.9921576381,
700.0054932,0.9724358916,
698.9980469,0.9535121322,
697.9903564,0.9241160154,
696.9822998,0.9035773873,
696.0099487,0.8769029379,
695.0011597,0.8479355574,
693.9921265,0.8199264407,
692.9827881,0.795489192,
692.0091553,0.7699419856,
690.9991455,0.7387467027,
689.9888306,0.7054399848,
689.0142822,0.681476891,
688.0032349,0.6513072252,
686.9919434,0.6188293695,
686.0164795,0.5929222703,
685.0045776,0.5669456124,
683.9922485,0.5422998667,
683.0158081,0.5172019005,
682.0029297,0.4938333333,
680.9897461,0.4748876095,
680.0123901,0.4585227966,
678.9984741,0.439332068,
677.984314,0.4227326512,
677.0061035,0.408816278,
675.991272,0.3936741352,
675.0123901,0.3833821416,
673.9970093,0.3726295829,
673.0175171,0.3655146956,
672.0014648,0.358035773,
670.9850464,0.3527473807,
670.0046997,0.3475708067,
668.9876709,0.345951885,
668.0067139,0.3431663215,
666.9891968,0.3424062431,
666.0075073,0.3421493173,
664.9893188,0.3426941335,
664.0072021,0.3446789384,
662.9882813,0.3462631702,
662.0054932,0.3500795066,
660.9860229,0.3542180657,
660.0027466,0.3581396341,
658.982605,0.3627766073,
657.9986572,0.3656230867,
657.0144653,0.3696613908,
655.9934692,0.3735444844,
655.008606,0.3770722151,
653.9870605,0.3800151944,
653.0016479,0.3827338517,
652.0159302,0.3845047057,
650.9934082,0.3851586878,
650.0071411,0.3865086138,
648.9840088,0.3859756887,
647.9971924,0.3845998049,
647.0100098,0.3811866343,
645.9859619,0.3778283894,
644.998291,0.3736236393,
644.0102539,0.3689326644,
642.9853516,0.3633195758,
641.9967651,0.3564981222,
641.0079346,0.3499310315,
639.9821167,0.3405546546,
638.9927368,0.3324296474,
638.0029297,0.3219105601,
637.0130005,0.313361764,
635.9860229,0.3028156757,
634.9954224,0.2926392555,
634.0045776,0.2815616727,
