s34,,
Wavelength (nm),Abs,
899.9954224,0.005366120487,
898.9996338,0.004581277724,
898.0032959,0.004899976775,
897.0066528,0.00479375245,
896.0093994,0.005449810065,
895.0116577,0.005536111537,
894.0136108,0.006361742038,
893.0148315,0.006606155075,
892.015625,0.007283384446,
891.0159912,0.00687908195,
890.0158691,0.007391851861,
889.0152588,0.007693386171,
888.0141602,0.008947360329,
887.0125732,0.008999657817,
886.0106201,0.00945477467,
885.0080566,0.01009150036,
884.0050049,0.01106560323,
883.0014648,0.01153203566,
881.9975586,0.01197672356,
880.993103,0.01321120095,
879.9882202,0.01347989962,
879.0162964,0.01445379946,
878.010437,0.01615673304,
877.0040894,0.01647371985,
875.9972534,0.01870520785,
874.9899902,0.01930136234,
874.0158081,0.02049566805,
873.0076294,0.02322833054,
871.9989624,0.02479100786,
870.9897461,0.02705561928,
870.0137329,0.02916873246,
869.0037231,0.03088322096,
867.993042,0.03473100439,
867.0157471,0.03587234765,
866.0042725,0.03912626952,
864.9922485,0.04112341627,
864.0136108,0.04398505762,
863.0007324,0.04754844308,
861.9873047,0.05152275413,
861.0073242,0.05583625659,
859.992981,0.06034360081,
859.012085,0.06536349654,
857.9969482,0.06924144179,
857.0151367,0.07651849836,
855.9990234,0.08401941508,
855.0162964,0.09097701311,
853.9993286,0.09838720411,
853.0157471,0.1080401093,
851.9978027,0.1191711873,
851.0133667,0.1304836273,
849.9945679,0.1432427168,
849.0092163,0.1570253223,
847.9894409,0.1706710309,
847.0032349,0.1878762245,
846.0166016,0.205327034,
844.9955444,0.2266520709,
844.0079956,0.2504554987,
842.9859619,0.2715367973,
841.9976807,0.2952941358,
841.0089722,0.3210841119,
839.9854736,0.3485795557,
838.9959106,0.37857005,
838.0057373,0.4143535495,
837.0153198,0.4482630491,
835.9901733,0.4862339199,
834.9987793,0.5246644616,
834.006958,0.5592986345,
833.0147705,0.6022616625,
831.987915,0.6478199959,
830.994873,0.687920332,
830.0013428,0.7318172455,
829.0075073,0.7802026272,
828.0130615,0.8137816787,
826.9840088,0.8581055403,
825.9887695,0.9057868719,
824.9932251,0.9384269118,
823.9972534,0.9830886126,
823.0006714,1.011748075,
822.0038452,1.044354439,
821.0066528,1.073144197,
820.0087891,1.116034508,
819.0107422,1.124258041,
818.012207,1.129227281,
817.0132446,1.160433173,
816.0139771,1.172811866,
815.0141602,1.185423851,
814.0140381,1.189195991,
813.0133057,1.191306829,
812.0123901,1.188610435,
811.0109253,1.190104723,
810.0091553,1.18193841,
809.0068359,1.179331064,
808.0042114,1.162590027,
807.0012207,1.144978285,
805.9976807,1.127396226,
804.9937744,1.117509961,
803.989502,1.076635242,
802.9847412,1.064326525,
802.0144043,1.041133165,
801.0088501,1.01389873,
800.0029907,0.9855367541,
798.9966431,0.9591205716,
797.9899292,0.9322018027,
796.9829102,0.9056369066,
796.0100708,0.8894329667,
795.0021362,0.8510727882,
793.9938965,0.8245008588,
792.9851685,0.8023762703,
792.0108643,0.7770291567,
791.0012817,0.7508931756,
789.991394,0.7292560339,
789.0159302,0.708858192,
788.0053101,0.6834661961,
786.9941406,0.6652536988,
785.982605,0.643415451,
785.0056763,0.6232907772,
783.9933472,0.6060089469,
783.015686,0.5861551166,
782.0025635,0.5691000223,
780.9891357,0.5500032306,
780.0102539,0.5348337293,
778.9960327,0.5210873485,
778.0163574,0.5049375296,
777.0014038,0.4923771024,
775.9860229,0.4782960117,
775.005188,0.4668830037,
773.9890137,0.4571245015,
773.0075684,0.4459779263,
771.9906006,0.4353676736,
771.0083618,0.4271523058,
769.9906616,0.4176056683,
769.0076904,0.4123648703,
767.9891357,0.4031368196,
767.0054932,0.3964586258,
765.9862061,0.3907134235,
765.00177,0.3851935863,
764.0169067,0.3780086935,
762.996521,0.3740248084,
762.0109863,0.3681749105,
760.9898682,0.36474967,
760.00354,0.3608810306,
759.0169067,0.3588455021,
757.9946289,0.356562078,
757.0072021,0.3552030027,
755.9841919,0.3521025777,
754.9960938,0.3517445326,
754.0076294,0.3509853482,
752.9834595,0.3508400619,
751.9942627,0.3504209816,
751.0046997,0.3505071402,
750.0148315,0.3488358557,
748.9892578,0.3505375385,
747.9985962,0.3502790034,
747.0076294,0.3509485722,
746.0162354,0.3522980809,
744.9891968,0.3522385955,
743.9970703,0.3515894413,
743.0046387,0.3530579805,
742.0119629,0.3523373902,
740.9833374,0.3527551889,
739.9898682,0.3517525494,
738.9960938,0.3520605266,
738.0019531,0.3500334918,
737.0073853,0.3498962522,
736.0125732,0.348747313,
735.017395,0.3463335633,
733.9862671,0.3449383974,
732.9902954,0.34332183,
731.9940186,0.3404341638,
730.9974365,0.3382035494,
730.0004883,0.335786134,
729.0031738,0.33295241,
728.0055542,0.3305999339,
727.0075684,0.3274064958,
726.0092163,0.3245323598,
725.0105591,0.3223007619,
724.0115356,0.3191172481,
723.012207,0.3176303804,
722.0124512,0.3150814474,
721.0124512,0.3128343523,
720.0120239,0.3113158643,
719.0113525,0.3085494339,
718.0103149,0.3071626425,
717.0089111,0.3054269254,
716.0071411,0.304245621,
715.0050659,0.3025840819,
714.0026245,0.301342994,
712.9998169,0.2985801697,
711.9968262,0.2962890565,
710.9933472,0.2944976985,
709.989563,0.2910166383,
708.9854736,0.2884089649,
708.0169678,0.2840217054,
707.012146,0.2797798216,
706.0070801,0.2748361826,
705.0015869,0.2696033418,
703.9959106,0.2638540566,
702.9898071,0.2581487298,
701.9833984,0.2524188161,
701.0125732,0.2468010336,
700.0054932,0.2402557284,
698.9980469,0.2339862287,
697.9903564,0.2281665057,
696.9822998,0.221547991,
696.0099487,0.2167810351,
695.0011597,0.2117486894,
693.9921265,0.2055620104,
692.9827881,0.2007813007,
692.0091553,0.1964447796,
690.9991455,0.1923588067,
689.9888306,0.1855765134,
689.0142822,0.1826267838,
688.0032349,0.1778389513,
686.9919434,0.1741939038,
686.0164795,0.1709331721,
685.0045776,0.1660779864,
683.9922485,0.1626143157,
683.0158081,0.1598835588,
682.0029297,0.1571008116,
680.9897461,0.1541334689,
680.0123901,0.1510087997,
678.9984741,0.1482988,
677.984314,0.1462103724,
677.0061035,0.1432010978,
675.991272,0.1419789195,
675.0123901,0.140266031,
673.9970093,0.1372283101,
673.0175171,0.1363570094,
672.0014648,0.1347612888,
670.9850464,0.1331287622,
670.0046997,0.1309391558,
668.9876709,0.1303367466,
668.0067139,0.1293915063,
666.9891968,0.1277187616,
666.0075073,0.1262755394,
664.9893188,0.1259919107,
664.0072021,0.1247052699,
662.9882813,0.1238304004,
662.0054932,0.1229029447,
660.9860229,0.1219391301,
660.0027466,0.1212320924,
658.982605,0.1205653921,
657.9986572,0.1188072786,
657.0144653,0.1185121313,
655.9934692,0.1172609553,
655.008606,0.1160167605,
653.9870605,0.1146227345,
653.0016479,0.1132500023,
652.0159302,0.1123980135,
650.9934082,0.111041978,
650.0071411,0.1089664698,
648.9840088,0.1073423922,
647.9971924,0.1062855199,
647.0100098,0.1048286408,
645.9859619,0.1028685197,
644.998291,0.1006457806,
644.0102539,0.09914492071,
642.9853516,0.09680327028,
641.9967651,0.09522151202,
641.0079346,0.09308993816,
639.9821167,0.09086486697,
638.9927368,0.08899519593,
638.0029297,0.08740276098,
637.0130005,0.08527403325,
635.9860229,0.08353717625,
634.9954224,0.08104478568,
634.0045776,0.07941370457,
633.0134888,0.07681325823,
631.9852905,0.07557658851,
630.9936523,0.07375139743,
630.0016479,0.07200074196,
629.0093994,0.07057762146,
628.0169067,0.0690402016,
626.9873047,0.06725802273,
