S5_Diluted5,,
Wavelength (nm),Abs,
799.9958496,0.04170358181,
794.9996948,0.04020724446,
789.9934692,0.03896506503,
785.0123291,0.03958383948,
779.9865723,0.03943349048,
774.9859619,0.03873047605,
770.0109253,0.03727512807,
764.9914551,0.03856339306,
759.9976196,0.03866029531,
754.9946899,0.03764438629,
749.9825439,0.03641919047,
744.996582,0.03629779443,
740.00177,0.03455309197,
734.9981079,0.03229864314,
729.9855957,0.02921787463,
725,0.02717768215,
720.0057983,0.02634986863,
715.0031128,0.026974326,
709.9920044,0.02956620976,
705.0083008,0.03417152539,
700.0164795,0.03912306949,
695.0164795,0.04270631075,
690.0083008,0.04609000683,
684.9921875,0.04776686803,
680.0042725,0.04936771095,
675.0084839,0.05026254058,
670.0050049,0.0504703559,
664.9937744,0.04895108938,
660.0114136,0.04863694683,
654.9849854,0.04840254411,
649.9876099,0.04855732992,
644.9828491,0.04797938839,
640.0074463,0.04795649275,
634.9882202,0.0474322699,
629.9985352,0.04744881392,
625.0018311,0.04749152437,
619.9981079,0.04753267393,
614.9874878,0.04730120674,
610.006958,0.04718247429,
604.9827271,0.04739589244,
599.9888306,0.04937565699,
594.9882202,0.05229883268,
590.0182495,0.06125754118,
585.0047607,0.08236435056,
579.9848022,0.1332221925,
574.9957275,0.2497522235,
570.0004272,0.4768187404,
564.9989624,0.7488181591,
559.991394,0.9269474149,
555.0151978,0.9401282668,
549.9955444,0.8510119319,
545.0075073,0.7207558155,
540.0136108,0.5957084298,
535.0140381,0.5047949553,
530.008728,0.4585481584,
524.9977417,0.4388821721,
519.9811401,0.4148794711,
514.9967651,0.3691120744,
510.0070496,0.3101733625,
505.0119324,0.2540676296,
500.0114746,0.2079217583,
495.0058289,0.1732434183,
489.9949341,0.1493995935,
485.0169373,0.1302466989,
479.9957886,0.1112228259,
475.007782,0.09695152193,
470.0148621,0.0862204358,
465.0169678,0.07997455448,
460.0144043,0.07721281052,
455.0069885,0.07370642573,
449.9948425,0.0725312382,
445.0164185,0.07038026303,
439.9950867,0.06875783205,
435.0076294,0.06760489196,
430.0156555,0.06640572101,
424.9808655,0.06569181383,
420.0186462,0.0647597611,
415.0137024,0.06358626485,
410.0045471,0.06313399225,
404.9911804,0.06260378659,
400.0122986,0.06192248315,

S5_Diluted5,
S5_Diluted5
Collection Time: 2/5/2025 3:46:56 PM
Operator Name  :
Scan Version 5.1.0.1016
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  400.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.00
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 2/5/2025 3:33:11 PM
Method Modifications:
X Stop nm Changed: 2/5/2025 3:37:42 PM, Old:  200.0, New:  400.0
End Method Modifications
<Current Wavelength> , 493.2

