1:6 F,,
Wavelength (nm),Intensity (a.u.),
350,0.6010292768,
352,0.52097404,
354,0.4491353929,
356,0.50280267,
358,0.6023076177,
360,0.7724772096,
362,1.011006594,
364,1.030082226,
366,0.9117674828,
368,0.7498922348,
370,0.5281173587,
371.9599915,0.3197953403,
373.9299927,0.4304133654,
376.0599976,0.4631516635,
378.0299988,0.6024663448,
380,0.3502695262,
382,0.3153454959,
384,0.4072924852,
386,0.2703224719,
388,0.3705292642,
390,0.3512743711,
392,0.1135825813,
394,0.2066581547,
396,0.3406574726,
398,0.3206700087,
400,0.1311745793,
401.9599915,0.2293358892,
403.9299927,0.3374704719,
406.0599976,0.3208879232,
408.0299988,0.3016079366,
410,0.1887397766,
412,0.2991604805,
414,0.248011142,
416,0.3484792709,
418,0.2450333536,
420,0.2239599824,
421.9599915,0.4100499451,
423.9299927,0.4286805987,
426.0599976,0.447694391,
428.0299988,0.3193207979,
430,0.3554591238,
431.9599915,0.3648443818,
433.9299927,0.4121779799,
436.0599976,0.1896885335,
438.0299988,0.2062435597,
440,0.3732317984,
442,0.2314011306,
444,0.2460583299,
446,0.1941559017,
448,0.3218477964,
450,0.2933870554,
451.9400024,0.3845858276,
454.019989,0.1930464655,
455.9700012,0.2748493254,
458.0499878,0.4118212461,
460,0.4692265689,
461.9599915,0.4829704762,
463.9299927,0.5602565408,
466.0599976,0.6167129278,
468.0299988,0.5994855762,
470,0.8731082678,
471.9599915,1.016884089,
473.9299927,1.683403969,
476.0599976,2.282973528,
478.0299988,3.08041811,
480,4.555594921,
481.9599915,6.746438503,
483.9299927,10.41465092,
486.0599976,15.39676285,
488.0299988,23.76654625,
490,33.39874649,
491.9400024,48.95758438,
494.019989,71.22016144,
495.9700012,96.31707001,
498.0499878,136.0698853,
500,180.2633667,
501.9400024,229.0643158,
504.019989,288.09021,
505.9700012,342.3481445,
508.0499878,399.2861328,
510,436.7017517,
511.9599915,468.9970703,
513.9299927,484.9084167,
516.0599976,490.3226013,
518.0300293,479.8716431,
520,464.2745972,
522.0499878,437.8654785,
523.9699707,413.2400818,
526.0200195,388.6942139,
527.9400024,360.1988525,
530,329.6621094,
531.9400024,305.7684021,
534.0200195,280.9828491,
535.9699707,257.7825317,
538.0499878,240.7883759,
540,224.9960175,
541.9400024,209.1927643,
544.0200195,197.548645,
545.9699707,186.2573395,
548.0499878,175.2438507,
550,166.486969,
551.9400024,156.9030609,
554.0200195,148.7410278,
555.9699707,140.1565247,
558.0499878,130.1097412,
560,120.8558426,
562.0499878,112.243721,
563.9699707,104.5363312,
566.0200195,96.37924194,
567.9400024,88.67688751,
570,80.85098267,
572.0499878,74.44325256,
573.9699707,68.31993866,
576.0200195,62.72014236,
577.9400024,56.8792038,
580,53.21195984,
582.0499878,47.97033691,
583.9699707,43.72089386,
586.0200195,39.75046539,
587.9400024,36.86294174,
590,34.17344666,
592.0499878,30.56027222,
593.9699707,29.76884651,
596.0200195,26.23514175,
597.9400024,25.04908943,
600,22.34307861,
602.0499878,21.43614388,
603.9699707,20.07392693,
606.0200195,18.51887321,
607.9400024,17.08548355,
610,16.11109924,
612.0200195,14.71016312,
614.0499878,13.77497005,
615.9400024,12.24137974,
617.9699707,11.6436615,
620,10.71536922,
622.0200195,10.1181078,
624.0499878,8.919369698,
625.9400024,8.333648682,
627.9699707,7.569354534,
630,6.97446537,
632.0200195,6.525941372,
634.0499878,5.923019886,
635.9400024,5.351551533,
637.9699707,5.969868183,
640,8.349637985,
642.0200195,17.73617554,
644.0499878,34.11706924,
645.9400024,55.28091049,
647.9699707,87.24175262,
650,103.7507401,
652.0200195,78.14151764,
654.0499878,51.61302948,
655.9400024,23.86321259,
657.9699707,6.363911152,
660,2.424242496,
662,2.068512201,
664,1.828292847,
666,1.633605599,
668,1.46437943,
670,1.622059941,
672.0200195,1.348243356,
674.0499878,1.127223372,
675.9400024,1.432664752,
677.9699707,1.029120326,
680,1.031687617,
682,0.9546807408,
684,0.902679801,
686,0.8606818318,
688,0.7606679201,
690,0.8611781001,
691.9699707,0.6460193396,
693.9400024,0.6822575331,
696.0499878,0.6601780653,
698.0200195,0.6198928952,
700,0.6302761436,

1:6 F,
1:6 F
Collection Time: 2/5/2025 3:10:40 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17430003
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        350.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               323.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     2.5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 2/5/2025 2:01:05 PM
Method Modifications:
Ex. Slit Width (nm): Changed: 2/5/2025 2:03:03 PM, Old:5, New:2.5
Em. Slit Width (nm): Changed: 2/5/2025 2:03:03 PM, Old:5, New:2.5
Scan Control Changed: 2/5/2025 2:03:03 PM, Old:Medium, New:Fast
Excitation Wavelength Changed: 2/5/2025 2:03:03 PM, Old: 350.00, New: 323.00
Data interval: Changed: 2/5/2025 2:03:03 PM, Old:   1.00, New:   2.00
Emission Wavelength Changed: 2/5/2025 2:03:03 PM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 2/5/2025 2:03:03 PM, Old: 600.00, New: 700.00
Ex. Slit Width (nm): Changed: 2/5/2025 2:07:58 PM, Old:2.5, New:5
Em. Slit Width (nm): Changed: 2/5/2025 2:07:58 PM, Old:2.5, New:5
Ex. Slit Width (nm): Changed: 2/5/2025 2:09:00 PM, Old:5, New:2.5
