Hydroquinone,,
Wavelength (nm),Intensity (a.u.),
290,3.720777035,
291.0700073,2.290428638,
292,1.581253171,
293.0700073,0.3823212385,
294,-0.01351934671,
295.0700073,-0.4129478335,
296,-0.4399155378,
297.0700073,-0.6525071859,
298,-0.7437612414,
299.0700073,-0.6707949638,
300,-0.7001452446,
301.0700073,-0.3840991855,
302,-0.5434523225,
303.0700073,-0.7260701656,
304,-0.6948150396,
305.0700073,-0.4301732183,
306,-0.3173466921,
307.0700073,-0.5247524977,
308,-0.2675017118,
309.0700073,-0.08011335135,
310,0.2157841921,
311.0700073,0.5891134739,
312,3.009255886,
313.0700073,5.869222164,
314,13.25391293,
315.0700073,24.14388084,
316,39.70138931,
317.0700073,62.20956421,
318,89.04216766,
319.0700073,117.3619614,
320,143.3503723,
321.0700073,173.8477783,
322,198.6113434,
323.0700073,216.7721405,
324,234.5426941,
325.0700073,246.9088135,
326,251.8604431,
327.0700073,264.8387451,
328,264.4615479,
329.0700073,269.4210205,
330,259.959198,
331.0700073,269.0329285,
332,259.7623901,
333.0700073,269.4842834,
334,257.2328491,
335.0700073,250.7886505,
336,246.6213379,
337.0700073,241.6231384,
338,234.0464172,
339.0700073,226.5796661,
340,219.2441559,
341.0700073,214.9297333,
342,206.9323883,
343.0700073,205.394928,
344,199.0748901,
345.0700073,185.9094849,
346,176.4590759,
347.0700073,171.9081573,
348,163.8157501,
349.0700073,163.1713409,
350,155.7260742,
351.0700073,150.5673218,
352,145.5551605,
353.0700073,135.2489014,
354,133.0428162,
355.0700073,121.6377792,
356,114.7317123,
357.0700073,114.3359985,
358,106.7004166,
359.0700073,102.0410233,
360,97.16705322,
361.0599976,90.73308563,
361.9599915,91.00917053,
363.0299988,81.39525604,
363.9299927,82.55321503,
365,76.81358337,
366.0599976,69.81912994,
366.9599915,66.17441559,
368.0299988,60.70577621,
368.9299927,60.05028534,
370,56.89369202,
371.0700073,51.02158356,
372,49.35074234,
373.0700073,47.68965149,
374,45.20209122,
375.0700073,44.66841507,
376,40.03223801,
377.0700073,39.63151169,
378,37.3249855,
379.0700073,32.33052444,
380,31.5151329,
381.0599976,29.89636993,
381.9599915,31.49443436,
383.0299988,26.80285072,
383.9299927,24.99812508,
385,26.13294601,
386.0599976,23.3665657,
386.9599915,19.71356773,
388.0299988,19.11918259,
388.9299927,20.70098495,
390,17.87647057,
391.0700073,16.97831726,
392,14.58845806,
393.0700073,17.38138008,
394,14.99758244,
395.0700073,14.31200981,
396,13.84022141,
397.0700073,12.89215183,
398,11.37743759,
399.0700073,11.52758503,
400,10.56984043,
401.0599976,9.576818466,
401.9599915,9.647517204,
403.0299988,7.284605026,
403.9299927,7.513318062,
405,6.892456055,
406.0599976,7.207877159,
406.9599915,6.527309895,
408.0299988,6.904154301,
408.9299927,5.912164688,
410,5.297482491,
411.0599976,5.802809238,
411.9599915,4.597110748,
413.0299988,4.19800806,
413.9299927,4.645746708,
415,4.229050636,
416.0599976,3.603296757,
416.9599915,3.331147194,
418.0299988,3.266526699,
418.9299927,3.846286297,
420,3.666422844,
421.0599976,2.847999096,
421.9599915,2.259970188,
423.0299988,1.879416347,
423.9299927,2.784740925,
425,2.55091238,
426.0599976,2.043780327,
426.9599915,1.875383258,
428.0299988,1.584792733,
428.9299927,1.916215062,
430,2.246080875,
431.0599976,1.242603421,
431.9599915,1.417375922,
433.0299988,0.4125573635,
433.9299927,1.537431359,
435,1.261792779,
436.0599976,0.7801343203,
436.9599915,0.9625422955,
438.0299988,0.6357649565,
438.9299927,0.7846843004,
440,0.6927623749,
441.0599976,0.3755280972,
441.9599915,0.4170014858,
443.0299988,0.8067486286,
443.9299927,0.7544436455,
445,0.2969628572,
446.0599976,0.4658085108,
446.9599915,0.1793539524,
448.0299988,0.0983941555,
448.9299927,0.1271750927,
450,0.4026063681,
451.0400085,-0.07952570915,
451.9400024,0.2065256834,
452.980011,0.108576417,
454.019989,-0.02950948477,
455.0700073,-0.2527412176,
455.9700012,0.1372432709,
457.0100098,0.008113503456,
458.0499878,0.008101701736,
458.9500122,-0.006791830063,
460,-0.2337325215,
461.0599976,0.2448126078,
461.9599915,-0.423496604,
463.0299988,-0.3695505261,
463.9299927,-0.2201625705,
465,-0.2377767563,
466.0599976,-0.4098182321,
466.9599915,-0.1112215519,
468.0299988,-0.07519257069,
468.9299927,-0.170078814,
470,-0.3518840075,
471.0400085,-0.2548103333,
471.9400024,-0.3783795834,
472.980011,-0.5387855768,
474.019989,-0.2468869686,
475.0700073,-0.2079977393,
475.9700012,-0.5624163151,
477.0100098,-0.4740197659,
478.0499878,-0.7282499075,
478.9500122,-0.5078623891,
480,-0.5722733736,
481.0599976,-0.4634349346,
481.9599915,-0.5030171275,
483.0299988,-0.6833536625,
483.9299927,-0.6083027124,
485,-0.7437413931,
486.0599976,-0.4656860828,
486.9599915,-0.5556110144,
488.0299988,-0.316251874,
488.9299927,-0.4911147356,
490,-0.535291791,
491.0400085,-0.8139593601,
491.9400024,-0.3119867444,
492.980011,-0.6349823475,
494.019989,-0.4307131767,
495.0700073,-0.6092786193,
495.9700012,-0.5823944807,
497.0100098,-0.5830527544,
498.0499878,-0.4693090916,
498.9500122,-0.6505035162,
500,-0.6731604338,
501.0400085,-0.5605889559,
501.9400024,-0.6735295057,
502.980011,-0.5739845634,
504.019989,-0.8146792054,
505.0700073,-0.7276828289,
505.9700012,-0.6017817259,
507.0100098,-0.5790098906,
508.0499878,-0.5424333811,
508.9500122,-0.6589878798,
510,-0.490934968,
511.019989,-0.6033761501,
512.0499878,-0.7367306352,
512.9400024,-0.4994405508,
513.9699707,-0.801550746,
515,-0.767880857,
516.0200195,-0.6958864927,
517.0499878,-0.6940267086,
