Hydroquinone in Methanol,,
Wavelength (nm),Intensity (a.u.),
290,0.8835268021,
292,-0.09729957581,
294,-0.7596487999,
296,-0.805087328,
298,-1.075427651,
300,-0.9099949598,
302,-0.9415780306,
304,-1.038627148,
306,-1.069237947,
308,-0.8210251927,
310,-0.6247310042,
312,-0.3689735532,
314,0.08250260353,
316,1.893710375,
318,9.340837479,
320,23.95410538,
322,53.92628098,
324,92.36927795,
326,124.5057755,
328,153.5523529,
330,164.2970581,
332,163.8183441,
334,163.1786041,
336,157.7812805,
338,150.6212158,
340,144.6587524,
342,131.7563629,
344,125.1954803,
346,113.9953079,
348,103.6616974,
350,101.2387619,
352,96.07244873,
354,84.1559906,
356,81.64202881,
358,73.48941803,
360,62.50614548,
361.9599915,58.56495285,
363.9299927,51.16254044,
366.0599976,50.09836578,
368.0299988,40.39451981,
370,37.71376801,
372,36.6019783,
374,31.16812515,
376,29.00133896,
378,24.5396595,
380,22.06126785,
381.9599915,21.60906792,
383.9299927,18.59668922,
386.0599976,15.46951008,
388.0299988,13.7828083,
390,13.4314785,
392,10.8359127,
394,10.47114944,
396,8.617312431,
398,8.229139328,
400,6.828221321,
401.9599915,6.180624008,
403.9299927,5.250325203,
406.0599976,4.962341309,
408.0299988,3.955344439,
410,3.830786467,
411.9599915,2.708739519,
413.9299927,2.938078642,
416.0599976,2.081497431,
418.0299988,1.686262131,
420,1.417766809,
421.9599915,0.8794703484,
423.9299927,1.705142736,
426.0599976,1.368950605,
428.0299988,0.7626979351,
430,0.2186719179,
431.9599915,0.56473279,
433.9299927,0.4906009436,
436.0599976,-0.08484470844,
438.0299988,0.01791965961,
440,-0.2475832105,
441.9599915,-0.4314417243,
443.9299927,-0.00381052494,
446.0599976,-0.1340095997,
448.0299988,-0.2062630057,
450,-0.4674566984,
451.9400024,-0.6118540764,
454.019989,-0.6345623732,
455.9700012,-0.3709341288,
458.0499878,-0.662861526,
460,-0.6061908603,
461.9599915,-0.3789067864,
463.9299927,-0.5173428059,
466.0599976,-0.5352627635,
468.0299988,-0.8023326993,
470,-0.6622388959,
471.9400024,-0.7510603666,
474.019989,-0.7234773636,
475.9700012,-0.7775752544,
478.0499878,-0.8442816734,
480,-0.5256894827,
481.9599915,-0.6139553189,
483.9299927,-0.8391728401,
486.0599976,-0.8075534105,
488.0299988,-0.5508275032,
490,-0.8253284693,
491.9400024,-0.5769273639,
494.019989,-0.7566488981,
495.9700012,-0.8689702153,
498.0499878,-0.8473946452,
500,-0.8082717657,
501.9400024,-1.080670953,
504.019989,-0.7671707869,
505.9700012,-0.9881089926,
508.0499878,-0.970276475,
510,-0.9622684717,
512.0499878,-0.8798565269,
513.9699707,-1.01819396,
516.0200195,-1.058329344,
517.9400024,-1.018251777,
520,-0.8333857059,
521.9400024,-0.9175390005,
524.0200195,-0.9106696844,
525.9699707,-0.847501874,
528.0499878,-1.024926305,
530,-1.196165681,
531.9400024,-1.037271857,
534.0200195,-1.123058319,
535.9699707,-1.079815388,
