Methanol,,
Wavelength (nm),Intensity (a.u.),
290,768.2553711,
292,358.1370239,
294,90.26330566,
296,25.53295517,
298,25.6041851,
300,27.55321503,
302,33.1060791,
304,42.9802742,
306,68.21148682,
308,108.7993622,
310,180.6921997,
312,274.4906921,
314,365.4498596,
316,420.0282593,
318,454.3429871,
320,463.3895264,
322,472.9410706,
324,490.1046753,
326,492.8719482,
328,494.7620544,
330,488.8919678,
332,476.5117798,
334,462.5512695,
336,445.8344116,
338,416.1542664,
340,393.0392761,
342,365.6014099,
344,338.5625916,
346,313.5510864,
348,285.0180969,
350,258.7584534,
352,241.9815063,
354,218.4678802,
356,200.7280426,
358,180.6161346,
360,157.6521301,
361.9599915,139.7111511,
363.9299927,128.2739258,
366.0599976,113.5402832,
368.0299988,100.4000931,
370,86.63700867,
372,75.3796463,
374,67.34217072,
376,58.45418549,
378,49.5800209,
380,46.35299301,
381.9599915,38.11280823,
383.9299927,35.45383835,
386.0599976,30.72378731,
388.0299988,27.79201126,
390,24.55550385,
392,22.59533882,
394,21.70060921,
396,18.13328362,
398,15.67757702,
400,12.3478899,
401.9599915,11.86848831,
403.9299927,10.09279823,
406.0599976,9.693590164,
408.0299988,8.620615959,
410,7.647481918,
411.9599915,6.890592575,
413.9299927,7.167887688,
416.0599976,6.293494225,
418.0299988,5.325479507,
420,5.88897419,
421.9599915,4.59607029,
423.9299927,4.217363358,
426.0599976,4.015891075,
428.0299988,3.635729074,
430,4.07420826,
431.9599915,3.349917173,
433.9299927,3.453478575,
436.0599976,3.23859334,
438.0299988,2.233458757,
440,2.240913391,
441.9599915,2.956912279,
443.9299927,2.197000742,
446.0599976,2.353957891,
448.0299988,2.501913071,
450,1.563960791,
451.9400024,2.550876141,
454.019989,1.765973806,
455.9700012,1.778065205,
458.0499878,1.689024925,
460,1.235613823,
461.9599915,1.597332001,
463.9299927,1.227487326,
466.0599976,1.236344337,
468.0299988,1.79436636,
470,1.780399084,
471.9400024,1.210334301,
474.019989,1.414866209,
475.9700012,1.291753292,
478.0499878,1.540448666,
480,0.8685193062,
481.9599915,1.863378048,
483.9299927,1.711709023,
486.0599976,1.412656546,
488.0299988,1.330511332,
490,1.527092934,
491.9400024,0.8332669735,
494.019989,1.213567734,
495.9700012,1.829423428,
498.0499878,1.483550549,
500,1.754826546,
501.9400024,2.219702005,
504.019989,1.817981243,
505.9700012,1.423355103,
508.0499878,1.206293106,
510,1.745284796,
512.0499878,1.942950249,
513.9699707,1.306157351,
516.0200195,1.332803965,
517.9400024,1.345291376,
520,1.04047513,
521.9400024,1.403286457,
524.0200195,1.273444176,
525.9699707,1.351722479,
528.0499878,1.605938435,
530,1.216017008,
531.9400024,1.272369146,
534.0200195,1.605571985,
535.9699707,1.282800436,
538.0499878,1.202613354,
540,1.013754845,
542.0499878,1.281970501,
543.9699707,1.196837187,
546.0200195,1.692541838,
547.9400024,1.392189026,
550,1.621986628,
552.0499878,1.215815306,
553.9699707,0.9843921661,
556.0200195,1.245917559,
557.9400024,1.274549961,
560,1.040185452,
562.0499878,2.525980473,
563.9699707,6.207717896,
566.0200195,21.04087639,
567.9400024,76.54829407,
570,219.6526642,
572.0499878,446.6061096,
573.9699707,633.5026855,
576.0200195,684.87677,
577.9400024,640.4488525,
580,545.9083862,
582.0200195,363.9546509,
584.0499878,177.2932281,
585.9400024,65.08554077,
587.9699707,16.4554615,
590,8.799963951,
592.0499878,11.14183617,
593.9699707,12.39103508,
596.0200195,14.06208038,
597.9400024,13.96154785,
600,12.68712234,
602.0200195,11.98810005,
604.0499878,11.55682755,
605.9400024,12.19082737,
607.9699707,12.78471375,
610,15.3579607,
612.0200195,17.07892227,
614.0499878,21.1559391,
615.9400024,25.38380051,
617.9699707,32.54459,
620,39.72021866,
622.0200195,51.48994446,
624.0499878,63.05104446,
625.9400024,78.96389008,
627.9699707,81.6680603,
630,93.80033875,
632.0200195,92.0080719,
634.0499878,95.40119934,
635.9400024,93.20739746,
637.9699707,87.47167206,
640,88.84316254,
642,88.35258484,
644,89.14781189,
646,87.87267303,
648,85.50811768,
650,84.61912537,
652.0200195,84.74658966,
654.0499878,83.50876617,
655.9400024,80.39917755,
657.9699707,76.76680756,
660,78.87051392,
662,72.5118866,
664,72.2134552,
666,69.29000854,
668,66.58589172,
670,63.38492966,
672,60.14907455,
674,59.49761963,
676,56.3004837,
678,54.04105377,
680,50.2824173,
681.9699707,49.69157028,
683.9400024,45.65513229,
686.0499878,44.0099144,
688.0200195,39.24898911,
690,37.67959976,
692,35.32468414,
694,35.27865982,
696,30.68805122,
698,28.01660919,
700,27.08454704,

Methanol,
Methanol
Collection Time: 4/28/2025 1:39:07 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17430002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        290.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               288.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/28/2025 9:34:43 AM
Method Modifications:
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:Reading, New:ON
