Phloroglucinol in Methanol,,
Wavelength (nm),Intensity (a.u.),
290,999.6918945,
291.0700073,999.6918945,
292,789.7216797,
293.0700073,478.4591675,
294,277.8082581,
295.0700073,140.8536987,
296,89.32821655,
297.0700073,75.62697601,
298,73.27953339,
299.0700073,73.07853699,
300,77.03851318,
301.0700073,78.19834137,
302,80.69057465,
303.0700073,83.33300781,
304,81.57108307,
305.0700073,87.58296967,
306,90.58324432,
307.0700073,93.47389221,
308,98.94704437,
309.0700073,101.9590759,
310,114.67659,
311.0700073,127.0981674,
312,137.3413849,
313.0700073,151.4656372,
314,164.5664063,
315.0700073,179.5516052,
316,185.1907349,
317.0700073,190.2852173,
318,191.8545227,
319.0700073,198.8450317,
320,207.2208099,
321.0700073,234.4115601,
322,247.5456238,
323.0700073,279.9260864,
324,318.3525696,
325.0700073,359.5083618,
326,399.2635193,
327.0700073,431.9602966,
328,473.6691589,
329.0700073,494.6188965,
330,511.5460815,
331.0700073,548.0986938,
332,561.2491455,
333.0700073,584.6032715,
334,603.409668,
335.0700073,619.5662842,
336,633.3495483,
337.0700073,666.810791,
338,679.6549072,
339.0700073,696.9175415,
340,717.4141235,
341.0700073,745.3516235,
342,759.8828125,
343.0700073,787.3070068,
344,810.2218628,
345.0700073,805.927063,
346,834.6338501,
347.0700073,839.8165894,
348,848.9859619,
349.0700073,849.3040161,
350,852.5722046,
351.0700073,864.7703857,
352,864.6560669,
353.0700073,870.9946289,
354,873.361084,
355.0700073,869.3451538,
356,850.6994019,
357.0700073,861.2530518,
358,869.0321655,
359.0700073,850.5234985,
360,862.1015625,
361.0599976,853.4512329,
361.9599915,842.4060059,
363.0299988,837.5639648,
363.9299927,827.6577759,
365,816.326355,
366.0599976,813.6481323,
366.9599915,795.562439,
368.0299988,781.6030273,
368.9299927,772.5075073,
370,759.3440552,
371.0700073,751.1002808,
372,735.4140625,
373.0700073,718.2880859,
374,704.4186401,
375.0700073,692.3560791,
376,670.175415,
377.0700073,654.090271,
378,653.4355469,
379.0700073,636.3510132,
380,626.5880127,
381.0599976,603.6851807,
381.9599915,600.5587158,
383.0299988,577.0719604,
383.9299927,585.689209,
385,565.8933105,
386.0599976,543.3887939,
386.9599915,542.4654541,
388.0299988,518.4766846,
388.9299927,507.0022278,
390,497.6503296,
391.0700073,490.3434143,
392,475.734436,
393.0700073,463.0610046,
394,448.0561523,
395.0700073,444.2232056,
396,431.9291992,
397.0700073,413.6291504,
398,414.1123352,
399.0700073,393.3280029,
400,388.1708984,
401.0599976,369.0292664,
401.9599915,365.484375,
403.0299988,353.0260925,
403.9299927,351.9483948,
405,335.0405273,
406.0599976,330.1028442,
406.9599915,317.5076294,
408.0299988,317.3556213,
408.9299927,307.1343384,
410,295.2879028,
411.0599976,288.9994507,
411.9599915,281.0587769,
413.0299988,270.8553467,
413.9299927,259.096283,
415,261.21521,
416.0599976,245.7355804,
416.9599915,241.5459595,
418.0299988,232.4085999,
418.9299927,227.0125732,
420,217.2553253,
421.0599976,207.2664032,
421.9599915,207.5107574,
423.0299988,200.92659,
423.9299927,191.4203186,
425,190.0825348,
426.0599976,174.0715485,
426.9599915,174.4700317,
428.0299988,164.0785217,
428.9299927,159.4031219,
430,154.6376495,
431.0599976,149.5055389,
431.9599915,147.0382843,
433.0299988,144.995636,
433.9299927,138.6005096,
435,134.2276917,
436.0599976,128.8464508,
436.9599915,131.0184937,
438.0299988,127.0878067,
438.9299927,121.7901535,
440,115.9230804,
441.0599976,116.200058,
441.9599915,109.9747009,
443.0299988,109.969368,
443.9299927,108.4938431,
445,103.4573669,
446.0599976,101.2007523,
446.9599915,99.54884338,
448.0299988,98.99369049,
448.9299927,96.4522934,
450,92.52175903,
451.0400085,92.38117981,
451.9400024,86.97998047,
452.980011,88.0859375,
454.019989,85.95281219,
455.0700073,84.652771,
455.9700012,80.57228851,
457.0100098,81.76468658,
458.0499878,81.53704834,
458.9500122,77.42630768,
460,75.41220093,
461.0599976,72.83918762,
461.9599915,69.60570526,
463.0299988,68.37111664,
463.9299927,66.19281769,
465,67.34368896,
466.0599976,67.15512848,
466.9599915,62.18561172,
468.0299988,57.99924088,
468.9299927,58.59173965,
470,56.63532257,
471.0400085,57.08310318,
471.9400024,57.37886047,
472.980011,51.97835541,
474.019989,49.90493011,
475.0700073,50.83370972,
475.9700012,48.5848999,
477.0100098,47.98160553,
478.0499878,47.73962402,
478.9500122,45.08078003,
480,46.24322891,
481.0599976,44.90328979,
481.9599915,42.69568253,
483.0299988,41.54483414,
483.9299927,40.42675781,
485,41.63376236,
486.0599976,39.3218956,
486.9599915,39.92658234,
488.0299988,38.5208168,
488.9299927,36.57211685,
490,35.73252106,
491.0400085,34.55067062,
491.9400024,35.02246475,
492.980011,33.71009064,
494.019989,32.48255539,
495.0700073,30.52380371,
495.9700012,31.88210869,
497.0100098,28.19029045,
498.0499878,29.44788551,
498.9500122,27.94976044,
500,28.01472282,
501.0400085,27.46007538,
