Phloro pH 14,,
Wavelength (nm),Intensity (a.u.),
500,2.372837305,
501.0400085,1.813324809,
501.9400024,2.267207146,
502.980011,2.108742237,
504.019989,2.132205963,
505.0700073,2.114424944,
505.9700012,2.508153915,
507.0100098,2.32700491,
508.0499878,2.207008839,
508.9500122,2.829027176,
510,2.338783979,
511.019989,2.471063852,
512.0499878,2.722434282,
512.9400024,2.66822648,
513.9699707,2.519478559,
515,2.720411777,
516.0200195,2.98178339,
517.0499878,3.05618453,
517.9400024,3.028097868,
518.9699707,2.795046568,
520,3.699890137,
521.039978,3.410273075,
521.9400024,3.595033169,
522.9799805,3.653014183,
524.0200195,3.338647604,
525.0700073,4.197108269,
525.9699707,4.762336731,
527.0100098,5.416791916,
528.0499878,5.510585308,
528.9500122,5.045323372,
530,4.942297459,
531.039978,5.131921291,
531.9400024,4.766191006,
532.9799805,5.26080513,
534.0200195,5.30565834,
535.0700073,4.878144264,
535.9699707,4.646098137,
537.0100098,3.983985186,
538.0499878,3.780522585,
538.9500122,3.547131538,
540,3.249474287,
541.0200195,3.124712706,
542.0499878,2.854558706,
542.9400024,2.771605015,
543.9699707,2.679852724,
545,3.139195442,
546.0200195,3.096742392,
547.0499878,2.617788076,
547.9400024,2.460997343,
548.9699707,2.197386026,
550,2.577703714,
551.0200195,2.730493069,
552.0499878,2.538981199,
552.9400024,2.567294598,
553.9699707,2.573138952,
555,2.626927614,
556.0200195,2.335857391,
557.0499878,2.532152891,
557.9400024,2.757607698,
558.9699707,2.402768135,
560,2.378587961,
561.0200195,2.209704876,
562.0499878,2.449313402,
562.9400024,2.326098204,
563.9699707,2.559954882,
565,2.502536535,
566.0200195,2.075588465,
567.0499878,1.878952861,
567.9400024,1.822356462,
568.9699707,1.978834152,
570,2.376745701,
571.0200195,2.049200296,
572.0499878,2.361720562,
572.9400024,1.998812199,
573.9699707,2.154442072,
575,2.424855947,
576.0200195,1.837932944,
577.0499878,1.867820263,
577.9400024,2.213830709,
578.9699707,1.971440434,
580,2.078831673,
581.0100098,1.711074233,
582.0200195,2.029072046,
583.039978,1.888932705,
584.0499878,1.728803754,
585.0700073,1.918047905,
585.9400024,1.807705402,
586.9500122,1.983682156,
587.9699707,1.863050938,
588.9799805,1.47542727,
590,1.788067818,
591.0200195,1.967643142,
592.0499878,1.877210736,
592.9400024,1.780101061,
593.9699707,1.682459474,
595,1.840151548,
596.0200195,1.31114769,
597.0499878,1.693443179,
597.9400024,1.687388182,
598.9699707,1.702008009,
600,1.519727468,
601.0100098,1.609628439,
602.0200195,1.82515502,
603.039978,1.313668966,
604.0499878,1.515299201,
605.0700073,1.691514254,
605.9400024,1.312943816,
606.9500122,1.329278469,
607.9699707,1.444810629,
608.9799805,1.134435534,
610,1.717614412,
611.0100098,1.152492166,
612.0200195,1.11000216,
613.039978,1.251983523,
614.0499878,1.303496599,
615.0700073,1.323102593,
615.9400024,1.361829519,
616.9500122,1.467643142,
617.9699707,1.307810664,
618.9799805,1.166314483,
620,0.9119772911,
621.0100098,1.339038849,
622.0200195,1.028781295,
623.039978,1.074640393,
624.0499878,0.9706045389,
625.0700073,0.989795208,
625.9400024,1.092922568,
626.9500122,0.9782619476,
627.9699707,1.182346225,
628.9799805,1.01552093,
630,1.151916385,
631.0100098,1.109456658,
632.0200195,0.9358474016,
633.039978,0.8589962125,
634.0499878,0.763496995,
635.0700073,0.970826447,
635.9400024,0.8743466735,
636.9500122,1.169332027,
637.9699707,0.7959905863,
638.9799805,0.9041546583,
640,1.218573689,
641,0.9317013621,
642,0.8299936652,
643,0.8137499094,
644,0.735994041,
645,0.8228181601,
646,0.9159650803,
647,0.8387656808,
648,0.4767943621,
649,0.7300890088,
650,0.8391103745,
651.0100098,0.8309159279,
652.0200195,0.8270925879,
653.039978,0.801574707,
654.0499878,0.5191389322,
655.0700073,0.7234025598,
655.9400024,0.4414101839,
656.9500122,0.5372225642,
657.9699707,0.6278630495,
658.9799805,0.8474282026,
660,0.6310610175,
661,0.6498144865,
662,0.4887463748,
663,0.5348039269,
664,0.6996831298,
665,0.5487065315,
666,0.4385483861,
667,0.5034724474,
668,0.4575134218,
669,0.4200891852,
670,0.5098597407,
671,0.4067889452,
672,0.4504617155,
673,0.3897500634,
674,0.4105275273,
675,0.4130910337,
676,0.4788452983,
677,0.353315264,
678,0.4848140478,
679,0.3127443194,
680,0.376563102,
680.9799805,0.3820670247,
681.9699707,0.3305360973,
682.9500122,0.3210589886,
683.9400024,0.4159611762,
685.0700073,0.3477783799,
686.0499878,0.3932955265,
687.039978,0.2516294122,
688.0200195,0.2931312919,
689.0100098,0.3649457395,
690,0.3455697894,
691,0.3964110315,
692,0.2416054159,
693,0.1853568107,
694,0.2947953641,
695,0.3246391416,
696,0.2064142078,
697,0.2261731625,
698,0.1420691162,
699,0.2177053839,
700,0.1684368551,
700.9799805,0.1325094849,
701.9699707,0.1718065441,
702.9500122,0.2582570612,
703.9400024,0.1884565353,
705.0700073,0.2750474215,
706.0499878,0.3046323955,
707.039978,0.1935474277,
708.0200195,0.2195121944,
709.0100098,0.2432628423,
710,0.2236059755,
710.9799805,0.1895458251,
711.9699707,0.2888447344,
712.9500122,0.2530314028,
713.9400024,0.2103316933,
715.0700073,0.2152736634,
716.0499878,0.1448379755,
717.039978,0.2578840554,
718.0200195,0.2388822287,
719.0100098,0.2400772274,
720,0.16864869,
720.9699707,0.1779165864,
721.9400024,0.1183951572,
723.0499878,0.1408184022,
724.0200195,0.05824535713,
725,0.1270517707,
725.9699707,0.1379188001,
726.9400024,0.1027814671,
728.0499878,0.1496781856,
729.0200195,0.04393844679,
730,0.1164364591,
730.9799805,0.02953918837,
731.9699707,0.09168866277,
732.9500122,0.1297827363,
733.9400024,0.1647741944,
735.0700073,0.111729674,
736.0499878,0.1469075978,
737.039978,0.09965121746,
738.0200195,0.1279470921,
739.0100098,0.2632399797,
740,0.1487673819,
740.9699707,0.1291168481,
741.9400024,0.0483551994,
743.0499878,0.04854604229,
744.0200195,0.08723804355,
745,0.1613826007,
745.9699707,0.08289326727,
746.9400024,0.02437930368,
748.0499878,0.1510191411,
749.0200195,-0.009680072777,
750,0.05239292607,
750.9699707,0.05305321142,
751.9400024,0.09635721892,
753.0499878,0.1011054218,
754.0200195,0.09079223871,
755,0.07313291728,
755.9699707,0.1291211247,
756.9400024,0.1661900878,
758.0499878,0.03878524527,
759.0200195,0.08173469454,
760,0.03865107521,
760.9500122,0.08158759773,
762.0499878,0.1560458094,
763.0100098,-0.01434967294,
763.9699707,0.01919496432,
765.0599976,0.08183030039,
766.0200195,0.1420517266,
766.9799805,-0.02416229248,
767.9400024,0.1666495055,
769.039978,0.0481130071,
770,0.03386517614,
770.9500122,0.05910136178,
772.0499878,0.1640443653,
773.0100098,0.02458282933,
773.9699707,0.1827792227,
775.0599976,0.04415184259,
776.0200195,0.09675811976,
776.9799805,0.08934865147,
777.9400024,0.03444000706,
779.039978,0.05356681719,
780,0,
780.9500122,0.06449116021,
782.0499878,-0.01494053658,
783.0100098,0.08896577358,
783.9699707,0.04963961616,
785.0599976,0.04886510968,
786.0200195,0.2846681774,
786.9799805,0.04415162653,
787.9400024,0.08307433873,
789.039978,0.06893189996,
790,-0.01935686916,
790.9500122,0.01480647922,
792.0499878,0.04402850941,
793.0100098,0.09309709072,
793.9699707,0.04956015199,
795.0599976,0.06773658097,
796.0200195,0.05413172767,
796.9799805,0.01474614535,
797.9400024,0.03907070309,
799.039978,0.009847559035,
800,0.01942954771,

Phloro pH 14,
Phloro pH 14
Collection Time: 4/28/2025 9:48:02 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17430002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        500.00
Stop (nm)                         800.00
Ex. Wavelength (nm)               450.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/28/2025 9:34:43 AM
Method Modifications:
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 9:36:35 AM, Old:600, New:800
Ex. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Em. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Emission PMT (V): Changed: 4/28/2025 9:36:35 AM, Old: 600, New: 800
Excitation Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 350.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 600.00, New: 700.00
Zero Mode Changed: 4/28/2025 9:36:36 AM, Old:ON, New:OFF
User Delta Increment Changed: 4/28/2025 9:40:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 300.00, New: 500.00
Stop Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 700.00, New: 800.00
Ex. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
Em. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
End Method Modifications

