Phloroglucinol pH 8,,
Wavelength (nm),Intensity (a.u.),
500,104.4472656,
501.0400085,106.5334167,
501.9400024,109.4378967,
502.980011,113.2468796,
504.019989,117.3701248,
505.0700073,121.2917023,
505.9700012,120.6388626,
507.0100098,121.9176483,
508.0499878,122.437149,
508.9500122,124.0218582,
510,124.0112,
511.019989,124.7155228,
512.0499878,124.6557083,
512.9400024,123.7492828,
513.9699707,123.037178,
515,122.7534485,
516.0200195,120.3204346,
517.0499878,116.569519,
517.9400024,118.3810425,
518.9699707,121.2030716,
520,116.3787079,
521.039978,113.9948425,
521.9400024,112.82341,
522.9799805,111.9133606,
524.0200195,112.3042068,
525.0700073,109.8783035,
525.9699707,110.3042297,
527.0100098,107.3671341,
528.0499878,106.1581192,
528.9500122,104.0964661,
530,103.6181488,
531.039978,102.2341003,
531.9400024,99.65945435,
532.9799805,100.9728241,
534.0200195,94.43074799,
535.0700073,95.53811646,
535.9699707,93.08963776,
537.0100098,92.62701416,
538.0499878,88.70896912,
538.9500122,90.53417969,
540,84.20481873,
541.0200195,85.60960388,
542.0499878,83.8819046,
542.9400024,82.48229218,
543.9699707,80.09603119,
545,80.16005707,
546.0200195,79.28533936,
547.0499878,77.8110199,
547.9400024,75.95658875,
548.9699707,75.95706177,
550,73.68663788,
551.0200195,68.79256439,
552.0499878,72.513237,
552.9400024,69.4467926,
553.9699707,69.21949768,
555,66.06394958,
556.0200195,68.51605225,
557.0499878,66.64264679,
557.9400024,64.25023651,
558.9699707,63.12189102,
560,63.35353088,
561.0200195,60.02994919,
562.0499878,59.58348465,
562.9400024,60.79252243,
563.9699707,57.16480637,
565,57.5946579,
566.0200195,54.24700928,
567.0499878,53.99129868,
567.9400024,52.51628494,
568.9699707,52.80096436,
570,50.27531052,
571.0200195,49.47946167,
572.0499878,48.24676132,
572.9400024,47.89920044,
573.9699707,46.20729828,
575,45.35525894,
576.0200195,44.74720383,
577.0499878,44.63011932,
577.9400024,44.58857346,
578.9699707,43.74838257,
580,40.35623932,
581.0100098,39.7920723,
582.0200195,39.41013336,
583.039978,38.11053467,
584.0499878,38.07567596,
585.0700073,36.02230835,
585.9400024,35.83916473,
586.9500122,35.14437103,
587.9699707,35.10779953,
588.9799805,33.95388031,
590,33.36539459,
591.0200195,33.74251175,
592.0499878,31.46809769,
592.9400024,31.24303818,
593.9699707,30.23779106,
595,29.31210136,
596.0200195,28.74230003,
597.0499878,28.46183205,
597.9400024,28.22081757,
598.9699707,26.51894951,
600,26.72751236,
601.0100098,24.84166336,
602.0200195,25.02344322,
603.039978,24.6016407,
604.0499878,23.35697174,
605.0700073,24.07313538,
605.9400024,22.90882301,
606.9500122,23.02924156,
607.9699707,22.2387352,
608.9799805,21.16993332,
610,21.36157799,
611.0100098,22.02873039,
612.0200195,19.58270836,
613.039978,19.88318634,
614.0499878,19.40156364,
615.0700073,19.16037941,
615.9400024,18.46118927,
616.9500122,18.11549377,
617.9699707,17.96586418,
618.9799805,17.04957771,
620,16.4618187,
621.0100098,15.97100639,
622.0200195,16.17387962,
623.039978,15.47160435,
624.0499878,15.14164639,
625.0700073,14.19686604,
625.9400024,15.04914761,
626.9500122,14.26991844,
627.9699707,13.48790836,
628.9799805,12.77745819,
630,12.65478802,
631.0100098,12.94845104,
632.0200195,11.55329895,
633.039978,12.15054131,
634.0499878,11.96783066,
635.0700073,10.90861416,
635.9400024,10.40829563,
636.9500122,10.82124138,
637.9699707,10.17572594,
638.9799805,9.726374626,
640,9.387825966,
641,9.607275963,
642,9.748405457,
643,9.066451073,
644,9.150794983,
645,8.83886528,
646,7.731779575,
647,7.773263454,
648,7.606994629,
649,7.076551914,
650,8.00374794,
651.0100098,6.900047779,
