Phloroglucinol,,
Wavelength (nm),Intensity (a.u.),
300,30.48821259,
301.0700073,30.88066292,
302,31.13445854,
303.0700073,33.91564178,
304,37.04407883,
305.0700073,36.09940338,
306,35.69735336,
307.0700073,38.42214584,
308,37.5593338,
309.0700073,41.23500443,
310,40.03054428,
311.0700073,44.93412399,
312,45.54453659,
313.0700073,50.10856628,
314,55.47139359,
315.0700073,61.3000145,
316,74.5065918,
317.0700073,80.49253845,
318,83.59016418,
319.0700073,88.78578186,
320,94.48768616,
321.0700073,91.72132111,
322,92.556633,
323.0700073,82.49898529,
324,82.98454285,
325.0700073,78.31400299,
326,77.11263275,
327.0700073,78.70628357,
328,79.84315491,
329.0700073,84.29932404,
330,84.58265686,
331.0700073,93.10729218,
332,93.2248764,
333.0700073,97.80107117,
334,104.0974197,
335.0700073,103.8258667,
336,109.0534363,
337.0700073,114.651535,
338,112.7411194,
339.0700073,119.6949692,
340,129.1675873,
341.0700073,125.3551559,
342,135.8221741,
343.0700073,134.7038574,
344,136.5230103,
345.0700073,145.0804138,
346,149.7779999,
347.0700073,154.7958832,
348,159.1203003,
349.0700073,158.888031,
350,162.9706726,
351.0700073,164.8365631,
352,172.8372955,
353.0700073,171.4445496,
354,173.9753876,
355.0700073,177.2492981,
356,179.2875671,
357.0700073,180.1364899,
358,180.8750305,
359.0700073,180.9324646,
360,183.9045715,
361.0599976,185.8878937,
361.9599915,186.3563385,
363.0299988,190.5026245,
363.9299927,191.7272186,
365,187.6204224,
366.0599976,192.4876099,
366.9599915,195.1728516,
368.0299988,185.0566711,
368.9299927,193.1226959,
370,193.6637726,
371.0700073,197.9890289,
372,194.5947723,
373.0700073,195.9844208,
374,188.9148865,
375.0700073,190.8080597,
376,188.3108673,
377.0700073,186.260788,
378,188.3595123,
379.0700073,187.9202271,
380,186.4676056,
381.0599976,184.9766846,
381.9599915,179.5826874,
383.0299988,182.8079681,
383.9299927,183.2734528,
385,185.3838654,
386.0599976,184.6356201,
386.9599915,182.5445557,
388.0299988,181.9533844,
388.9299927,180.907608,
390,181.5622101,
391.0700073,181.717804,
392,179.9598999,
393.0700073,176.164566,
394,176.8806,
395.0700073,174.3058777,
396,178.2154236,
397.0700073,175.3230743,
398,178.4519196,
399.0700073,176.4021301,
400,172.9769135,
401.0599976,175.1864777,
401.9599915,174.4980774,
403.0299988,176.3878937,
403.9299927,167.9298096,
405,168.4920044,
406.0599976,170.1200562,
406.9599915,173.1817627,
408.0299988,170.1710968,
408.9299927,168.2284393,
410,169.6603394,
411.0599976,164.1432953,
411.9599915,166.8259277,
413.0299988,164.3482513,
413.9299927,157.5507355,
415,160.2147369,
416.0599976,159.5493927,
416.9599915,159.0864563,
418.0299988,155.1264648,
418.9299927,161.266571,
420,149.282608,
421.0599976,153.8169708,
421.9599915,147.0052643,
423.0299988,147.2819214,
423.9299927,140.2489929,
425,141.3462982,
426.0599976,140.1244659,
426.9599915,138.6417847,
428.0299988,134.5869293,
428.9299927,129.479187,
430,133.396225,
431.0599976,130.1648407,
431.9599915,129.2228851,
433.0299988,120.8690338,
433.9299927,122.3667145,
435,124.1984177,
436.0599976,121.2385406,
436.9599915,117.3676147,
438.0299988,116.52314,
438.9299927,114.2719574,
440,112.7432785,
441.0599976,109.9613419,
441.9599915,110.3805008,
443.0299988,109.2973785,
443.9299927,103.1833725,
445,104.9451447,
446.0599976,102.1117706,
446.9599915,100.6163101,
448.0299988,103.8103561,
448.9299927,97.12702179,
450,101.8325348,
451.0400085,98.21549225,
451.9400024,100.5837784,
452.980011,94.56156921,
454.019989,94.87290955,
455.0700073,92.3078537,
455.9700012,92.27337646,
457.0100098,90.58090973,
458.0499878,91.8553009,
458.9500122,89.66521454,
460,86.96379852,
461.0599976,80.50227356,
461.9599915,84.81943512,
463.0299988,79.23826599,
463.9299927,82.24205017,
465,81.12719727,
466.0599976,76.71999359,
466.9599915,74.8900528,
468.0299988,72.40168762,
468.9299927,70.64787292,
470,71.47429657,
471.0400085,67.50390625,
471.9400024,70.14899445,
472.980011,65.54309082,
474.019989,61.90039825,
475.0700073,63.28223038,
475.9700012,63.01715088,
477.0100098,58.91706467,
478.0499878,56.602005,
478.9500122,55.34636307,
480,55.7994957,
481.0599976,53.59521484,
481.9599915,51.50485229,
483.0299988,49.02963257,
483.9299927,51.83308029,
485,48.79570007,
486.0599976,49.77375793,
486.9599915,48.49884796,
488.0299988,44.41553116,
488.9299927,45.79961014,
490,44.51447678,
491.0400085,45.25305939,
491.9400024,41.6577034,
492.980011,39.22389984,
494.019989,36.05339813,
495.0700073,36.52264404,
495.9700012,39.74824524,
497.0100098,38.17359543,
498.0499878,35.46779251,
498.9500122,36.04302597,
500,31.7651329,
501.0400085,34.79494476,
501.9400024,33.9122467,
502.980011,30.0105896,
504.019989,31.38119316,
505.0700073,28.95252609,
505.9700012,30.69473839,
507.0100098,29.58958054,
508.0499878,26.32643127,
508.9500122,28.55981827,
510,27.67619705,
511.019989,24.26851654,
512.0499878,24.87896347,
512.9400024,26.3562336,
513.9699707,23.06557846,
515,23.92584801,
516.0200195,22.32265663,
517.0499878,22.49171829,
517.9400024,22.49450493,
518.9699707,21.30278778,
520,20.58695221,
521.039978,19.43607712,
521.9400024,19.7930584,
522.9799805,18.51950455,
524.0200195,17.04022789,
525.0700073,18.83683968,
525.9699707,17.74231529,
527.0100098,17.85806656,
528.0499878,16.30194473,
528.9500122,17.24210167,
530,15.61000252,
531.039978,14.89125156,
531.9400024,15.78802395,
532.9799805,13.71341896,
534.0200195,14.26752949,
535.0700073,13.6447525,
535.9699707,14.28995514,
537.0100098,12.50575066,
538.0499878,11.17834091,
538.9500122,12.28767586,
540,11.7087059,
541.0200195,11.23798561,
542.0499878,13.16853428,
542.9400024,11.84427929,
543.9699707,11.04069138,
545,10.84160233,
546.0200195,11.38743305,
547.0499878,10.70470047,
547.9400024,10.2609024,
548.9699707,8.972903252,
550,9.051729202,
551.0200195,9.592744827,
552.0499878,8.80581665,
552.9400024,8.885582924,
553.9699707,8.010335922,
555,8.932484627,
556.0200195,7.469954491,
557.0499878,8.61070919,
557.9400024,8.599184036,
558.9699707,8.226573944,
560,7.01347208,
561.0200195,7.19068718,
562.0499878,7.504081726,
562.9400024,6.966074467,
563.9699707,7.497955799,
565,7.39352417,
566.0200195,8.514809608,
567.0499878,10.63885689,
567.9400024,16.12054062,
568.9699707,22.6605072,
570,40.29104614,
571.0200195,64.44247437,
572.0499878,96.93888092,
572.9400024,128.085022,
573.9699707,164.7397003,
575,196.7110291,
576.0200195,213.7574005,
577.0499878,228.0731049,
577.9400024,233.9862671,
578.9699707,231.5683746,
580,223.6466827,
581.0100098,203.0372009,
582.0200195,175.7465363,
583.039978,129.3465729,
584.0499878,94.23718262,
585.0700073,61.3470726,
585.9400024,41.49462509,
586.9500122,24.14371681,
587.9699707,17.36089516,
588.9799805,13.51996994,
590,12.5994482,
591.0200195,11.06856251,
592.0499878,12.16081047,
592.9400024,11.8441782,
593.9699707,13.47960854,
595,11.17510319,
596.0200195,11.86133289,
597.0499878,12.03092766,
597.9400024,12.10764217,
598.9699707,11.09498692,
600,10.71124363,
601.0100098,11.11818027,
602.0200195,11.45733452,
603.039978,11.65772915,
604.0499878,11.23417377,
605.0700073,10.14992809,
605.9400024,10.88816738,
606.9500122,11.71547222,
607.9699707,10.56651592,
608.9799805,11.17759895,
610,10.25992584,
611.0100098,10.58937263,
612.0200195,10.90310574,
613.039978,11.20653057,
614.0499878,10.0521574,
615.0700073,11.53085423,
615.9400024,10.13885117,
616.9500122,10.53201485,
617.9699707,10.07709789,
618.9799805,12.34215927,
620,9.93296051,
621.0100098,9.806671143,
622.0200195,10.01760864,
623.039978,11.18982697,
624.0499878,10.89381695,
625.0700073,12.25093651,
625.9400024,9.592842102,
626.9500122,10.75030136,
627.9699707,10.09847641,
628.9799805,11.54211617,
630,13.04930115,
631.0100098,12.45672512,
632.0200195,13.10669899,
633.039978,15.51465607,
634.0499878,16.43761826,
635.0700073,18.32419014,
635.9400024,18.21167755,
636.9500122,17.87945747,
637.9699707,19.06184387,
638.9799805,18.47227669,
640,20.76194191,
641,20.90267372,
642,18.75619125,
643,18.26737404,
644,16.66092873,
645,16.578228,
646,17.08153534,
647,16.32205582,
648,14.76898193,
649,14.91091633,
650,12.17534161,
651.0100098,11.04156685,
652.0200195,11.62936115,
653.039978,14.72374821,
654.0499878,11.73530769,
655.0700073,11.52068901,
655.9400024,11.52513218,
656.9500122,11.67162037,
657.9699707,11.47360992,
658.9799805,10.57021332,
660,12.37504482,
661,12.84650326,
662,11.26852989,
663,13.08022118,
664,11.45560932,
665,13.11395264,
666,12.18989468,
667,13.23621178,
668,13.32754612,
669,13.12893963,
670,11.41324615,
671,14.06993961,
672,13.35602474,
673,13.79874325,
674,13.67512608,
675,12.28992653,
676,15.0183115,
677,12.91890335,
678,13.85944366,
679,12.24384499,
680,13.37381554,
680.9799805,11.97825909,
681.9699707,13.41966438,
682.9500122,13.6078043,
683.9400024,12.67066669,
685.0700073,13.53615189,
686.0499878,13.38366508,
687.039978,13.29671001,
688.0200195,15.38142872,
