Sample 59,,
Wavelength (nm),Intensity (a.u.),
290,1.449586153,
291.0700073,0.6754339933,
292,0.4277765751,
293.0700073,0.7684895992,
294,1.503421783,
295.0700073,4.060633659,
296,7.430506706,
297.0700073,11.32891083,
298,17.16544724,
299.0700073,24.86095238,
300,32.1784668,
301.0700073,40.14032364,
302,44.13655472,
303.0700073,51.41304016,
304,59.79987335,
305.0700073,64.01503754,
306,71.30899048,
307.0700073,74.67459106,
308,78.28978729,
309.0700073,77.64950562,
310,83.38690186,
311.0700073,83.37120056,
312,85.55331421,
313.0700073,86.67485809,
314,83.11566162,
315.0700073,84.72245026,
316,86.53925323,
317.0700073,84.21864319,
318,80.29834747,
319.0700073,80.08255768,
320,79.45639801,
321.0700073,79.55850983,
322,78.93471527,
323.0700073,76.49034119,
324,77.98931885,
325.0700073,78.09713745,
326,75.11966705,
327.0700073,71.85466766,
328,75.2885437,
329.0700073,72.40789032,
330,72.65930176,
331.0700073,67.68351746,
332,69.45838928,
333.0700073,64.35197449,
334,66.40962219,
335.0700073,66.38671875,
336,66.02424622,
337.0700073,61.9910202,
338,62.36241913,
339.0700073,61.42941666,
340,60.77820587,
341.0700073,60.72810745,
342,58.70252609,
343.0700073,60.98775864,
344,57.98345947,
345.0700073,56.676548,
346,54.42855453,
347.0700073,52.5002861,
348,52.35758972,
349.0700073,51.47706604,
350,53.21261978,
351.0700073,49.79812241,
352,51.27971649,
353.0700073,50.26971817,
354,50.43294144,
355.0700073,47.23126221,
356,48.90024567,
357.0700073,48.97868729,
358,48.29009247,
359.0700073,46.3473053,
360,44.05147552,
361.0599976,45.91254044,
361.9599915,41.13038635,
363.0299988,41.74658585,
363.9299927,41.0680809,
365,38.74046707,
366.0599976,38.13325119,
366.9599915,36.92072296,
368.0299988,35.94911957,
368.9299927,33.05088425,
370,32.36384583,
371.0700073,34.38765717,
372,31.36940384,
373.0700073,30.90959167,
374,32.27384567,
375.0700073,29.57767868,
376,29.94070435,
377.0700073,26.62695313,
378,28.01784897,
379.0700073,27.96419144,
380,24.0171032,
381.0599976,26.78159714,
381.9599915,24.7818737,
383.0299988,24.17455101,
383.9299927,23.2743454,
385,22.10856438,
386.0599976,22.67298889,
386.9599915,21.11675835,
388.0299988,22.28547478,
388.9299927,22.81175041,
390,22.06088829,
391.0700073,23.28751564,
392,21.80848503,
393.0700073,22.3530159,
394,20.31272888,
395.0700073,18.60060883,
396,18.0485878,
397.0700073,17.00928116,
398,14.83645725,
399.0700073,15.03091145,
400,15.43216801,
401.0599976,15.07182217,
401.9599915,14.87816334,
403.0299988,13.67222118,
403.9299927,12.2476368,
405,12.43634319,
406.0599976,13.17622375,
406.9599915,12.9828701,
408.0299988,11.3485508,
408.9299927,11.55927181,
410,11.11729527,
411.0599976,9.9395504,
411.9599915,9.929068565,
413.0299988,9.507863998,
413.9299927,9.571875572,
415,8.760762215,
416.0599976,9.025965691,
416.9599915,9.09825325,
418.0299988,8.103620529,
418.9299927,8.811042786,
420,6.4328022,
421.0599976,8.42949295,
421.9599915,7.542153358,
423.0299988,7.700975418,
423.9299927,7.692811012,
425,6.770029068,
426.0599976,7.541012764,
426.9599915,6.060548782,
428.0299988,6.448235512,
428.9299927,6.001290321,
430,5.436012268,
431.0599976,4.894093513,
431.9599915,4.504826546,
433.0299988,5.017191887,
433.9299927,4.033409119,
435,4.117487907,
436.0599976,5.047546387,
436.9599915,3.437451124,
438.0299988,3.452899218,
438.9299927,3.783026934,
440,4.191431999,
441.0599976,3.60513711,
441.9599915,3.520092249,
443.0299988,4.256120682,
443.9299927,4.047392845,
445,3.176974058,
446.0599976,4.029367447,
446.9599915,3.254318953,
448.0299988,2.422679424,
448.9299927,3.76682353,
450,1.783964396,
451.0400085,3.578532457,
451.9400024,2.761256695,
452.980011,2.338133097,
454.019989,2.786856413,
455.0700073,2.440749168,
455.9700012,2.06661582,
457.0100098,2.17317605,
458.0499878,1.731738091,
458.9500122,2.423165798,
460,1.582663774,
461.0599976,1.428089619,
461.9599915,2.232977152,
463.0299988,1.813655376,
463.9299927,1.81470418,
465,1.411321402,
466.0599976,1.07793951,
466.9599915,1.357808352,
468.0299988,1.440367699,
468.9299927,1.829741001,
470,1.063556433,
471.0400085,0.8973531723,
471.9400024,0.9945452213,
472.980011,0.7637690306,
474.019989,1.255315065,
475.0700073,0.4379401207,
475.9700012,0.1782518625,
477.0100098,0.5102183819,
478.0499878,0.3174694777,
478.9500122,1.394445181,
480,0.6416318417,
481.0599976,0.4126830101,
481.9599915,0.541113019,
483.0299988,0.7249791622,
483.9299927,0.3855857849,
485,0.7441140413,
486.0599976,0.2861735821,
486.9599915,0.3415272236,
488.0299988,0.3610804081,
488.9299927,-0.04638278484,
490,0.4887161255,
491.0400085,0.4597296715,
491.9400024,0.2126562595,
492.980011,0.1751968861,
494.019989,-0.08140313625,
495.0700073,0.2479575872,
495.9700012,-0.1306577921,
497.0100098,-0.5317121744,
498.0499878,0.0302413702,
498.9500122,-0.2340544462,
500,-0.5891215205,
501.0400085,-0.3373411894,
501.9400024,-0.3270021081,
502.980011,-0.4611555934,
504.019989,-0.3310347795,
505.0700073,-0.1461216211,
505.9700012,-0.1024740934,
507.0100098,-0.4080674052,
508.0499878,-0.4220122099,
508.9500122,-0.09067928791,
510,-0.27380234,
511.019989,-0.5915279984,
512.0499878,-0.537817955,
512.9400024,-0.5188742876,
513.9699707,-0.6630510688,
515,-0.6979914904,
516.0200195,-0.7220608592,
517.0499878,-0.6725059152,
517.9400024,-0.3910896182,
518.9699707,-0.6309874058,
520,-0.6321225166,
521.039978,-0.6339063644,
521.9400024,-0.8006219864,
522.9799805,-0.8886648417,
524.0200195,-1.005300403,
525.0700073,-0.4111340046,
525.9699707,-0.8053172827,
527.0100098,-0.612523675,
528.0499878,-0.801560998,
528.9500122,-0.7399613857,
530,-0.8709691763,
531.039978,-0.9725107551,
531.9400024,-0.7839958668,
532.9799805,-0.9084247351,
534.0200195,-0.6116924286,
535.0700073,-0.7079156637,
535.9699707,-0.6980066299,
537.0100098,-0.7172104716,
538.0499878,-0.9843205214,
538.9500122,-0.9136543274,
540,-0.6892435551,
541.0200195,-0.8071321845,
542.0499878,-0.8722769022,
542.9400024,-0.8906602263,
543.9699707,-0.9726990461,
545,-0.939127326,
546.0200195,-0.9502569437,
547.0499878,-1.029450178,
547.9400024,-0.6718047261,
548.9699707,-0.9309476614,
550,-0.9702787995,
551.0200195,-0.9171608686,
552.0499878,-0.799380362,
552.9400024,-0.9269162416,
553.9699707,-0.9595692158,
555,-1.026829123,
556.0200195,-0.8987857103,
557.0499878,-1.014230132,
557.9400024,-1.037070513,
