Pyrocat,,
Wavelength (nm),Intensity (a.u.),
290,0.819933176,
291.0700073,0.2878445387,
292,0.6999670267,
293.0700073,0.5037003756,
294,2.525927067,
295.0700073,3.677310705,
296,7.386738777,
297.0700073,14.853549,
298,20.13938904,
299.0700073,26.30640602,
300,32.56115341,
301.0700073,38.88594818,
302,46.90541077,
303.0700073,56.77523804,
304,60.89797211,
305.0700073,69.91975403,
306,72.43371582,
307.0700073,75.31620026,
308,77.99072266,
309.0700073,84.25409698,
310,84.18702698,
311.0700073,84.2303009,
312,82.40723419,
313.0700073,85.48587799,
314,86.71930695,
315.0700073,89.35513306,
316,86.16697693,
317.0700073,83.16223907,
318,84.91981506,
319.0700073,84.64386749,
320,83.57320404,
321.0700073,77.81408691,
322,79.89775085,
323.0700073,80.0326767,
324,77.82873535,
325.0700073,77.14425659,
326,74.56202698,
327.0700073,75.62262726,
328,74.63275909,
329.0700073,76.77235413,
330,72.95988464,
331.0700073,71.83000946,
332,71.28788757,
333.0700073,72.48793793,
334,70.41739655,
335.0700073,65.63789368,
336,66.46291351,
337.0700073,64.49053955,
338,63.5071907,
339.0700073,64.42152405,
340,60.74442291,
341.0700073,59.77222824,
342,58.41352844,
343.0700073,57.21331024,
344,56.23206329,
345.0700073,55.93146133,
346,58.33783722,
347.0700073,55.07985306,
348,57.91420746,
349.0700073,51.99259949,
350,49.89781952,
351.0700073,51.9229126,
352,51.63240433,
353.0700073,51.5515976,
354,49.57779694,
355.0700073,47.17938614,
356,48.88199997,
357.0700073,49.56716919,
358,46.42355347,
359.0700073,45.52714157,
360,44.30485153,
361.0599976,43.41967773,
361.9599915,43.36319733,
363.0299988,43.80847931,
363.9299927,42.71891403,
365,38.89387512,
366.0599976,36.67445755,
366.9599915,36.68873215,
368.0299988,36.53261566,
368.9299927,34.80606079,
370,31.86271286,
371.0700073,33.37672424,
372,31.66470337,
373.0700073,31.7686348,
374,31.56212234,
375.0700073,29.86093712,
376,28.45554543,
377.0700073,27.45480537,
378,28.27496147,
379.0700073,26.76276207,
380,27.55783272,
381.0599976,24.96237564,
381.9599915,24.92120552,
383.0299988,25.00397301,
383.9299927,22.46398735,
385,22.96115875,
386.0599976,22.18149567,
386.9599915,22.73669624,
388.0299988,20.81626892,
388.9299927,19.48949432,
390,22.04503632,
391.0700073,21.50296402,
392,21.84609413,
393.0700073,21.07010078,
394,21.22197342,
395.0700073,21.01326561,
396,17.60007095,
397.0700073,17.75395775,
398,15.97984028,
399.0700073,14.71504593,
400,13.79042149,
401.0599976,13.58623886,
401.9599915,13.8321228,
403.0299988,14.51656437,
403.9299927,13.05490017,
405,11.45823097,
406.0599976,12.6131115,
406.9599915,12.09841347,
408.0299988,11.50807381,
408.9299927,11.29520512,
410,11.62701797,
411.0599976,9.14936161,
411.9599915,10.3539772,
413.0299988,10.23949623,
413.9299927,9.659321785,
415,10.38544369,
416.0599976,8.59687233,
416.9599915,8.163680077,
418.0299988,8.993648529,
418.9299927,8.300761223,
420,8.275715828,
421.0599976,7.702198982,
421.9599915,6.968907356,
423.0299988,7.019452095,
423.9299927,7.219297409,
425,7.28246212,
426.0599976,5.492007256,
426.9599915,6.637971878,
428.0299988,5.428373337,
428.9299927,6.082854271,
430,5.308594704,
431.0599976,4.753072739,
431.9599915,5.544664383,
433.0299988,4.567946434,
433.9299927,4.645781517,
435,3.928423166,
436.0599976,3.964960814,
436.9599915,4.855825424,
438.0299988,4.503171921,
438.9299927,3.829788923,
440,3.73099494,
441.0599976,3.929936171,
441.9599915,3.72934413,
443.0299988,3.25170064,
443.9299927,3.667849302,
445,3.786331415,
446.0599976,4.705348969,
446.9599915,3.531038046,
448.0299988,2.917420626,
448.9299927,3.605120897,
450,2.698518276,
451.0400085,2.864839792,
451.9400024,2.994436979,
452.980011,2.332813263,
454.019989,2.163707733,
455.0700073,2.303698063,
455.9700012,2.636921883,
457.0100098,2.481234789,
458.0499878,1.899067163,
458.9500122,2.424859762,
460,1.397455931,
461.0599976,2.107271433,
461.9599915,2.519868612,
463.0299988,1.553786039,
463.9299927,1.888738632,
465,1.309882879,
466.0599976,1.31494236,
466.9599915,1.728504419,
468.0299988,1.634374142,
468.9299927,0.9735255241,
470,0.5918308496,
471.0400085,1.161267281,
471.9400024,1.273840666,
472.980011,1.256842613,
474.019989,1.156618357,
475.0700073,0.4933503866,
475.9700012,0.5110912323,
477.0100098,0.4341905117,
478.0499878,1.16177845,
478.9500122,0.5192428827,
480,0.7053226233,
481.0599976,0.5190033913,
481.9599915,0.5719554424,
483.0299988,-0.01775848866,
483.9299927,0.4228688478,
485,0.627572298,
486.0599976,0.3174932003,
486.9599915,0.4263322353,
488.0299988,-0.08331739902,
488.9299927,-0.2869439721,
490,0.1292449236,
491.0400085,0.1015622616,
491.9400024,0.6245088577,
492.980011,0.1142976284,
494.019989,-0.09413421154,
495.0700073,0.005197525024,
495.9700012,-0.4145876765,
497.0100098,-0.3005518317,
498.0499878,-0.2573459148,
498.9500122,-0.1577532291,
500,-0.4807729721,
