Pyrogallol,,
Wavelength (nm),Intensity (a.u.),
290,666.6990356,
291.0700073,574.4815674,
292,470.6916504,
293.0700073,314.9416809,
294,211.9309082,
295.0700073,155.6826172,
296,132.6722717,
297.0700073,134.595993,
298,144.0675812,
299.0700073,150.6597748,
300,158.0206604,
301.0700073,169.2585907,
302,181.1688232,
303.0700073,189.7085724,
304,192.9394989,
305.0700073,205.4294586,
306,209.4870453,
307.0700073,224.9083862,
308,228.8863678,
309.0700073,229.3458405,
310,237.0306549,
311.0700073,249.8791656,
312,260.0212708,
313.0700073,268.4779358,
314,269.5101013,
315.0700073,279.2597046,
316,288.5454407,
317.0700073,306.9909668,
318,307.8561707,
319.0700073,326.5211182,
320,331.2503357,
321.0700073,334.0655212,
322,337.1768188,
323.0700073,335.4608154,
324,331.9677124,
325.0700073,332.7730408,
326,329.9410706,
327.0700073,333.7362366,
328,325.1731873,
329.0700073,329.4204102,
330,334.3720093,
331.0700073,330.1008911,
332,331.3934326,
333.0700073,327.126709,
334,333.8432922,
335.0700073,328.5302429,
336,335.9737244,
337.0700073,327.0063171,
338,330.5627441,
339.0700073,333.6531677,
340,328.7618408,
341.0700073,328.6852112,
342,330.0149231,
343.0700073,329.0118713,
344,323.5545044,
345.0700073,323.510437,
346,319.7666016,
347.0700073,320.3547974,
348,315.3040466,
349.0700073,315.6543579,
350,311.8974609,
351.0700073,315.9953003,
352,312.8739624,
353.0700073,306.6123047,
354,301.4006958,
355.0700073,294.7488403,
356,302.7457275,
357.0700073,300.847229,
358,287.8500671,
359.0700073,291.2106628,
360,283.8803711,
361.0599976,281.7531738,
361.9599915,273.8776855,
363.0299988,268.6109314,
363.9299927,263.6698608,
365,253.4347534,
366.0599976,255.5944977,
366.9599915,247.9873657,
368.0299988,245.4671326,
368.9299927,247.2624359,
370,231.8495178,
371.0700073,231.3637085,
372,223.5545959,
373.0700073,223.7279053,
374,219.7671967,
375.0700073,213.1937714,
376,220.186203,
377.0700073,205.1941986,
378,203.9545441,
379.0700073,191.2136536,
380,192.6380157,
381.0599976,189.1032104,
381.9599915,182.6355591,
383.0299988,178.963913,
383.9299927,177.2432404,
385,169.175354,
386.0599976,171.1448059,
386.9599915,163.2618713,
388.0299988,160.4013977,
388.9299927,156.640152,
390,151.8921204,
391.0700073,149.2279053,
392,141.7881317,
393.0700073,140.2810364,
394,136.0231476,
395.0700073,134.6824036,
396,130.8938599,
397.0700073,126.4435883,
398,121.7539825,
399.0700073,120.0989609,
400,120.6472778,
401.0599976,107.6966553,
401.9599915,108.7182541,
403.0299988,106.1247482,
403.9299927,99.48142242,
405,98.50933838,
406.0599976,97.4811554,
406.9599915,96.6672821,
408.0299988,94.13372803,
408.9299927,89.78530121,
410,85.41212463,
411.0599976,81.74376678,
411.9599915,79.11554718,
413.0299988,76.1030426,
413.9299927,74.2800827,
415,73.52868652,
416.0599976,67.98809052,
416.9599915,68.37552643,
418.0299988,66.76477051,
418.9299927,63.45967102,
420,59.31726074,
421.0599976,57.82053375,
421.9599915,56.97651672,
423.0299988,53.38759613,
423.9299927,53.64940643,
425,48.90420532,
426.0599976,48.16864014,
426.9599915,49.32907104,
428.0299988,42.77233887,
428.9299927,42.80796814,
430,42.35116577,
431.0599976,42.98596191,
431.9599915,39.06007385,
433.0299988,38.49729156,
433.9299927,36.42550659,
435,35.54629517,
436.0599976,35.09970093,
436.9599915,31.40521431,
438.0299988,32.56608582,
438.9299927,29.59810066,
440,29.29718781,
441.0599976,29.7153492,
441.9599915,27.57879066,
443.0299988,28.69556427,
443.9299927,27.18210983,
445,27.35146713,
446.0599976,24.52396584,
446.9599915,23.27428436,
448.0299988,23.81049728,
448.9299927,22.49276543,
450,21.63484573,
451.0400085,23.14754677,
451.9400024,20.80012131,
452.980011,21.52976608,
454.019989,22.98918533,
455.0700073,20.10113335,
455.9700012,19.3793869,
457.0100098,17.24645805,
458.0499878,18.5723362,
458.9500122,17.96387863,
460,16.0839653,
461.0599976,16.10977554,
461.9599915,18.97361565,
463.0299988,15.50663185,
463.9299927,16.31521606,
465,16.12952805,
466.0599976,15.35791779,
466.9599915,14.82697487,
468.0299988,14.71960449,
468.9299927,12.44476318,
470,12.60979557,
471.0400085,11.68455887,
471.9400024,12.12643528,
472.980011,12.42324638,
474.019989,11.96452236,
475.0700073,10.7419672,
475.9700012,10.54911709,
477.0100098,11.38912296,
478.0499878,10.95373249,
478.9500122,9.029195786,
480,9.638504028,
481.0599976,9.155143738,
481.9599915,8.382626534,
483.0299988,7.679753304,
483.9299927,8.512811661,
485,7.486714363,
486.0599976,7.107254028,
486.9599915,7.548441887,
488.0299988,8.44494915,
488.9299927,7.146619797,
490,6.653256416,
491.0400085,7.552769661,
491.9400024,5.836322784,
492.980011,6.84487915,
494.019989,7.395644188,
495.0700073,6.667421341,
495.9700012,5.895530224,
497.0100098,5.625685215,
498.0499878,4.918636322,
498.9500122,5.22003746,
500,4.949707508,
501.0400085,5.292880535,
501.9400024,4.943677902,
502.980011,5.099399567,
504.019989,4.545619011,
505.0700073,4.791256905,
505.9700012,4.244402885,
507.0100098,3.603348255,
508.0499878,3.966925144,
508.9500122,3.936179638,
510,4.02946043,
511.019989,3.482888222,
512.0499878,2.699738503,
512.9400024,2.858737946,
513.9699707,3.752673149,
515,2.973736763,
516.0200195,3.790346146,
517.0499878,2.703136921,
517.9400024,3.038030624,
518.9699707,3.120931149,
520,3.294672966,
521.039978,2.735785484,
521.9400024,2.881475449,
522.9799805,2.465018272,
524.0200195,2.035298109,
525.0700073,3.391941547,
525.9699707,1.575928688,
527.0100098,2.099315166,
528.0499878,2.306241512,
528.9500122,2.045279503,
530,1.958031654,
531.039978,1.844660044,
531.9400024,1.62204504,
532.9799805,2.131443977,
534.0200195,1.125634193,
535.0700073,1.590420961,
535.9699707,1.617589712,
537.0100098,1.63360405,
538.0499878,0.8305583,
538.9500122,1.400303602,
540,0.8968851566,
541.0200195,1.690361023,
542.0499878,1.765532255,
542.9400024,0.9532234669,
543.9699707,0.2853651047,
545,1.387660027,
546.0200195,1.165089846,
547.0499878,0.4679763317,
547.9400024,0.7611296177,
548.9699707,0.7697162628,
550,0.8570854664,
551.0200195,0.09949553013,
552.0499878,0.5117218494,
552.9400024,0.3907822371,
553.9699707,-0.03565728664,
555,0.8741521835,
556.0200195,0.4137122631,
557.0499878,0.2439904213,
557.9400024,0.9375429153,
558.9699707,0.7089083195,
560,0.6360208988,
561.0200195,0.3537728786,
