Pyrogallol Methanol,,
Wavelength (nm),Intensity (a.u.),
290,490.0454102,
292,605.1460571,
294,716.4360962,
296,842.1328735,
298,969.1876831,
300,998.8143921,
302,998.8143921,
304,998.8143921,
306,998.8143921,
308,998.8143921,
310,998.8143921,
312,998.8143921,
314,998.8143921,
316,998.8143921,
318,998.8143921,
320,998.8143921,
322,998.8143921,
324,998.8143921,
326,998.8143921,
328,998.8143921,
330,998.8143921,
332,998.8143921,
334,998.8143921,
336,998.8143921,
338,998.8143921,
340,998.8143921,
342,998.8143921,
344,998.8143921,
346,998.8143921,
348,998.8143921,
350,998.8143921,
352,998.8143921,
354,998.8143921,
356,998.8143921,
358,998.8143921,
360,998.8143921,
361.9599915,998.8143921,
363.9299927,998.8143921,
366.0599976,998.8143921,
368.0299988,998.8143921,
370,998.8143921,
372,998.8143921,
374,998.8143921,
376,998.8143921,
378,998.8143921,
380,998.8143921,
381.9599915,998.8143921,
383.9299927,998.8143921,
386.0599976,998.8143921,
388.0299988,998.8143921,
390,998.8143921,
392,929.2869873,
394,869.5211182,
396,806.3360596,
398,760.5532227,
400,705.0340576,
401.9599915,654.7963867,
403.9299927,600.9328003,
406.0599976,561.3601074,
408.0299988,530.394043,
410,482.1894531,
411.9599915,445.257019,
413.9299927,401.6917419,
416.0599976,375.3631592,
418.0299988,344.0829468,
420,315.0700684,
421.9599915,291.7183838,
423.9299927,268.2778625,
426.0599976,243.3243866,
428.0299988,225.3972778,
430,205.661911,
431.9599915,184.6835632,
433.9299927,173.6940918,
436.0599976,158.3978424,
438.0299988,148.3371887,
440,138.7412262,
441.9599915,132.5618591,
443.9299927,120.2938385,
446.0599976,111.4429855,
448.0299988,106.8219147,
450,97.26459503,
451.9400024,92.92028809,
454.019989,86.30396271,
455.9700012,83.1392746,
458.0499878,76.27111053,
460,68.30835724,
461.9599915,65.56099701,
463.9299927,56.9430809,
466.0599976,59.02218628,
468.0299988,51.70078278,
470,46.96482086,
471.9400024,47.35451508,
474.019989,41.04619217,
475.9700012,36.49267197,
478.0499878,34.88132095,
480,32.71801376,
481.9599915,31.38336182,
483.9299927,28.56155396,
486.0599976,27.9277916,
488.0299988,25.83454514,
490,23.48739624,
491.9400024,22.0160675,
494.019989,22.06055069,
495.9700012,19.51771736,
498.0499878,16.81747627,
500,17.12143517,
501.9400024,16.45534515,
504.019989,14.65029144,
505.9700012,12.76706219,
508.0499878,13.38420296,
510,13.20951939,
512.0499878,11.7223196,
513.9699707,11.79004097,
516.0200195,10.89959145,
517.9400024,8.514870644,
520,9.403670311,
521.9400024,8.582696915,
524.0200195,8.03802681,
525.9699707,9.030380249,
528.0499878,8.596715927,
530,7.149496078,
531.9400024,7.144814491,
534.0200195,7.737510681,
535.9699707,6.686431885,
538.0499878,7.222499847,
540,5.8015728,
542.0499878,5.254191399,
543.9699707,4.14602375,
546.0200195,5.663220406,
547.9400024,5.548596382,
550,5.048745155,
552.0499878,4.93819046,
553.9699707,4.196093559,
556.0200195,3.551582098,
557.9400024,4.323536873,
560,4.514666557,
562.0499878,4.457249641,
563.9699707,4.291801453,
566.0200195,4.896328926,
567.9400024,4.884374619,
570,9.484771729,
572.0499878,23.25108719,
573.9699707,51.46538925,
576.0200195,100.4089127,
577.9400024,170.4042664,
580,246.0402527,
582.0200195,270.3528442,
584.0499878,241.4230194,
585.9400024,225.223587,
587.9699707,228.0553284,
590,239.9406128,
592.0499878,261.3375244,
593.9699707,271.8145142,
596.0200195,284.3421021,
597.9400024,298.41745,
600,310.7053528,
602.0200195,318.956665,
604.0499878,324.8344727,
605.9400024,328.6400757,
607.9699707,337.9815369,
610,337.5802002,
612.0200195,340.8720398,
614.0499878,334.5435486,
615.9400024,343.9693298,
617.9699707,347.4724426,
620,346.8936768,
622.0200195,347.301178,
624.0499878,344.4851379,
625.9400024,341.2246399,
627.9699707,348.2219238,
630,347.9798279,
632.0200195,362.940094,
634.0499878,356.780304,
635.9400024,353.510376,
637.9699707,350.6234436,
640,358.0710449,
642,360.56604,
644,362.2285156,
646,360.7850952,
648,355.1719971,
650,347.47229,
652.0200195,353.7535706,
654.0499878,357.2920532,
655.9400024,352.2371216,
657.9699707,349.7217102,
660,347.9239502,
662,343.8096924,
664,343.7167969,
666,336.9676819,
668,337.0585938,
670,335.9489136,
672,329.9877014,
674,326.2393188,
676,317.1978455,
678,306.2617798,
680,303.7047424,
681.9699707,298.1106873,
683.9400024,291.6835022,
686.0499878,287.3235168,
688.0200195,276.6559753,
690,273.0584717,
692,266.5439148,
694,257.4951782,
696,251.0899658,
698,248.6101227,
700,241.9040527,

Pyrogallol Methanol,
Pyrogallol Methanol
Collection Time: 4/28/2025 1:41:58 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17430002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        290.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               288.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/28/2025 9:34:43 AM
Method Modifications:
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 9:36:35 AM, Old:600, New:800
Ex. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Em. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Emission PMT (V): Changed: 4/28/2025 9:36:35 AM, Old: 600, New: 800
Excitation Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 350.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 600.00, New: 700.00
Zero Mode Changed: 4/28/2025 9:36:36 AM, Old:ON, New:OFF
User Delta Increment Changed: 4/28/2025 9:40:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 300.00, New: 500.00
Stop Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 700.00, New: 800.00
Ex. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
Em. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
Excitation Wavelength Changed: 4/28/2025 9:50:42 AM, Old: 450.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 9:50:42 AM, Old: 500.00, New: 300.00
Stop Wavelength Changed: 4/28/2025 9:50:52 AM, Old: 800.00, New: 700.00
Ex. Slit Width (nm): Changed: 4/28/2025 10:00:54 AM, Old:5, New:2.5
Em. Slit Width (nm): Changed: 4/28/2025 10:00:54 AM, Old:5, New:2.5
PMT Volts Changed: 4/28/2025 10:01:27 AM, Old:800, New:600
Ex. Slit Width (nm): Changed: 4/28/2025 10:01:27 AM, Old:2.5, New:5
Em. Slit Width (nm): Changed: 4/28/2025 10:01:27 AM, Old:2.5, New:5
Emission PMT (V): Changed: 4/28/2025 10:01:27 AM, Old: 800, New: 600
PMT Volts Changed: 4/28/2025 10:29:17 AM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 10:29:17 AM, Old: 600, New: 800
PMT Volts Changed: 4/28/2025 10:36:23 AM, Old:800, New:600
Emission PMT (V): Changed: 4/28/2025 10:36:23 AM, Old: 800, New: 600
Excitation Wavelength Changed: 4/28/2025 10:36:42 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 10:36:42 AM, Old: 300.00, New: 500.00
User Delta Stop Changed: 4/28/2025 10:37:33 AM, Old: 450.00, New: 532.00
Excitation Wavelength Changed: 4/28/2025 10:37:33 AM, Old: 450.00, New: 532.00
Emission Wavelength Changed: 4/28/2025 10:37:33 AM, Old: 500.00, New: 550.00
Zero Mode Changed: 4/28/2025 10:40:03 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 10:40:03 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 10:40:13 AM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 10:40:13 AM, Old: 600, New: 800
Excitation Wavelength Changed: 4/28/2025 10:40:13 AM, Old: 532.00, New: 288.00
Zero Mode Changed: 4/28/2025 10:40:13 AM, Old:ON, New:OFF
Excitation Wavelength Changed: 4/28/2025 10:42:47 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 10:42:47 AM, Old: 550.00, New: 500.00
Zero Mode Changed: 4/28/2025 10:48:18 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 10:48:19 AM, Old:Reading, New:ON
Excitation Wavelength Changed: 4/28/2025 10:50:10 AM, Old: 450.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 10:50:21 AM, Old: 500.00, New: 300.00
Emission Wavelength Changed: 4/28/2025 10:50:47 AM, Old: 300.00, New: 290.00
Zero Mode Changed: 4/28/2025 12:12:01 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:12:01 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:15:16 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:15:16 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:16:01 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:16:01 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:33:43 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:33:43 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:37:23 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:37:23 PM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 12:45:50 PM, Old:800, New:600
Emission PMT (V): Changed: 4/28/2025 12:45:50 PM, Old: 800, New: 600
Zero Mode Changed: 4/28/2025 12:45:50 PM, Old:ON, New:OFF
Zero Mode Changed: 4/28/2025 12:55:31 PM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 12:55:31 PM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 1:10:00 PM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 1:10:00 PM, Old: 600, New: 800
Zero Mode Changed: 4/28/2025 1:10:00 PM, Old:ON, New:OFF
Zero Mode Changed: 4/28/2025 1:13:17 PM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 1:13:17 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 1:20:23 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 1:20:23 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 1:28:39 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 1:28:39 PM, Old:Reading, New:ON
Scan Control Changed: 4/28/2025 1:36:24 PM, Old:Medium, New:Fast
Data interval: Changed: 4/28/2025 1:36:24 PM, Old:   1.00, New:   2.00
End Method Modifications

