Resorcinol,,
Wavelength (nm),Intensity (a.u.),
290,198.1490173,
291.0700073,360.2154541,
292,575.3547363,
293.0700073,887.0376587,
294,996.7056885,
295.0700073,996.7056885,
296,996.7056885,
297.0700073,996.7056885,
298,996.7056885,
299.0700073,996.7056885,
300,996.7056885,
301.0700073,996.7056885,
302,996.7056885,
303.0700073,996.7056885,
304,996.7056885,
305.0700073,996.7056885,
306,996.7056885,
307.0700073,996.7056885,
308,996.7056885,
309.0700073,996.7056885,
310,996.7056885,
311.0700073,996.7056885,
312,996.7056885,
313.0700073,996.7056885,
314,996.7056885,
315.0700073,996.7056885,
316,996.7056885,
317.0700073,996.7056885,
318,996.7056885,
319.0700073,996.7056885,
320,996.7056885,
321.0700073,996.7056885,
322,996.7056885,
323.0700073,996.7056885,
324,996.7056885,
325.0700073,996.7056885,
326,996.7056885,
327.0700073,996.7056885,
328,996.7056885,
329.0700073,996.7056885,
330,996.7056885,
331.0700073,996.7056885,
332,996.7056885,
333.0700073,996.7056885,
334,996.7056885,
335.0700073,996.7056885,
336,996.7056885,
337.0700073,996.7056885,
338,996.7056885,
339.0700073,996.7056885,
340,996.7056885,
341.0700073,996.7056885,
342,996.7056885,
343.0700073,996.7056885,
344,996.7056885,
345.0700073,996.7056885,
346,996.7056885,
347.0700073,949.3774414,
348,954.1273804,
349.0700073,908.2723999,
350,875.8036499,
351.0700073,858.8182983,
352,840.9608154,
353.0700073,789.5405884,
354,765.2979736,
355.0700073,738.8486938,
356,706.2536621,
357.0700073,681.1328735,
358,641.0187378,
359.0700073,630.4945068,
360,601.1651001,
361.0599976,574.9786377,
361.9599915,539.6017456,
363.0299988,532.7427368,
363.9299927,510.8144226,
365,486.7367554,
366.0599976,467.7488708,
366.9599915,446.3111267,
368.0299988,415.3514404,
368.9299927,400.1229248,
370,386.1712952,
371.0700073,372.749115,
372,350.0243225,
373.0700073,337.854126,
374,327.9085693,
375.0700073,312.4811401,
376,299.9562073,
