Resorcinol,,
Wavelength (nm),Intensity (a.u.),
290,87.37154388,
291.0700073,136.8720093,
292,184.0568542,
293.0700073,252.2249146,
294,307.2040405,
295.0700073,373.089325,
296,422.8129272,
297.0700073,481.6080017,
298,517.1088867,
299.0700073,545.1483154,
300,567.1793213,
301.0700073,586.682312,
302,608.3227539,
303.0700073,606.3613892,
304,624.7021484,
305.0700073,616.3780518,
306,618.9849854,
307.0700073,616.1455688,
308,620.9100952,
309.0700073,614.534729,
310,599.8883057,
311.0700073,586.6062012,
312,586.805481,
313.0700073,565.7562256,
314,559.6734009,
315.0700073,552.1015015,
316,535.5823364,
317.0700073,512.3525391,
318,499.6375427,
319.0700073,489.2754822,
320,475.2541199,
321.0700073,453.2145081,
322,448.4808044,
323.0700073,424.0210571,
324,413.15979,
325.0700073,402.6608276,
326,385.1943054,
327.0700073,370.210907,
328,356.2095337,
329.0700073,340.4425354,
330,329.617981,
331.0700073,315.5109863,
332,307.3188171,
333.0700073,289.1246338,
334,279.9666138,
335.0700073,269.3517456,
336,257.1799622,
337.0700073,246.5475922,
338,237.3755951,
339.0700073,228.8376007,
340,217.9911652,
341.0700073,211.9525909,
342,203.9193726,
343.0700073,193.4402161,
344,186.4919128,
345.0700073,179.0838318,
346,174.5128937,
347.0700073,164.7516327,
348,156.9965973,
349.0700073,151.5445251,
350,146.9240723,
351.0700073,140.6780396,
352,133.9552002,
353.0700073,129.2256317,
354,124.7221832,
355.0700073,119.629158,
356,114.0599899,
357.0700073,111.1016159,
358,105.3183136,
359.0700073,101.9015427,
360,96.65834045,
361.0599976,93.0002594,
361.9599915,88.83404541,
363.0299988,82.81330872,
363.9299927,81.3258667,
365,78.02069092,
366.0599976,74.19954681,
366.9599915,70.52986145,
368.0299988,66.811203,
368.9299927,65.57034302,
370,61.80661011,
371.0700073,58.2479248,
372,55.85516357,
373.0700073,53.05642319,
374,52.02145386,
375.0700073,50.00229645,
376,47.37215424,
377.0700073,44.76705551,
378,42.71989441,
379.0700073,41.25912857,
380,38.91109467,
381.0599976,37.24167633,
381.9599915,35.54961395,
383.0299988,34.55944061,
383.9299927,32.16048813,
385,30.66803741,
386.0599976,29.66489983,
386.9599915,28.37194633,
388.0299988,26.40753937,
388.9299927,26.20635605,
390,24.30081558,
391.0700073,23.64397049,
392,22.36732674,
393.0700073,21.40454292,
394,20.90813255,
395.0700073,19.99015427,
396,18.76098824,
397.0700073,17.91899109,
398,17.71580887,
399.0700073,16.34724617,
400,16.17757988,
401.0599976,14.8062582,
401.9599915,14.97761631,
403.0299988,14.18874073,
403.9299927,13.63447094,
405,12.74883842,
406.0599976,12.5033226,
406.9599915,12.24690723,
408.0299988,11.56248093,
408.9299927,10.77551937,
410,10.39834785,
411.0599976,9.985987663,
411.9599915,9.581215858,
413.0299988,9.043686867,
413.9299927,8.62084198,
415,8.38331604,
416.0599976,7.842351913,
416.9599915,7.576614857,
418.0299988,7.583381176,
418.9299927,7.083539963,
420,6.832361698,
421.0599976,6.143308163,
421.9599915,6.189409256,
423.0299988,5.572657585,
423.9299927,5.793149471,
425,5.389302254,
426.0599976,5.362261772,
426.9599915,4.907211304,
428.0299988,4.534482956,
428.9299927,4.617343903,
430,4.291148663,
431.0599976,4.151994705,
431.9599915,3.862787008,
433.0299988,3.929363966,
433.9299927,3.549678326,
435,3.363243341,
436.0599976,3.376599312,
436.9599915,3.317502737,
438.0299988,3.227811575,
438.9299927,3.061835051,
440,2.959222078,
441.0599976,2.939738274,
441.9599915,2.731570482,
443.0299988,2.789919138,
443.9299927,2.391333342,
445,2.34521699,
446.0599976,2.27603054,
446.9599915,2.290615559,
448.0299988,2.264835596,
448.9299927,2.252553225,
450,1.979738832,
451.0400085,2.053887606,
451.9400024,2.089982271,
452.980011,2.100948572,
454.019989,1.881397367,
455.0700073,1.534288883,
455.9700012,1.644454837,
457.0100098,1.817250848,
458.0499878,1.650374651,
458.9500122,1.511962533,
460,1.570309758,
461.0599976,1.500427008,
461.9599915,1.510221601,
463.0299988,1.533002973,
463.9299927,1.265171647,
465,1.387395978,
466.0599976,1.269918084,
466.9599915,1.346936703,
468.0299988,1.203554153,
468.9299927,1.234517574,
470,1.11331284,
471.0400085,1.11724937,
471.9400024,1.152802825,
472.980011,1.089758992,
474.019989,0.9254563451,
475.0700073,0.9186665416,
475.9700012,0.9370766282,
477.0100098,1.021682143,
478.0499878,0.7922567129,
478.9500122,1.044176579,
480,0.8866867423,
481.0599976,0.9153283238,
481.9599915,0.910780251,
483.0299988,0.7288046479,
483.9299927,0.8776504397,
485,0.7054360509,
486.0599976,0.7618681192,
486.9599915,0.7706860304,
488.0299988,0.8274486661,
488.9299927,0.8394088149,
490,0.7554593682,
491.0400085,0.8126357198,
491.9400024,0.6949176192,
492.980011,0.6266701221,
494.019989,0.7245561481,
495.0700073,0.7612162828,
495.9700012,0.6785610914,
497.0100098,0.6214020252,
498.0499878,0.5479710102,
498.9500122,0.6315111518,
500,0.5442194343,
501.0400085,0.6059255004,
501.9400024,0.6336327791,
502.980011,0.6396448612,
504.019989,0.6589671373,
505.0700073,0.5541943312,
505.9700012,0.6098863482,
507.0100098,0.6598161459,
508.0499878,0.5495263338,
508.9500122,0.3766136169,
510,0.5657365322,
511.019989,0.6310004592,
512.0499878,0.580039978,
512.9400024,0.5019664764,
513.9699707,0.5757928491,
515,0.4087561965,
516.0200195,0.5948433876,
517.0499878,0.6191346049,
517.9400024,0.4636633396,
518.9699707,0.433883369,
520,0.5157449245,
521.039978,0.4064548612,
521.9400024,0.4420332909,
522.9799805,0.5249854922,
524.0200195,0.5329814553,
525.0700073,0.5958262682,
525.9699707,0.5426810384,
527.0100098,0.2937020659,
528.0499878,0.4096112847,
528.9500122,0.3886120319,
530,0.3730083108,
531.039978,0.4536297917,
531.9400024,0.5614068508,
532.9799805,0.4074177742,
534.0200195,0.4048470259,
535.0700073,0.5164161921,
535.9699707,0.4578233957,
537.0100098,0.5655261874,
538.0499878,0.4308376312,
538.9500122,0.4940267205,
540,0.377407074,
541.0200195,0.4482008219,
542.0499878,0.4267154932,
542.9400024,0.3566378355,
543.9699707,0.3763422966,
545,0.4337621331,
546.0200195,0.5113096237,
547.0499878,0.2645361423,
547.9400024,0.41386199,
548.9699707,0.308665216,
550,0.4285657406,
551.0200195,0.3610082865,
552.0499878,0.5206751823,
552.9400024,0.4693018198,
553.9699707,0.503059566,
555,0.4243405461,
556.0200195,0.5152615309,
557.0499878,0.5512101054,
557.9400024,0.4592225552,
558.9699707,0.5064515471,
560,0.4417273402,
561.0200195,0.4179989696,
562.0499878,0.4516046047,
562.9400024,0.3571735024,
563.9699707,0.4258854389,
565,0.45100528,
566.0200195,0.4235849977,
567.0499878,0.3523693681,
567.9400024,0.5031432509,
568.9699707,0.5717796683,
570,0.5707125664,
571.0200195,0.4745693207,
572.0499878,0.5788276792,
572.9400024,0.9061544538,
573.9699707,1.214063883,
575,1.832315803,
576.0200195,2.793405294,
577.0499878,4.907238483,
577.9400024,7.340064526,
578.9699707,11.97351646,
580,18.25530624,
581.0100098,26.81471634,
582.0200195,36.71512222,
583.039978,48.42834091,
584.0499878,61.51878357,
585.0700073,73.23013306,
585.9400024,84.69881439,
586.9500122,93.82028961,
587.9699707,108.3974152,
588.9799805,118.9310684,
590,126.7211075,
591.0200195,135.9157867,
592.0499878,143.0367889,
592.9400024,146.3113098,
593.9699707,155.3748779,
595,156.8847809,
596.0200195,159.2556763,
597.0499878,162.885788,
597.9400024,163.7818298,
598.9699707,165.1207428,
600,167.0435486,
601.0100098,168.5607605,
602.0200195,169.0227661,
603.039978,166.9767914,
604.0499878,167.2949829,
605.0700073,167.167572,
605.9400024,166.3746338,
606.9500122,162.1616211,
607.9699707,161.8296356,
608.9799805,160.3956757,
610,160.095871,
611.0100098,157.3064728,
612.0200195,155.0934601,
613.039978,153.3632507,
614.0499878,151.3478546,
615.0700073,145.3981171,
615.9400024,145.4454498,
616.9500122,144.3932953,
617.9699707,137.8464355,
618.9799805,135.789856,
620,133.6066895,
621.0100098,129.8045959,
622.0200195,127.6435623,
623.039978,124.4979095,
624.0499878,119.8000565,
625.0700073,118.584549,
625.9400024,115.3970871,
626.9500122,110.9468842,
627.9699707,110.9657211,
628.9799805,105.8399582,
630,104.4999161,
631.0100098,103.133667,
632.0200195,98.97847748,
633.039978,96.19195557,
634.0499878,95.13313293,
635.0700073,90.69691467,
635.9400024,89.37581635,
636.9500122,87.27177429,
637.9699707,85.86479187,
638.9799805,83.37397766,
640,79.80547333,
641,78.99298096,
642,77.16395569,
643,74.77238464,
644,71.91398621,
645,69.5141449,
646,67.55966949,
647,65.55300903,
648,64.06255341,
649,63.54005814,
650,60.44053268,
651.0100098,58.44352341,
652.0200195,57.73735428,
653.039978,55.39990234,
654.0499878,53.60311508,
655.0700073,51.74209213,
655.9400024,50.75369263,
656.9500122,48.48391724,
657.9699707,47.97460556,
658.9799805,46.06694412,
660,44.26155853,
661,43.26782608,
662,42.04515076,
663,41.2637291,
664,39.47830582,
665,38.88226318,
666,37.51643372,
667,36.04164886,
668,34.81013489,
669,34.40818787,
670,32.84624481,
671,32.02537918,
672,32.14095688,
673,29.98918343,
674,29.94494438,
675,28.92467117,
676,27.98661804,
677,26.60801888,
678,26.38182831,
679,25.15524673,
680,24.50536919,
680.9799805,23.23723602,
681.9699707,22.65607834,
682.9500122,22.56955719,
683.9400024,21.31494904,
685.0700073,20.88752174,
686.0499878,20.24133682,
687.039978,18.97105408,
688.0200195,18.51906776,
689.0100098,17.68457985,
690,17.84992599,
691,17.24583817,
692,16.97257996,
693,16.07060432,
694,15.66165161,
695,15.09308243,
696,14.97564697,
697,14.480093,
698,13.69059277,
699,13.54765224,
700,13.07673836,

Resorcinol,
Resorcinol
Collection Time: 4/28/2025 12:58:19 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17430002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        290.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               288.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/28/2025 9:34:43 AM
Method Modifications:
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 9:36:35 AM, Old:600, New:800
Ex. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Em. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Emission PMT (V): Changed: 4/28/2025 9:36:35 AM, Old: 600, New: 800
Excitation Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 350.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 600.00, New: 700.00
Zero Mode Changed: 4/28/2025 9:36:36 AM, Old:ON, New:OFF
User Delta Increment Changed: 4/28/2025 9:40:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 300.00, New: 500.00
Stop Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 700.00, New: 800.00
Ex. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
Em. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
Excitation Wavelength Changed: 4/28/2025 9:50:42 AM, Old: 450.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 9:50:42 AM, Old: 500.00, New: 300.00
Stop Wavelength Changed: 4/28/2025 9:50:52 AM, Old: 800.00, New: 700.00
Ex. Slit Width (nm): Changed: 4/28/2025 10:00:54 AM, Old:5, New:2.5
Em. Slit Width (nm): Changed: 4/28/2025 10:00:54 AM, Old:5, New:2.5
PMT Volts Changed: 4/28/2025 10:01:27 AM, Old:800, New:600
Ex. Slit Width (nm): Changed: 4/28/2025 10:01:27 AM, Old:2.5, New:5
Em. Slit Width (nm): Changed: 4/28/2025 10:01:27 AM, Old:2.5, New:5
Emission PMT (V): Changed: 4/28/2025 10:01:27 AM, Old: 800, New: 600
PMT Volts Changed: 4/28/2025 10:29:17 AM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 10:29:17 AM, Old: 600, New: 800
PMT Volts Changed: 4/28/2025 10:36:23 AM, Old:800, New:600
Emission PMT (V): Changed: 4/28/2025 10:36:23 AM, Old: 800, New: 600
Excitation Wavelength Changed: 4/28/2025 10:36:42 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 10:36:42 AM, Old: 300.00, New: 500.00
User Delta Stop Changed: 4/28/2025 10:37:33 AM, Old: 450.00, New: 532.00
Excitation Wavelength Changed: 4/28/2025 10:37:33 AM, Old: 450.00, New: 532.00
Emission Wavelength Changed: 4/28/2025 10:37:33 AM, Old: 500.00, New: 550.00
Zero Mode Changed: 4/28/2025 10:40:03 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 10:40:03 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 10:40:13 AM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 10:40:13 AM, Old: 600, New: 800
Excitation Wavelength Changed: 4/28/2025 10:40:13 AM, Old: 532.00, New: 288.00
Zero Mode Changed: 4/28/2025 10:40:13 AM, Old:ON, New:OFF
Excitation Wavelength Changed: 4/28/2025 10:42:47 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 10:42:47 AM, Old: 550.00, New: 500.00
Zero Mode Changed: 4/28/2025 10:48:18 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 10:48:19 AM, Old:Reading, New:ON
Excitation Wavelength Changed: 4/28/2025 10:50:10 AM, Old: 450.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 10:50:21 AM, Old: 500.00, New: 300.00
Emission Wavelength Changed: 4/28/2025 10:50:47 AM, Old: 300.00, New: 290.00
Zero Mode Changed: 4/28/2025 12:12:01 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:12:01 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:15:16 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:15:16 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:16:01 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:16:01 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:33:43 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:33:43 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:37:23 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:37:23 PM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 12:45:50 PM, Old:800, New:600
Emission PMT (V): Changed: 4/28/2025 12:45:50 PM, Old: 800, New: 600
Zero Mode Changed: 4/28/2025 12:45:50 PM, Old:ON, New:OFF
Zero Mode Changed: 4/28/2025 12:55:31 PM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 12:55:31 PM, Old:Reading, New:ON
End Method Modifications

