water,,
Wavelength (nm),Intensity (a.u.),
290,381.2510071,
291.0700073,272.6300964,
292,184.4225616,
293.0700073,100.723732,
294,49.07462311,
295.0700073,20.16486931,
296,8.888905525,
297.0700073,3.851197243,
298,3.023045063,
299.0700073,2.873342991,
300,2.632922649,
301.0700073,1.051718712,
302,2.226594448,
303.0700073,1.774341583,
304,1.427928925,
305.0700073,1.327203751,
306,1.25342226,
307.0700073,2.024677277,
308,1.074342728,
309.0700073,0.7633929253,
310,2.681799412,
311.0700073,4.225980282,
312,7.713658333,
313.0700073,17.03823471,
314,25.24548721,
315.0700073,41.9030838,
316,54.91202545,
317.0700073,70.349823,
318,81.66709137,
319.0700073,87.85717773,
320,83.32344818,
321.0700073,77.88975525,
322,64.85202026,
323.0700073,51.70768738,
324,40.33295441,
325.0700073,24.76111794,
326,15.68160057,
327.0700073,9.834007263,
328,6.372232437,
329.0700073,4.304441452,
330,3.123617172,
331.0700073,2.406140327,
332,3.179641724,
333.0700073,1.881595612,
334,1.74727869,
335.0700073,2.052154064,
336,1.910660744,
337.0700073,1.101561069,
338,1.310547352,
339.0700073,1.820944309,
340,2.684920311,
341.0700073,1.181301117,
342,1.498685837,
343.0700073,0.9184961319,
344,2.518878937,
345.0700073,1.612722397,
346,1.36381197,
347.0700073,1.118248463,
348,1.001009941,
349.0700073,1.189030647,
350,0.8272285461,
351.0700073,0.8373651505,
352,0.5469727516,
353.0700073,1.248575211,
354,1.044346333,
355.0700073,0.3526425362,
356,1.281423092,
357.0700073,0.4699802399,
358,0.8714895248,
359.0700073,0.3295810223,
360,0.2034180164,
361.0599976,1.117037773,
361.9599915,1.165154934,
363.0299988,0.8032932281,
363.9299927,0.4248700142,
365,0.223000288,
366.0599976,0.0607919693,
366.9599915,-0.53166008,
368.0299988,0.3889458179,
368.9299927,-0.3834662437,
370,-0.7226560116,
371.0700073,0.1396560669,
372,-0.01741099358,
373.0700073,-0.07117438316,
374,-0.3214094639,
375.0700073,-0.7731597424,
376,-0.4663369656,
377.0700073,-0.5190556049,
378,-0.6626172066,
379.0700073,-0.8251330853,
380,-0.7379584312,
381.0599976,-1.093257666,
381.9599915,-0.8041446209,
383.0299988,-0.840681076,
383.9299927,-0.8754065037,
385,-1.10053277,
386.0599976,-1.294926882,
386.9599915,-1.305447817,
388.0299988,-1.16467309,
388.9299927,-1.444087029,
390,-1.292665124,
391.0700073,-1.054260969,
392,-1.493425012,
393.0700073,-1.90073657,
394,-1.34086144,
395.0700073,-1.898108363,
396,-0.9648525715,
397.0700073,-1.992275715,
398,-1.85385263,
399.0700073,-1.701629162,
400,-2.006156921,
401.0599976,-1.672817349,
401.9599915,-1.878033638,
403.0299988,-2.07400012,
403.9299927,-2.124471188,
405,-2.12815094,
406.0599976,-1.92622149,
406.9599915,-1.962817311,
408.0299988,-2.024082184,
408.9299927,-1.865516782,
410,-2.17847681,
411.0599976,-2.044659138,
411.9599915,-2.115450382,
413.0299988,-2.435958862,
413.9299927,-2.012656212,
415,-2.425716162,
416.0599976,-1.685905576,
416.9599915,-1.908443809,
418.0299988,-1.815293789,
418.9299927,-2.142757654,
420,-2.13298583,
421.0599976,-1.971688271,
421.9599915,-2.128420353,
423.0299988,-2.262402534,
423.9299927,-2.420864582,
425,-2.541738987,
426.0599976,-2.032823324,
426.9599915,-2.154635906,
428.0299988,-2.058042049,
428.9299927,-2.064013004,
430,-2.251460075,
431.0599976,-2.264831543,
431.9599915,-2.03390646,
433.0299988,-2.107078552,
433.9299927,-2.530259609,
435,-2.362679005,
436.0599976,-2.479895115,
436.9599915,-2.768161297,
438.0299988,-2.4786551,
438.9299927,-2.47830534,
440,-2.77901125,
441.0599976,-2.044947147,
441.9599915,-2.230114698,
443.0299988,-2.531539917,
443.9299927,-2.429238796,
445,-2.576643944,
446.0599976,-2.194891214,
446.9599915,-2.835832596,
448.0299988,-2.595281363,
448.9299927,-2.724501848,
450,-2.677854776,
451.0400085,-2.66364789,
451.9400024,-2.693298817,
452.980011,-2.703961372,
454.019989,-2.063869476,
455.0700073,-2.600280046,
455.9700012,-2.721995831,
457.0100098,-2.387155056,
458.0499878,-2.388532639,
458.9500122,-2.704780579,
460,-2.494651794,
461.0599976,-2.255619764,
461.9599915,-2.320221901,
463.0299988,-2.261291504,
463.9299927,-2.778143883,
465,-2.731359959,
466.0599976,-2.719468117,
466.9599915,-2.854472876,
468.0299988,-2.806368828,
468.9299927,-2.720556021,
470,-2.67594862,
471.0400085,-2.615096092,
471.9400024,-2.606762409,
472.980011,-2.549733162,
474.019989,-2.841755629,
475.0700073,-2.381342649,
475.9700012,-2.524201393,
477.0100098,-2.747025967,
478.0499878,-2.881623268,
478.9500122,-2.540614843,
480,-2.756492615,
481.0599976,-2.970518112,
481.9599915,-2.9771173,
483.0299988,-2.677299976,
483.9299927,-2.862159729,
485,-2.897690296,
486.0599976,-2.567374468,
486.9599915,-2.76904726,
488.0299988,-2.564663649,
488.9299927,-2.646834612,
490,-2.753641367,
491.0400085,-2.377948284,
491.9400024,-2.646094084,
492.980011,-2.3458848,
494.019989,-2.388152361,
495.0700073,-2.627418518,
495.9700012,-2.622163057,
497.0100098,-2.465445757,
498.0499878,-2.669590473,
498.9500122,-2.625203133,
500,-2.781150579,
501.0400085,-3.021054745,
501.9400024,-2.766537428,
502.980011,-2.498444319,
504.019989,-2.578253269,
505.0700073,-2.63791132,
505.9700012,-2.783616543,
507.0100098,-2.975101709,
508.0499878,-2.783494473,
508.9500122,-2.788149357,
510,-2.892258167,
511.019989,-2.885914326,
512.0499878,-2.893314123,
512.9400024,-2.928847551,
513.9699707,-2.771863699,
515,-2.637608528,
516.0200195,-2.822441578,
517.0499878,-2.758987188,
517.9400024,-2.797325611,
518.9699707,-2.476625443,
520,-2.766438723,
521.039978,-2.588812351,
521.9400024,-2.731852055,
522.9799805,-2.822246313,
524.0200195,-2.503824711,
525.0700073,-2.667273045,
525.9699707,-2.619791508,
527.0100098,-2.904473066,
528.0499878,-2.515601397,
528.9500122,-2.782710552,
530,-2.743567228,
531.039978,-2.893057585,
531.9400024,-2.771398306,
532.9799805,-2.784159422,
534.0200195,-2.856412172,
535.0700073,-2.572659016,
535.9699707,-2.763043404,
537.0100098,-2.875345469,
538.0499878,-2.340045929,
538.9500122,-2.78958416,
540,-2.811374903,
541.0200195,-2.327185631,
542.0499878,-2.687338352,
542.9400024,-2.683359623,
543.9699707,-2.693039894,
545,-2.463961601,
546.0200195,-2.506046295,
547.0499878,-2.630286932,
547.9400024,-2.544206142,
548.9699707,-2.608114481,
550,-2.544378519,
551.0200195,-2.627183914,
552.0499878,-2.698957205,
552.9400024,-2.429280996,
553.9699707,-2.615557194,
555,-2.18737793,
556.0200195,-2.242525578,
557.0499878,-2.199616432,
557.9400024,-2.136174679,
558.9699707,-2.703441143,
560,-2.432529449,
561.0200195,-2.189166069,
562.0499878,-1.9670223,
562.9400024,-1.32234931,
563.9699707,-0.8865270615,
565,2.626995087,
566.0200195,9.127782822,
567.0499878,17.99396706,
567.9400024,34.76444244,
568.9699707,63.55360413,
570,108.4532394,
571.0200195,162.8041992,
572.0499878,230.7044067,
572.9400024,275.7678528,
573.9699707,320.940094,
575,342.1927185,
576.0200195,326.4902344,
577.0499878,324.7298889,
577.9400024,309.4057922,
578.9699707,296.5809326,
580,266.7083435,
581.0100098,235.4848785,
582.0200195,194.1819,
583.039978,141.694931,
584.0499878,90.54745483,
585.0700073,56.46923065,
585.9400024,31.33012199,
586.9500122,14.97366333,
587.9699707,5.614220619,
588.9799805,2.185841084,
590,1.472031116,
591.0200195,0.177662611,
592.0499878,0.4654240608,
592.9400024,-0.9185757637,
593.9699707,-0.1615729332,
595,-0.8460144997,
596.0200195,-1.003587008,
597.0499878,-1.094152689,
597.9400024,-0.6494007111,
598.9699707,-1.315586686,
600,-1.150418997,
601.0100098,-1.38900876,
602.0200195,-1.846644878,
603.039978,-1.386268258,
604.0499878,-0.9294784069,
605.0700073,-1.499253154,
605.9400024,-1.46831584,
606.9500122,-1.645607829,
607.9699707,-1.473869681,
608.9799805,-1.253517628,
610,-2.001615047,
611.0100098,-1.118040323,
612.0200195,-1.494258761,
613.039978,-2.18025732,
614.0499878,-1.19899416,
615.0700073,-1.947168589,
615.9400024,-2.121687412,
616.9500122,-1.859467983,
617.9699707,-1.674502492,
618.9799805,-2.034806728,
620,-1.94737184,
621.0100098,-2.356140137,
622.0200195,-1.97693038,
623.039978,-1.613010406,
624.0499878,-1.393376708,
625.0700073,-0.7330827713,
625.9400024,-0.8412463665,
626.9500122,-0.0940258503,
627.9699707,1.444461823,
628.9799805,2.89981842,
630,4.619486809,
631.0100098,6.78578949,
632.0200195,9.872711182,
633.039978,11.5483799,
634.0499878,12.20244026,
635.0700073,15.06412697,
