Wavelength (nm),Intensity (a.u.),
350,0.1326515526,
352,0.0001803841442,
354,0.06547093391,
356,0.183617413,
358,0.08974774182,
360,0.08810508996,
362,0.2251355648,
364,0.3706241846,
366,0.2693422139,
368,0.06910267472,
370,0.1177614704,
371.9599915,0.1380426139,
373.9299927,-0.02229455672,
376.0599976,0.1377932727,
378.0299988,0.3359358013,
380,0.1339310408,
382,0.1612422019,
384,0.0005130600184,
386,0.04535681009,
388,0.1831192374,
390,0.1116938367,
392,0.06839810312,
394,0.2003184855,
396,0.07002235949,
398,0.1815421134,
400,0.1145573929,
401.9599915,0.1138617471,
403.9299927,-0.06714967638,
406.0599976,0.06672886014,
408.0299988,0.1115832105,
410,0.1587664634,
412,0.04365835339,
414,0.0444002673,
416,0.2012340724,
418,0.2204989046,
420,0.02172243409,
421.9599915,0.06621276587,
423.9299927,0.1818565279,
426.0599976,0.2222150862,
428.0299988,0.2555089593,
430,0.3281235993,
431.9599915,-0.1135749966,
433.9299927,0.1563167423,
436.0599976,9.684450924E-5,
438.0299988,0.1789666861,
440,0.137709111,
442,0.0698267594,
444,-0.02229455672,
446,0.3541140556,
448,0.1372387111,
450,0.1345014274,
451.9400024,0.08950723708,
454.019989,0.06592775881,
455.9700012,0.06807436794,
458.0499878,0.08895004541,
460,0.2874262631,
461.9599915,0.291895628,
463.9299927,0.2445144057,
466.0599976,0.1343120039,
468.0299988,0.158856675,
470,0.1115891859,
471.9599915,0.293312192,
473.9299927,0.5453538299,
476.0599976,0.4618816972,
478.0299988,0.5818403959,
480,0.7034112811,
481.9599915,0.9551573396,
483.9299927,1.083900213,
486.0599976,1.333852291,
488.0299988,1.960714817,
490,2.744709969,
491.9400024,3.693052769,
494.019989,5.703785896,
495.9700012,8.157118797,
498.0499878,14.18610954,
500,23.00735283,
501.9400024,37.8637619,
504.019989,63.80084229,
505.9700012,102.3273315,
508.0499878,155.1848602,
510,211.8087921,
511.9599915,277.4317627,
513.9299927,336.1242371,
516.0599976,387.2669067,
518.0300293,415.3497314,
520,427.9891052,
522.0499878,430.8108521,
523.9699707,419.6142578,
526.0200195,402.1596069,
527.9400024,373.2930298,
530,352.5065918,
531.9400024,326.9859314,
534.0200195,301.1232605,
535.9699707,279.4132385,
538.0499878,258.187561,
540,242.2827301,
541.9400024,228.0423126,
544.0200195,210.7971344,
545.9699707,201.9686737,
548.0499878,190.3509369,
550,179.392868,
551.9400024,169.7629547,
554.0200195,160.3001709,
555.9699707,150.835083,
558.0499878,139.2301331,
560,131.9557343,
562.0499878,121.0406113,
563.9699707,113.3131409,
566.0200195,103.8830719,
567.9400024,96.34272766,
570,88.4993515,
572.0499878,80.49875641,
573.9699707,73.92105103,
576.0200195,66.63239288,
577.9400024,63.47417831,
580,56.05639267,
582.0499878,51.07079315,
583.9699707,47.46273422,
586.0200195,43.59120178,
587.9400024,39.62912369,
590,36.81520844,
592.0499878,33.07941818,
593.9699707,31.4406395,
596.0200195,28.42891693,
597.9400024,26.10645294,
600,25.82231903,
602.0499878,23.24465942,
603.9699707,20.93558693,
606.0200195,19.91596985,
607.9400024,18.88409233,
610,16.14440155,
612.0200195,16.09173012,
614.0499878,14.39264107,
615.9400024,13.35431385,
617.9699707,12.47975349,
620,11.10670662,
622.0200195,10.37237453,
624.0499878,9.562592506,
625.9400024,8.877587318,
627.9699707,8.109806061,
630,7.341441154,
632.0200195,6.711476803,
634.0499878,6.354702473,
635.9400024,5.709415913,
637.9699707,5.222949505,
640,4.72398901,
642.0200195,4.787891388,
644.0499878,4.05111742,
645.9400024,4.586425304,
647.9699707,6.893239021,
650,7.968153477,
652.0200195,4.407584667,
654.0499878,2.806722403,
655.9400024,2.571018457,
657.9699707,2.509292841,
660,2.127994537,
662,1.881715536,
664,2.109901667,
666,1.937359691,
668,1.506516814,
670,1.442956448,
672.0200195,1.232382536,
674.0499878,1.319987416,
675.9400024,1.158658743,
677.9699707,0.9471127391,
680,1.191860318,
682,0.9220359921,
684,0.8488050103,
686,0.8928839564,
688,0.6431300044,
690,0.7878475189,
691.9699707,0.6813114285,
693.9400024,0.6065655947,
696.0499878,0.6302266121,
698.0200195,0.7402253151,
700,0.5636737347,
