Wavelength (nm),Intensity (a.u.),
350,0.09007761627,
352,0.02194637991,
354,0.1562529653,
356,0.02255553193,
358,0.1780125946,
360,0.1369737238,
362,0.02298812382,
364,0.2892527282,
366,0.2252469212,
368,0.2267320007,
370,-0.02229455672,
371.9599915,0.06599591672,
373.9299927,-0.1112288982,
376.0599976,0.06794390082,
378.0299988,0.04411385953,
380,-0.0444233492,
382,0.08748215437,
384,0.04470561445,
386,0.1974228919,
388,0.04457270354,
390,0.0663382858,
392,0.08896984905,
394,0.04520156235,
396,-0.06711348891,
398,-0.08794438094,
400,0.02204544283,
401.9599915,0.02249526791,
403.9299927,-0.02229455672,
406.0599976,0.06751235574,
408.0299988,0.04477752745,
410,0.1577842385,
412,0.06765776128,
414,-0.04521351308,
416,0.02251232602,
418,0.09218741208,
420,0.0001355186105,
421.9599915,-0.04489955679,
423.9299927,-0.02229455672,
426.0599976,-0.04451628402,
428.0299988,0.02317962609,
430,0.06718489528,
431.9599915,0.04416828603,
433.9299927,0.08850385249,
436.0599976,-0.02229455672,
438.0299988,0.06663780659,
440,0.1572870314,
442,-0.06779977679,
444,0.113353841,
446,0.2973182797,
448,-0.02229455672,
450,-0.08979067951,
451.9400024,0.04583307356,
454.019989,0.0455526486,
455.9700012,-0.04461648315,
458.0499878,0.06679031998,
460,0.000256408006,
461.9599915,0.09010288119,
463.9299927,-0.06736193597,
466.0599976,0.06589080393,
468.0299988,0.2227216065,
470,0.2249075621,
471.9599915,0.2927865684,
473.9299927,0.3342752457,
476.0599976,0.7091674209,
478.0299988,0.881780684,
480,1.387784123,
481.9599915,1.772272468,
483.9299927,2.878879786,
486.0599976,4.196922302,
488.0299988,6.293642521,
490,9.104902267,
491.9400024,12.77723217,
494.019989,18.66781807,
495.9700012,26.10017204,
498.0499878,37.41672516,
500,48.91879272,
501.9400024,66.451828,
504.019989,87.51911163,
505.9700012,107.7314911,
508.0499878,127.8974533,
510,146.2333679,
511.9599915,160.5981903,
513.9299927,168.2072144,
516.0599976,170.827774,
518.0300293,170.9530487,
520,164.950592,
522.0499878,159.4064331,
523.9699707,150.2041168,
526.0200195,139.3107452,
527.9400024,130.1367798,
530,118.4281693,
531.9400024,110.3432388,
534.0200195,101.5722809,
535.9699707,94.05428314,
538.0499878,86.96134949,
540,80.42237091,
541.9400024,74.43514252,
544.0200195,70.36611176,
545.9699707,67.90215302,
548.0499878,62.33072662,
550,60.30342484,
551.9400024,55.3767662,
554.0200195,52.22563553,
555.9699707,49.60494614,
558.0499878,46.52025986,
560,43.77562332,
562.0499878,41.33032227,
563.9699707,37.43980789,
566.0200195,34.10429382,
567.9400024,30.99155807,
570,28.96990395,
572.0499878,26.33286667,
573.9699707,24.61941719,
576.0200195,22.25959015,
577.9400024,20.69182777,
580,18.51735687,
582.0499878,17.32294464,
583.9699707,16.02231979,
586.0200195,14.49333954,
587.9400024,13.33966541,
590,12.25266457,
592.0499878,11.2232008,
593.9699707,10.28461647,
596.0200195,9.427534103,
597.9400024,8.924495697,
600,8.32916069,
602.0499878,7.612660408,
603.9699707,7.235162735,
606.0200195,7.024776936,
607.9400024,5.879692554,
610,5.825787067,
612.0200195,5.095591545,
614.0499878,4.80338335,
615.9400024,4.745657444,
617.9699707,4.158024311,
620,4.082224846,
622.0200195,3.323156834,
624.0499878,2.940310717,
625.9400024,3.025543451,
627.9699707,2.654518843,
630,2.47530818,
632.0200195,2.270382166,
634.0499878,1.939267516,
635.9400024,2.031093597,
637.9699707,1.74268055,
640,1.667389393,
642.0200195,1.359171152,
644.0499878,1.723101377,
645.9400024,4.100959778,
647.9699707,16.28990364,
650,23.54484177,
652.0200195,7.657778263,
654.0499878,1.354565382,
655.9400024,0.9318816662,
657.9699707,0.8248229623,
660,0.585047543,
662,0.5404136181,
664,0.5154843926,
666,0.5401857495,
668,0.6476922631,
670,0.4445900023,
672.0200195,0.5228378773,
674.0499878,0.5948624015,
675.9400024,0.3891058266,
677.9699707,0.4319618046,
680,0.2681368589,
682,0.3108093143,
684,0.3676226437,
686,0.1974084228,
688,0.3127961457,
690,0.2455027997,
691.9699707,0.1581823677,
693.9400024,0.288374722,
696.0499878,0.2917124033,
698.0200195,0.2875427902,
700,0.1095706746,

Sample 10,
Sample 10
Collection Time: 1/29/2025 4:24:58 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                      Cary Eclipse
Instrument Serial Number        MY17430003
Data mode                       Fluorescence
Scan mode                       Emission
X Mode                          Wavelength (nm)
Start (nm)                      350.00
Stop (nm)                       700.00
Ex. Wavelength (nm)             323.00
Ex. Slit (nm)                   2.5
Em. Slit (nm)                   2.5
Scan rate (nm/min)              1200.00
Data interval (nm)              2.0000
Averaging Time (s)              0.1000
Excitation filter               Auto
Emission filter                 Open
PMT voltage (V)                 Medium
Corrected spectra               OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 12/1/2017 12:22:10 PM
Method Modifications:
Overlayed Graphs Changed: 1/29/2025 4:07:52 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 1/29/2025 4:07:52 PM, Old:5, New:2.5
Em. Slit Width (nm): Changed: 1/29/2025 4:07:52 PM, Old:5, New:2.5
Scan Control Changed: 1/29/2025 4:07:52 PM, Old:Medium, New:Fast
XY Table Changed: 1/29/2025 4:07:52 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 1/29/2025 4:07:52 PM, Old: 350.00, New: 323.00
Data interval: Changed: 1/29/2025 4:07:52 PM, Old:   1.00, New:   2.00
Emission Wavelength Changed: 1/29/2025 4:07:52 PM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 1/29/2025 4:07:52 PM, Old: 600.00, New: 700.00
Zero Mode Changed: 1/29/2025 4:13:06 PM, Old:OFF, New:Reading
Zero Mode Changed: 1/29/2025 4:13:06 PM, Old:Reading, New:ON
End Method Modifications

