Stock F,,
Wavelength (nm),Intensity (a.u.),
350,0.466966778,
352,0.4518752694,
354,0.5224270225,
356,0.5668623447,
358,0.627433598,
360,0.7795678973,
362,1.064841151,
364,1.120927215,
366,0.8773100972,
368,0.7669740915,
370,0.763700068,
371.9599915,0.6003912687,
373.9299927,0.4366149008,
376.0599976,0.5303130746,
378.0299988,0.490080744,
380,0.3067778647,
382,0.513064146,
384,0.4248498678,
386,0.4964958727,
388,0.3498270214,
390,0.238440603,
392,0.4332926273,
394,0.4552870095,
396,0.6219608188,
398,0.3821753561,
400,0.2857850492,
401.9599915,0.3830390275,
403.9299927,0.4661309421,
406.0599976,0.447027266,
408.0299988,0.4989636838,
410,0.4091972113,
412,0.4406805634,
414,0.3978101611,
416,0.3460606635,
418,0.2548269928,
420,0.4618137479,
421.9599915,0.5597984791,
423.9299927,0.4880429506,
426.0599976,0.2751464248,
428.0299988,0.3596259952,
430,0.4281238317,
431.9599915,0.3829877079,
433.9299927,0.4030942321,
436.0599976,0.343072772,
438.0299988,0.4305181205,
440,0.4140163362,
442,0.2645602524,
444,0.4135105014,
446,0.3034843802,
448,0.4990977943,
450,0.4927975833,
451.9400024,0.3989361525,
454.019989,0.5532028675,
455.9700012,0.4548555911,
458.0499878,0.4453020394,
460,0.4579104185,
461.9599915,0.5049182773,
463.9299927,0.5665508509,
466.0599976,0.5945082307,
468.0299988,0.8706514239,
470,1.04342556,
471.9599915,1.268088937,
473.9299927,1.967312336,
476.0599976,2.819893837,
478.0299988,3.720112801,
480,5.713750839,
481.9599915,8.17741394,
483.9299927,11.71167755,
486.0599976,17.57994843,
488.0299988,25.5550499,
490,36.25659561,
491.9400024,53.25566864,
494.019989,77.06695557,
495.9700012,108.9580154,
498.0499878,158.5686951,
500,219.9350739,
501.9400024,293.5437622,
504.019989,397.4780884,
505.9700012,499.5280762,
508.0499878,609.6612549,
510,698.1862793,
511.9599915,770.8897705,
513.9299927,814.1646729,
516.0599976,844.3606567,
518.0300293,839.4898071,
520,818.901123,
522.0499878,784.0490723,
523.9699707,742.0071411,
526.0200195,691.3318481,
527.9400024,643.0285645,
530,593.2530518,
531.9400024,546.6913452,
534.0200195,505.9634399,
535.9699707,463.3922424,
