Pyrogallol,,
Wavelength (nm),Abs,
800.0127563,0.01559246145,
795.0172119,0.016201308,
790.0116577,0.01509310491,
784.9962158,0.01418428309,
780.0059204,0.01533977501,
775.0059204,0.01610020921,
769.996521,0.01495649293,
765.0127563,0.01663512364,
759.984436,0.01481488813,
755.0172729,0.01617664285,
750.0058594,0.01708057523,
744.9852295,0.01710106432,
739.9910278,0.01687145047,
734.9879761,0.01621447504,
730.0116577,0.01661616191,
724.9911499,0.01689451374,
719.9976807,0.01701353863,
714.9956665,0.0166856125,
709.9851685,0.01816892624,
705.0022583,0.01741224714,
700.0111084,0.01764923893,
695.0118408,0.01701089926,
690.0043945,0.01836004481,
684.9890137,0.01740402915,
680.0018311,0.01789574698,
675.0067749,0.01699447818,
670.0040283,0.01862695068,
664.9935913,0.01861870848,
660.0119019,0.01917261817,
654.9863281,0.01809492148,
649.9897461,0.01829102822,
644.9858398,0.01884746552,
640.0111694,0.01963519678,
634.9927368,0.01944565587,
630.0039063,0.01936650649,
625.0079956,0.01940705255,
620.005127,0.01989061199,
614.9953613,0.01941019297,
610.015686,0.02007262036,
604.9923706,0.02023609914,
599.9992065,0.02038176171,
594.9995728,0.02031939477,
589.9934082,0.02047607489,
585.0178223,0.02049127221,
579.9988403,0.0212047901,
575.0106812,0.02112817392,
570.0162964,0.0214977134,
565.0157471,0.02182796039,
560.0090942,0.02162905224,
554.9963989,0.02233264409,
550.0151367,0.02259106934,
544.9906006,0.02240080759,
539.9976196,0.0229889024,
534.9989014,0.02282760292,
529.9945679,0.02303462103,
524.9844971,0.02343067527,
520.0066528,0.02374481596,
514.9854736,0.02404224686,
509.9967346,0.02479586005,
505.002594,0.02561135031,
500.0031433,0.02565089241,
494.9984436,0.02652453259,
489.9885559,0.0272162091,
485.0115356,0.02832885645,
479.9914551,0.0292287562,
475.0044861,0.03024401702,
470.0125732,0.03123097681,
465.0157166,0.03244280443,
460.0141907,0.03374407068,
455.007843,0.03409390152,
449.9967957,0.03595267981,
444.9811096,0.03693185747,
439.999176,0.03758716583,
435.0127258,0.03870743886,
429.9834595,0.03910964355,
424.9882202,0.03985015675,
419.9886169,0.04048019648,
414.9847412,0.04066561535,
410.0152283,0.04119018093,
405.0029907,0.04089129716,
399.9866638,0.04153885692,
395.0049133,0.04209890217,
390.019165,0.04305846244,
384.9908142,0.04539553821,
379.9972839,0.04880097136,
374.9999695,0.05342171714,
369.9988403,0.05565228313,
364.9940491,0.05678703636,
359.9855957,0.05796552822,
355.0123901,0.0605773069,
349.9967957,0.06208372116,
345.0166321,0.0636369735,
339.9941101,0.0679121837,
335.0071411,0.07400734723,
330.0168762,0.08658479154,
324.984314,0.1041342169,
319.9876099,0.1196320131,
314.9876709,0.1369247884,
309.9846802,0.1564916819,
305.0177307,0.175830856,
300.0086975,0.1917840242,
294.9966736,0.2219747305,
289.98172,0.4320567846,
285.0031738,2.122824907,
279.982605,3.438389778,
274.9985046,3.829229832,
270.0117798,3.871399641,
264.9831238,3.635004759,
259.9911804,4.604085445,
254.9966583,4.095379353,
249.9996948,4.084937572,
245.0003204,3.77762866,
239.9985504,3.679713964,
234.9944611,3.714646578,
229.9881134,3.752750635,
225.0189514,2.543703556,
220.0081482,4.338428974,
214.9952698,3.71472168,
209.9802704,3.889518976,
205.0027618,10,
199.9837341,3.301072359,

Pyrogallol,
Pyrogallol
Collection Time: 2025-04-28 13:32:13
Operator Name  :
Scan Version 5.1.0.1016
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  On
Baseline Type  Zero/baseline correction
Baseline File Name  C:\Users\chemlab\Desktop\DG_EXPERIMENT\Phloroglucinol_04.28
Baseline Std Ref File Name
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 2025-04-28 12:02:56
Method Modifications:
Baseline Correction Changed: 2025-04-28 12:03:40, Old:0, New:2
Saved as C:\Users\chemlab\Desktop\DG_EXPERIMENT\Pyrogallol 04.28Saved as C:\Users\chemlab\Desktop\DG_EXPERIMENT\Phloroglucinol_04.28
X Stop nm Changed: 2025-04-28 12:39:56, Old:  200.0, New:  190.0
X Stop nm Changed: 2025-04-28 13:30:29, Old:  190.0, New:  200.0
End Method Modifications
<Current Wavelength> , 200.0

