Wavelength (nm),Intensity (a.u.)
300.0113831,0.1438249052
300.9906616,0.1388476044
302.0090332,0.1345703006
302.9880981,0.1315633804
304.0061951,0.1296397895
304.9849854,0.128412962
306.0028687,0.1280000806
306.9814453,0.1289799809
307.9990845,0.1303021163
309.0165405,0.1333556026
309.9947815,0.1365383565
311.0120544,0.1402791142
311.9900208,0.1447062194
313.0069885,0.1515722573
313.9847412,0.1568938345
315.0014954,0.1630684882
316.0180969,0.1691666991
316.9954834,0.1744728833
318.0118408,0.1804064363
318.9889832,0.184593007
320.0050964,0.1869287044
320.9819946,0.1880702376
321.9978333,0.1875884533
323.0135193,0.1851510406
323.9900818,0.1819494069
325.0055237,0.1775749922
325.981781,0.1722272187
326.9969788,0.1664955765
328.0120239,0.1599208564
328.987915,0.1522738934
330.0027466,0.1447154582
331.017395,0.1384917647
331.9928894,0.1304126233
333.0072937,0.1232842952
333.9825439,0.1151488423
334.9967041,0.1082340926
336.0106812,0.1018309072
336.9855347,0.09536942095
337.9992676,0.08828850091
339.0128479,0.08183775097
339.9873352,0.0761538893
341.0006409,0.07143638283
342.0137939,0.06634262949
342.987854,0.06224621087
344.0007935,0.05830239505
345.0135498,0.05525199324
345.9872131,0.05235224217
346.9997253,0.0499441959
348.0120544,0.04747410864
348.985321,0.04584934935
349.9973755,0.04425715655
351.0093079,0.04287896678
351.9822083,0.04201999307
352.9938049,0.04078505188
354.0053406,0.040572837
355.0166626,0.03977366909
355.9889832,0.03993114457
357.000061,0.04004237428
358.0109558,0.04023368284
358.9828796,0.0402287133
359.9935303,0.04039336741
361.0040283,0.04020352289
362.0143433,0.04097637534
362.9856873,0.04125513509
363.9957886,0.04167625681
365.0056458,0.04238101095
366.0154419,0.04255202413
366.9862061,0.04294637218
367.995636,0.04363604635
369.0049438,0.0440902859
370.0140991,0.04413618892
370.9843445,0.04479558021
371.9931946,0.04538099468
373.0019226,0.04606835917
374.0104675,0.04618082941
375.0188904,0.04644615576
375.9883728,0.0467350781
376.99646,0.04672380537
378.004425,0.04719543085
379.0122375,0.04720353708
379.9811401,0.04695693031
380.9886169,0.04681880027
381.9959717,0.04691635072
383.0031433,0.04650455341
384.0101929,0.04648176208
385.0170288,0.04640135914
385.9850464,0.04583266377
386.9916077,0.04573167488
387.9980164,0.0458104834
389.0042725,0.04557869583
390.0103455,0.04547293484
391.0162964,0.04521268606
391.9833679,0.04532539099
392.9889832,0.04501150548
393.9944763,0.0452917181
394.9997559,0.04550616443
396.0049133,0.04539234564
397.0098877,0.0455519855
398.014679,0.04582912475
399.0193481,0.04614147544
399.985199,0.04645174369
400.989502,0.04671576247
401.9936829,0.04702425003
402.9976807,0.04758134112
404.0015259,0.04780830443
405.005249,0.04885166138
406.0087585,0.04949124902
407.0120544,0.05038895085
408.0152283,0.05150173977
409.01828,0.05269974098
409.9825745,0.05419985205
410.9852295,0.05594247952
411.9877319,0.05783952773
412.9901123,0.0602718927
413.9923096,0.06260073185
414.9942932,0.06561596692
415.9961243,0.06881254166
416.9978027,0.07252310216
417.9993286,0.07619392872
419.0006104,0.08054246008
420.0018005,0.08431236446
421.0028076,0.08949892968
422.0036316,0.09451443702
423.0042725,0.09871508926
424.0047302,0.104415901
425.0050354,0.1094579548
426.005127,0.1155978814
427.0050964,0.1218999922
428.0048828,0.1276040375
429.0045166,0.1333111972
430.0039368,0.1396170706
431.0032043,0.147250101
432.0022888,0.1544858515
433.0011597,0.1619123667
433.9998474,0.1686381251
434.9984436,0.1769126654
435.9967957,0.1866418868
436.9950256,0.1976593435
437.992981,0.2077763081
438.9908447,0.2199897021
439.9885254,0.2316806167
440.9859619,0.2443899065
441.9833069,0.2606126964
443.0187988,0.2796328366
444.0157471,0.297573626
445.0124512,0.3145194948
446.0090637,0.3359213769
447.0054321,0.3574704528
448.0016479,0.3799463212
448.9976807,0.4033118188
449.9935303,0.4268120229
450.9891663,0.4487493336
451.9846191,0.4739122987
453.018219,0.4963376522
454.0132751,0.5224190354
455.0082397,0.5433107018
456.0029297,0.5666280985
456.9974365,0.5871061683
457.9918213,0.6105709076
458.9860229,0.628215313
460.018158,0.6462988853
461.0120544,0.6655724645
462.0056458,0.681933105
462.9989929,0.7008231878
463.9921875,0.719696939
464.9852905,0.7387554646
466.0162964,0.7587845325
467.0089111,0.7807098031
468.0014343,0.8034494519
468.9936829,0.8358975649
469.9857483,0.8707960844
471.0157471,0.907648325
472.0074158,0.9464003444
472.9989014,0.9876627922
473.9902344,1.041946769
474.9813538,1.100995302
476.0103455,1.160736322
477.0010376,1.219672561
477.9915466,1.273373008
478.9818115,1.340596676
480.0101013,1.407304406
481.0000305,1.47154665
481.9897156,1.5414747
483.0173035,1.587157488
484.0066223,1.636021376
484.9957581,1.68343699
485.9846802,1.736363173
487.0114136,1.770436525
487.9999695,1.785204649
488.9882813,1.796373487
490.0144653,1.798606873
491.0023499,1.794029117
491.9900513,1.755646586
493.015564,1.705073237
494.0028992,1.647570252
494.9899597,1.588835835
496.0148315,1.501900077
497.0015259,1.415257215
497.9880371,1.316823125
499.0122681,1.222014666
499.9983521,1.118795753
500.9841919,1.015898228
502.007782,0.9113107324
502.9932556,0.8131533861
504.0163879,0.7266718745
505.0014343,0.6368336082
505.9862366,0.5631552935
507.0087585,0.4937422276
