Wavelength (nm),Intensity (a.u.)
300.0113831,0.2049974352
300.9906616,0.2126580477
302.0090332,0.2214888483
302.9880981,0.2299128026
304.0061951,0.2382056862
304.9849854,0.2453862131
306.0028687,0.2526379228
306.9814453,0.2610326707
307.9990845,0.2685697675
309.0165405,0.2757132649
309.9947815,0.2822917104
311.0120544,0.2872146964
311.9900208,0.2922527194
313.0069885,0.2954573035
313.9847412,0.2981699109
315.0014954,0.299956888
316.0180969,0.2997443974
316.9954834,0.299018234
318.0118408,0.2966521978
318.9889832,0.2948164046
320.0050964,0.2926154435
320.9819946,0.2900653183
321.9978333,0.2873427868
323.0135193,0.2853211164
323.9900818,0.2862091362
325.0055237,0.2862661779
325.981781,0.2875470221
326.9969788,0.2914310098
328.0120239,0.2949438691
328.987915,0.3004064262
330.0027466,0.3062973619
331.017395,0.3117585778
331.9928894,0.3183495998
333.0072937,0.3256333768
333.9825439,0.3330039382
334.9967041,0.3387187719
336.0106812,0.3444084823
336.9855347,0.3507803977
337.9992676,0.3561413586
339.0128479,0.3609116375
339.9873352,0.3647219837
341.0006409,0.3690538108
342.0137939,0.3708217442
342.987854,0.3731933534
344.0007935,0.3747029006
345.0135498,0.375353545
345.9872131,0.3756251335
346.9997253,0.3746656775
348.0120544,0.3724626899
348.985321,0.3705355823
349.9973755,0.3663406968
351.0093079,0.3627509773
351.9822083,0.3569065928
352.9938049,0.3505063057
354.0053406,0.3435464203
355.0166626,0.3352465034
355.9889832,0.3263498247
357.000061,0.3187174499
358.0109558,0.3065130413
358.9828796,0.2949771583
359.9935303,0.2817614973
361.0040283,0.2721625865
362.0143433,0.2612149119
362.9856873,0.2470924407
363.9957886,0.2331432402
365.0056458,0.2199927568
366.0154419,0.208042413
366.9862061,0.1961787343
367.995636,0.1824296266
369.0049438,0.1688295454
370.0140991,0.157494545
370.9843445,0.1489279717
371.9931946,0.1362943947
373.0019226,0.125195846
374.0104675,0.1146325395
375.0188904,0.1053826362
375.9883728,0.09605757892
376.99646,0.08870542794
378.004425,0.0808762908
379.0122375,0.07232103497
379.9811401,0.064939484
380.9886169,0.05912732333
381.9959717,0.05285700411
383.0031433,0.04759231582
384.0101929,0.04223902151
385.0170288,0.03761449084
385.9850464,0.03366462141
386.9916077,0.03071329556
387.9980164,0.02701658197
389.0042725,0.02365834638
390.0103455,0.02068659104
391.0162964,0.01916520484
391.9833679,0.01678894646
392.9889832,0.01480505895
393.9944763,0.01329262555
394.9997559,0.01165757701
396.0049133,0.01025706995
397.0098877,0.009263092652
398.014679,0.007844574749
399.0193481,0.007358045317
399.985199,0.006614802405
400.989502,0.005547673441
401.9936829,0.005030449945
402.9976807,0.004627427086
404.0015259,0.003974830266
405.005249,0.003692652564
406.0087585,0.003249007976
407.0120544,0.003045889549
408.0152283,0.002918252489
409.01828,0.002477610717
409.9825745,0.002416461008
410.9852295,0.002170439111
411.9877319,0.001908306498
412.9901123,0.001828104025
413.9923096,0.001716131344
414.9942932,0.001533341012
415.9961243,0.001440143562
416.9978027,0.00148351898
417.9993286,0.001416925341
419.0006104,0.001363818767
420.0018005,0.001158932457
421.0028076,0.001462791697
422.0036316,0.001309628249
423.0042725,0.001268554828
424.0047302,0.001200203085
425.0050354,0.001323363511
426.005127,0.0009951605462
427.0050964,0.001295166439
428.0048828,0.001049130224
429.0045166,0.00108883332
430.0039368,0.001092077233
431.0032043,0.001017214614
432.0022888,0.0008879675297
433.0011597,0.0008523029392
433.9998474,0.001077648601
434.9984436,0.001090753707
435.9967957,0.001014438341
436.9950256,0.001056162291
437.992981,0.0008560119313
438.9908447,0.0007195785875
439.9885254,0.001153430087
440.9859619,0.001044407603
441.9833069,0.001185589237
443.0187988,0.001038413495
444.0157471,0.0009710319573
445.0124512,0.000789177313
446.0090637,0.0009959129384
447.0054321,0.0008294013096
448.0016479,0.0009060473531
448.9976807,0.0008004064439
449.9935303,0.0009294459014
450.9891663,0.0007461564965
451.9846191,0.0008895238861
453.018219,0.001022092649
454.0132751,0.0008101835847
455.0082397,0.0007964126999
456.0029297,0.0006729609449
456.9974365,0.0006045991322
457.9918213,0.0009933443507
458.9860229,0.0008983432199
460.018158,0.0009143482312
461.0120544,0.001026192214
462.0056458,0.0007853392162
462.9989929,0.0007095701294
463.9921875,0.0006238855422
464.9852905,0.0008503576973
466.0162964,0.0007110739825
467.0089111,0.0009050616063
468.0014343,0.0006425506435
468.9936829,0.0007329321816
469.9857483,0.0006510280073
471.0157471,0.0004005370429
472.0074158,0.0007478420157
472.9989014,0.0006318181404
473.9902344,0.0007055512397
474.9813538,0.0006225116667
476.0103455,0.0007903702208
477.0010376,0.0003735398059
477.9915466,0.000688620552
478.9818115,0.0005345116369
480.0101013,0.000739959185
481.0000305,0.0008831947926
481.9897156,0.0005044220597
483.0173035,0.0004928895505
484.0066223,0.0006082023028
484.9957581,0.0007452489226
485.9846802,0.0007006249507
487.0114136,0.0006224338431
487.9999695,0.0005310127162
488.9882813,0.0005500626285
490.0144653,0.000389991852
491.0023499,0.0003996042651
491.9900513,0.0003923495824
493.015564,0.0003354822693
494.0028992,0.0004199698451
494.9899597,0.0002351341245
496.0148315,0.0005332675646
497.0015259,0.0004107715504
497.9880371,0.0004391703405
499.0122681,0.0002900196705
499.9983521,0.0005200756132
500.9841919,0.0004843634961
