Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.156040;0.052836;-0.042546;-0.020014;-0.043532
-390;0.020170;-0.073852;-0.094779;-0.012826;-0.031241
-380;-0.095081;-0.105654;-0.138320;-0.186732;-0.228423
-370;0.054264;-0.112342;0.096853;-0.055917;-0.079905
-360;-0.186523;-0.068750;-0.141978;-0.270366;-0.004610
-350;-0.279136;-0.038990;-0.067135;-0.206752;0.004096
-340;-0.196337;-0.139589;-0.121445;-0.007696;-0.049664
-330;-0.138475;-0.046681;-0.003075;-0.120045;-0.185326
-320;-0.052703;-0.092815;-0.181949;-0.238089;-0.133131
-310;0.009219;-0.034351;-0.055894;0.010260;-0.170003
-300;-0.064113;-0.070247;-0.237279;-0.111854;-0.016899
-290;-0.195580;-0.097422;-0.135339;-0.269856;-0.120868
-280;-0.053420;-0.087694;0.002051;-0.169804;-0.099846
-270;0.012333;-0.176407;-0.066669;-0.070795;-0.006657
-260;0.032917;-0.072793;-0.170187;-0.026165;-0.183807
-250;-0.079265;-0.142051;-0.039985;0.007696;-0.226874
-240;-0.117904;0.085120;-0.130224;0.092872;-0.220714
-230;-0.113297;-0.120500;-0.199915;-0.042599;-0.088075
-220;-0.002060;-0.070772;-0.054344;-0.118024;-0.113650
-210;-0.053576;0.037432;-0.017945;-0.201105;-0.071200
-200;-0.189629;-0.170236;0.081508;-0.119016;-0.140843
-190;-0.071101;-0.074816;-0.159468;-0.134916;0.003073
-180;-0.121105;-0.260458;0.049214;-0.201125;-0.173070
-170;-0.127272;-0.013329;-0.049722;-0.112376;-0.045579
-160;-0.043288;-0.091257;-0.105619;-0.190913;-0.144920
-150;-0.205601;-0.142510;-0.123556;0.017445;0.037888
-140;-0.125219;-0.028706;-0.190681;-0.118516;0.071171
-130;-0.125707;-0.032294;-0.109677;-0.058494;-0.015874
-120;-0.070053;-0.048703;-0.174274;-0.118022;-0.132630
-110;-0.129799;-0.044602;-0.083058;-0.047218;-0.267888
-100;-0.209090;-0.133827;-0.036913;-0.017445;-0.168977
-90;-0.036559;-0.073803;-0.130197;-0.120041;0.012803
-80;-0.115361;-0.060483;-0.078448;0.016934;-0.123423
-70;-0.055602;-0.127626;-0.059462;-0.067715;-0.180278
-60;-0.049944;-0.110723;-0.133283;-0.174386;-0.137766
-50;-0.065917;-0.053318;-0.161954;-0.263735;-0.101890
-40;-0.216232;-0.173313;-0.031273;-0.141622;0.053766
-30;-0.189933;-0.113310;-0.008714;-0.150261;-0.120309
-20;0.005660;-0.129709;-0.089704;-0.085148;-0.169485
-10;0.069456;0.089747;0.066157;0.285264;-0.020490
0;1.414983;1.364942;1.241850;1.202949;1.346388
10;2.588032;2.592335;2.536393;2.358048;2.485384
20;3.820856;3.829347;3.671948;3.650375;3.793977
30;5.008459;5.059118;4.762179;4.847920;4.800761
40;6.072610;6.015370;6.031042;6.083590;6.322928
50;7.273494;7.220923;7.190535;7.180694;7.112852
60;8.512869;8.337701;8.531029;8.369107;8.368194
70;9.340022;9.538449;9.356197;9.596173;9.421038
80;10.670750;10.664269;10.546894;10.594386;10.518977
90;11.624659;11.729869;11.619111;11.541918;11.499729
100;12.768297;12.865259;12.881175;12.774434;12.592165
110;13.628510;13.707372;13.917337;13.839407;13.818396
120;14.686086;14.818880;14.557160;14.689258;14.729959
130;14.454869;14.517310;14.417076;14.652525;14.465244
140;14.461285;14.376590;14.372140;14.563337;14.356029
150;14.284640;14.241592;14.063992;14.142816;14.240055
160;14.087360;14.274035;14.058893;14.204374;14.012974
170;13.930637;13.951692;13.866727;14.084290;14.024620
180;13.811349;13.778848;13.825918;13.827068;13.756426
190;13.714194;13.729746;13.797175;13.797356;13.839168
200;13.481685;13.691229;13.588919;13.590356;13.571239
210;13.320984;13.540428;13.434524;13.443153;13.376839
220;13.298204;13.345552;13.215372;13.333374;13.329024
230;13.191741;13.300386;13.210229;12.949745;13.212853
240;12.955235;13.108809;13.071957;12.924401;13.005614
250;12.951901;12.877331;12.816173;13.009278;12.752555
260;12.758149;12.831354;12.855320;12.830597;12.821939
270;12.565170;12.682931;12.546359;12.645379;12.608114
280;12.413625;12.418085;12.512855;12.583150;12.457922
290;12.466940;12.387107;12.358914;12.449733;12.331312
300;12.247103;12.262509;12.313361;12.258804;12.151307
310;12.184920;12.094732;12.053918;12.212708;12.202391
320;12.012992;11.824410;11.867044;12.001708;11.985955
330;11.893017;11.966940;11.944067;11.920040;11.828474
340;11.778188;11.861513;11.773309;11.720802;11.855079
350;11.498604;11.621090;11.751382;11.641298;11.606018
360;11.568860;11.493246;11.413793;11.524692;11.603792
370;11.568044;11.586203;11.356746;11.516233;11.378495
380;11.320681;11.380244;11.317542;11.294001;11.278715
390;11.290254;11.078849;11.224022;11.298120;11.222116
400;11.089661;11.029067;11.081095;11.100770;11.059468
410;11.022857;10.977220;11.005212;10.860984;10.870925
420;10.965610;10.826251;10.948192;10.850701;11.027841
430;10.757737;10.631212;10.647625;10.745884;10.812384
440;10.600391;10.512794;10.777007;10.704896;10.743661
450;10.708811;10.557385;10.476224;10.493703;10.724553
460;10.280142;10.466030;10.563805;10.380083;10.237955
470;10.404394;10.261834;10.434138;10.400743;10.454268
480;10.247459;10.282656;10.292042;10.186391;10.193912
490;10.169263;10.113575;10.174979;10.252655;10.131350
500;10.030872;9.972202;10.048822;10.019503;10.030822
510;9.957127;9.828389;9.907619;9.953628;9.804572
520;9.851401;9.825077;9.900610;9.818773;9.883727
530;9.627228;9.661749;9.710334;9.776170;9.706165
540;9.735428;9.536546;9.587490;9.699372;9.562541
550;9.603533;9.596516;9.535708;9.439017;9.694392
560;9.471691;9.458629;9.369712;9.478077;9.386168
570;9.409580;9.419802;9.414635;9.401143;9.217818
580;9.366549;9.272830;9.126313;9.266850;9.198828
590;9.185405;9.067681;9.118646;9.160865;9.048181
600;9.250618;9.191901;9.061947;9.158040;8.975068
610;8.986337;8.938223;8.663807;9.091711;8.925500
620;9.057329;8.989995;8.840540;9.090321;9.000896
630;8.790703;8.750444;8.697147;8.874016;8.836584
640;8.687161;8.649140;8.716040;8.679415;8.723434
650;8.787692;8.630601;8.607366;8.667960;8.594038
660;8.586813;8.587540;8.495996;8.559141;8.648850
670;8.347889;8.407838;8.479694;8.612651;8.488873
680;8.309435;8.372965;8.232677;8.307394;8.382443
690;8.184440;8.347390;8.195819;8.247354;8.312712
700;8.283532;8.136484;8.137326;8.118623;7.950457
710;8.117335;8.192091;8.086469;8.124220;8.151660
720;8.015855;8.073827;8.131106;8.101749;7.853090
730;8.019286;7.788211;8.035857;8.061819;7.978636
740;7.903620;8.000296;7.836245;7.922382;7.908701
750;7.943661;7.785098;7.800765;7.815720;7.819491
760;7.704634;7.754346;7.750568;7.927884;7.940727
770;7.525881;7.681465;7.605840;7.623552;7.533434
780;7.550929;7.588527;7.504154;7.602247;7.768311
790;7.475132;7.548995;7.449392;7.516046;7.463155
