Laser Delay [ns];TA [mOD]
-400;-0.215284
-390;-0.260174
-380;-0.219178
-370;-0.217203
-360;-0.194441
-350;-0.234387
-340;-0.275842
-330;-0.205263
-320;-0.141328
-310;-0.328137
-300;-0.169031
-290;-0.275782
-280;-0.304183
-270;-0.237206
-260;-0.167643
-250;-0.178572
-240;-0.252781
-230;-0.220371
-220;-0.274221
-210;-0.362817
-200;-0.312141
-190;-0.252256
-180;-0.216499
-170;-0.252677
-160;-0.146810
-150;-0.280414
-140;-0.201689
-130;-0.283320
-120;-0.381455
-110;-0.244004
-100;-0.208511
-90;-0.120378
-80;-0.285966
-70;-0.292725
-60;-0.230254
-50;-0.246090
-40;-0.303030
-30;-0.131403
-20;-0.223738
-10;0.081163
0;1.619027
10;3.352358
20;5.007315
30;6.579751
40;8.198274
50;9.754634
60;11.334978
70;12.895984
80;14.377453
90;15.871858
100;17.368552
110;18.714560
120;20.021152
130;19.625138
140;19.464720
150;19.347567
160;19.060054
170;18.881552
180;18.803698
190;18.579736
200;18.365039
210;18.093255
220;17.982453
230;17.912409
240;17.719985
250;17.514949
260;17.313626
270;17.164094
280;17.029794
290;16.882052
300;16.586391
310;16.478607
320;16.340745
330;16.191136
340;15.967231
350;15.825638
360;15.645592
370;15.508709
380;15.453287
390;15.279563
400;14.988195
410;14.923791
420;14.771225
430;14.571360
440;14.417910
450;14.271469
460;14.249977
470;14.061372
480;13.963346
490;13.844049
500;13.697499
510;13.520504
520;13.233922
530;13.233617
540;13.139396
550;13.016050
560;12.855981
570;12.821224
580;12.486994
590;12.430764
600;12.308625
610;12.198504
620;12.140587
630;11.918101
640;11.914191
650;11.798347
660;11.599115
670;11.516898
680;11.401668
690;11.190774
700;11.263122
710;11.007639
720;10.977316
730;10.804637
740;10.744579
750;10.664909
760;10.615553
770;10.483435
780;10.386355
790;10.286377
800;10.193536
810;10.033177
820;9.954581
830;9.862655
840;9.712655
850;9.586425
860;9.661694
870;9.597307
880;9.448208
890;9.176928
900;9.232883
910;9.186372
920;8.950845
930;8.862352
940;8.919172
950;8.776407
960;8.675264
970;8.711707
980;8.454399
990;8.486092
1000;8.328311
1010;8.301067
1020;8.115364
1030;8.102676
1040;8.046065
1050;7.907438
1060;7.967668
1070;7.714062
1080;7.673311
1090;7.632720
1100;7.543571
1110;7.381442
