Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.152193;-0.161773;-0.396353;-0.325086;-0.041015
-390;-0.078706;-0.309712;-0.382654;-0.077441;-0.452358
-380;-0.300108;-0.354491;-0.319828;-0.011671;-0.109789
-370;-0.279300;-0.239339;-0.254959;-0.066316;-0.246100
-360;-0.201098;-0.111493;-0.135220;-0.305975;-0.218419
-350;-0.274682;-0.468895;-0.226554;-0.020696;-0.181110
-340;-0.315716;-0.312282;-0.117248;-0.262657;-0.371309
-330;-0.183642;-0.015323;-0.241346;-0.483711;-0.102294
-320;-0.089844;-0.078733;-0.455925;0.163430;-0.245567
-310;-0.250119;-0.253507;-0.680533;-0.114516;-0.342011
-300;-0.091598;-0.191287;-0.332562;0.003714;-0.233420
-290;-0.262984;-0.312247;-0.235012;-0.365557;-0.203112
-280;-0.279989;-0.334536;-0.182730;-0.403709;-0.319954
-270;-0.293767;-0.136791;-0.533321;-0.127771;-0.094381
-260;-0.318139;-0.216543;0.044373;-0.152210;-0.195695
-250;-0.181569;-0.203961;-0.301795;-0.050397;-0.155135
-240;-0.173654;-0.455390;-0.192275;-0.328408;-0.114176
-230;-0.049235;-0.073922;-0.418236;-0.211073;-0.349391
-220;-0.323913;-0.397558;-0.168846;-0.318626;-0.162160
-210;-0.412171;-0.281406;-0.468827;-0.316151;-0.335530
-200;-0.330262;-0.445220;-0.094003;-0.297108;-0.394111
-190;-0.177152;-0.372106;-0.362582;-0.150060;-0.199380
-180;-0.098911;-0.365340;-0.121410;0.000530;-0.497366
-170;-0.357035;-0.236602;-0.312694;-0.330406;-0.026647
-160;-0.207342;0.136259;-0.102444;-0.414407;-0.146114
-150;-0.270254;-0.450274;-0.405224;-0.281651;0.005331
-140;-0.470139;-0.181043;0.015836;-0.128832;-0.244269
-130;-0.343547;-0.118226;-0.508329;-0.245436;-0.201063
-120;-0.444826;-0.336865;-0.553366;-0.198984;-0.373232
-110;-0.274256;-0.154144;-0.389544;-0.266687;-0.135387
-100;0.058680;-0.072858;-0.496637;-0.259322;-0.272418
-90;-0.078224;-0.155176;0.000000;-0.184545;-0.183948
-80;-0.317097;-0.288170;-0.151550;-0.274203;-0.398811
-70;-0.385274;-0.218002;-0.380096;-0.049835;-0.430421
-60;-0.097757;-0.007390;-0.426358;-0.391354;-0.228409
-50;-0.178667;-0.472578;0.005278;-0.437294;-0.147187
