Laser Delay [ns];TA [mOD]
-400;-0.333726
-390;-0.306507
-380;-0.269136
-370;-0.367213
-360;-0.301975
-350;-0.385483
-340;-0.330747
-330;-0.364435
-320;-0.338172
-310;-0.321621
-300;-0.333757
-290;-0.316680
-280;-0.294763
-270;-0.340820
-260;-0.292743
-250;-0.371555
-240;-0.340743
-230;-0.433695
-220;-0.397377
-210;-0.365690
-200;-0.404510
-190;-0.349411
-180;-0.297326
-170;-0.415491
-160;-0.409656
-150;-0.348959
-140;-0.369947
-130;-0.365265
-120;-0.436803
-110;-0.331294
-100;-0.344272
-90;-0.349381
-80;-0.349694
-70;-0.387453
-60;-0.324790
-50;-0.405185
-40;-0.310428
-30;-0.330511
-20;0.441126
-10;2.288422
0;4.938625
10;7.390264
20;9.834827
30;12.281922
40;14.829666
50;17.031532
60;19.403817
70;21.704748
80;24.065461
90;26.258994
100;28.488649
110;29.926873
120;30.091471
130;29.823173
140;29.549217
150;29.218578
160;28.982008
170;28.637215
180;28.283711
190;28.003108
200;27.633035
210;27.469054
220;27.123095
230;26.872626
240;26.497423
250;26.279130
260;25.990248
270;25.769231
280;25.448841
290;25.172039
300;24.914457
310;24.743008
320;24.468006
330;24.139062
340;23.887353
350;23.601043
360;23.451327
370;23.255395
380;22.901524
390;22.710549
400;22.499076
410;22.222263
420;21.968803
430;21.766100
440;21.457198
450;21.270513
460;21.119132
470;20.819165
480;20.616730
490;20.432789
500;20.246123
510;19.984045
520;19.788453
530;19.577381
540;19.281691
550;19.112496
560;18.905805
570;18.658629
580;18.651512
590;18.437290
600;18.164389
610;18.007662
620;17.790188
630;17.517946
640;17.397979
650;17.217091
660;17.058365
670;16.834803
680;16.713695
690;16.511232
700;16.343813
710;16.180648
720;16.018097
730;15.906696
740;15.628652
750;15.440456
760;15.414905
770;15.182359
780;15.031256
790;14.904408
800;14.717801
810;14.488761
820;14.342690
830;14.196687
840;14.162454
850;13.968530
860;13.829506
870;13.687244
880;13.506963
890;13.332632
900;13.180848
910;13.156400
920;13.067463
930;12.810946
940;12.797539
950;12.547257
960;12.417267
970;12.326128
980;12.234034
990;12.027350
1000;12.040130
1010;11.797929
1020;11.783158
1030;11.535503
1040;11.470837
1050;11.288803
1060;11.237892
1070;11.112577
1080;10.973577
1090;10.942468
1100;10.779097
1110;10.692682
1120;10.577492
1130;10.430756
1140;10.406075
1150;10.179000
1160;10.158933
1170;10.142899
1180;9.930133
1190;9.810529
1200;9.777505
1210;9.625251
1220;9.561976
1230;9.448669
1240;9.322129
1250;9.223709
1260;9.208934
1270;9.123145
1280;8.963972
1290;8.885897
1300;8.839150
1310;8.666395
1320;8.628049
1330;8.487064
1340;8.344563
1350;8.405189
1360;8.263290
1370;8.184304
1380;8.102360
1390;8.094922
1400;7.947662
1410;7.825636
1420;7.778531
1430;7.647198
1440;7.561610
1450;7.629685
1460;7.505838
1470;7.359268
1480;7.349011
1490;7.241943
1500;7.158489
1510;7.124400
1520;7.081000
1530;7.029436
1540;6.855479
1550;6.874979
1560;6.787504
1570;6.765571
1580;6.615287
1590;6.568617
1600;6.482957
1610;6.455438
1620;6.333501
1630;6.299042
1640;6.173828
1650;6.207071
1660;6.115257
1670;5.949315
1680;6.017433
1690;5.940094
1700;5.935508
1710;5.880483
1720;5.759504
1730;5.712092
1740;5.663346
1750;5.588347
1760;5.431169
1770;5.524755
1780;5.394407
1790;5.352050
1800;5.394994
1810;5.289760
1820;5.196637
1830;5.117364
1840;5.083071
1850;5.094587
1860;5.054333
1870;4.972964
1880;4.973753
1890;4.837534
1900;4.874035
1910;4.787507
1920;4.746617
1930;4.707951
1940;4.736507
1950;4.647316
1960;4.618189
1970;4.522248
1980;4.445122
1990;4.419489
2000;4.403454
2010;4.341765
2020;4.326277
2030;4.234272
2040;4.281994
2050;4.184502
2060;4.175818
2070;4.154624
2080;4.108052
2090;4.063272
2100;4.002646
2110;3.930825
2120;3.991669
2130;3.932433
2140;3.940500
2150;3.902453
2160;3.795256
2170;3.801974
2180;3.713787
2190;3.690851
2200;3.714741
2210;3.639187
2220;3.532602
2230;3.566701
2240;3.575632
2250;3.483384
2260;3.486097
2270;3.452006
2280;3.393746
2290;3.456276
2300;3.294092
2310;3.326992
2320;3.290364
2330;3.198444
2340;3.193126
2350;3.154112
2360;3.162760
2370;3.107913
2380;3.082477
2390;3.080478
2400;2.976379
2410;3.032573
2420;2.984312
2430;2.920051
2440;2.961967
2450;2.967318
2460;2.815339
2470;2.808853
2480;2.828852
2490;2.794942
2500;2.863631
2510;2.812272
2520;2.816406
2530;2.680526
2540;2.756996
2550;2.781005
2560;2.681804
2570;2.611753
2580;2.657530
2590;2.611201
2600;2.619625
2610;2.539718
2620;2.513863
2630;2.543906
2640;2.492755
2650;2.595447
2660;2.513440
2670;2.400654
2680;2.466731
2690;2.394046
2700;2.341038
2710;2.306906
2720;2.366167
2730;2.343649
2740;2.255657
2750;2.293915
2760;2.286751
2770;2.170882
2780;2.233091
2790;2.132332
2800;2.145576
2810;2.084112
2820;2.142822
2830;2.140656
2840;2.107853
2850;2.142751
2860;2.095975
2870;1.994420
2880;1.947528
2890;2.021358
2900;1.980692
2910;1.926039
2920;1.978765
2930;1.914774
2940;1.911541
2950;1.934176
2960;1.875146
2970;1.862534
2980;1.890200
2990;1.837592
3000;1.835826
3010;1.817525
3020;1.846593
3030;1.776144
3040;1.784479
3050;1.850681
3060;1.834082
3070;1.703632
3080;1.725084
3090;1.655055
3100;1.714543
3110;1.657555
3120;1.650842
3130;1.624842
3140;1.596357
3150;1.646886
3160;1.625518
3170;1.587169
3180;1.663557
3190;1.579751
3200;1.560537
3210;1.522004
3220;1.558258
3230;1.578707
3240;1.499068
3250;1.578007
3260;1.528814
3270;1.592896
3280;1.504315
3290;1.473898
3300;1.577582
3310;1.519869
3320;1.460157
3330;1.505713
3340;1.403713
3350;1.476658
3360;1.462078
3370;1.494235
3380;1.447676
3390;1.481683
3400;1.441958
3410;1.406803
3420;1.353093
3430;1.375476
3440;1.438293
3450;1.363120
3460;1.289420
3470;1.325017
3480;1.295314
3490;1.306253
3500;1.383357
3510;1.319793
3520;1.320613
3530;1.255400
3540;1.254372
3550;1.294065
3560;1.257806
3570;1.199535
3580;1.327377
3590;1.179715
3600;1.260261
3610;1.270693
3620;1.198902
3630;1.197272
3640;1.229022
3650;1.161189
3660;1.091083
3670;1.212276
3680;1.166816
3690;1.199506
3700;1.207594
3710;1.273744
3720;1.099763
3730;1.082432
3740;1.195535
3750;1.189871
3760;1.061309
3770;1.152654
3780;1.105757
3790;1.061483
3800;1.115214
3810;1.144336
3820;1.074119
