Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.273788;-0.235111;-0.246826;-0.502278;-0.410628
-390;-0.226421;-0.185843;-0.429034;-0.436345;-0.254890
-380;-0.328117;-0.419183;-0.109641;-0.183824;-0.304917
-370;-0.390833;-0.395677;-0.226368;-0.486754;-0.336435
-360;-0.178322;-0.305385;-0.353203;-0.318000;-0.354968
-350;-0.426830;-0.556920;-0.263211;-0.424554;-0.255902
-340;-0.397150;-0.518036;-0.263932;-0.148596;-0.326021
-330;-0.347113;-0.419281;-0.270793;-0.358811;-0.426179
-320;-0.293085;-0.335268;-0.440333;-0.447218;-0.174955
-310;-0.353534;-0.449915;-0.329854;-0.239162;-0.235641
-300;-0.216213;-0.242589;-0.512539;-0.360572;-0.336871
-290;-0.321347;-0.316950;-0.420401;-0.154757;-0.369946
-280;-0.393185;-0.284685;-0.212866;-0.268241;-0.314839
-270;-0.497925;-0.337203;-0.346923;-0.394267;-0.127783
-260;-0.287752;-0.304165;-0.277394;-0.379401;-0.215003
-250;-0.362867;-0.448086;-0.340429;-0.344175;-0.362217
-240;-0.468846;-0.469738;-0.347882;-0.218131;-0.199119
-230;-0.388611;-0.361139;-0.527362;-0.311090;-0.580272
-220;-0.390786;-0.493262;-0.254499;-0.401582;-0.446756
-210;-0.516649;-0.373054;-0.311700;-0.244640;-0.382407
-200;-0.487022;-0.273090;-0.431634;-0.595131;-0.235670
-190;-0.389592;-0.274068;-0.383112;-0.302647;-0.397635
-180;-0.236791;-0.230645;-0.136762;-0.456848;-0.425584
-170;-0.474028;-0.334573;-0.414545;-0.488610;-0.365696
-160;-0.358726;-0.448022;-0.495191;-0.403692;-0.342650
-150;-0.402323;-0.348353;-0.242637;-0.365724;-0.385758
-140;-0.330698;-0.327353;-0.476827;-0.374266;-0.340591
-130;-0.383528;-0.275549;-0.360740;-0.319035;-0.487475
-120;-0.679438;-0.361232;-0.318373;-0.452064;-0.372910
-110;-0.189069;-0.416618;-0.238097;-0.431227;-0.381461
-100;-0.311363;-0.377740;-0.469634;-0.354911;-0.207713
-90;-0.345448;-0.271683;-0.603776;-0.304316;-0.221682
-80;-0.325695;-0.397234;-0.486129;-0.181519;-0.357893
-70;-0.347419;-0.500014;-0.249055;-0.499847;-0.340930
-60;-0.330931;-0.213499;-0.417619;-0.369634;-0.292265
-50;-0.401266;-0.496967;-0.210900;-0.491928;-0.424863
-40;-0.218755;-0.423895;-0.196042;-0.345999;-0.367447
-30;-0.365446;-0.289876;-0.309644;-0.328262;-0.359326
-20;0.424167;0.445915;0.477763;0.343735;0.514052
-10;2.446614;2.173194;2.329923;2.230950;2.261426
0;4.763253;4.968508;5.097331;5.033456;4.830575
10;7.378848;7.241509;7.410201;7.446858;7.473907
20;10.004542;9.795656;9.614465;9.819104;9.940368
30;12.365442;12.205041;12.268892;12.241776;12.328457
40;14.895943;14.762882;14.920683;14.856382;14.712441
50;16.948981;17.002086;17.124340;17.038899;17.043352
60;19.420257;19.493045;19.362766;19.445972;19.297048
70;21.686468;21.682541;21.689425;21.624069;21.841237
80;24.136035;24.051866;23.911485;24.116804;24.111114
90;26.280893;26.168742;26.197333;26.428059;26.219942
100;28.422570;28.451775;28.480973;28.553708;28.534221
110;30.036202;29.861172;29.955783;29.825823;29.955385
120;30.022465;30.138740;30.008983;30.058793;30.228372
130;29.793874;29.810650;29.832207;29.703806;29.975327
140;29.732807;29.494795;29.636819;29.387593;29.494074
150;29.169316;29.247331;29.304668;29.138702;29.232876
160;28.818106;28.956886;29.176702;28.840946;29.117398
170;28.643161;28.646103;28.664122;28.524191;28.708497
180;28.187174;28.298557;28.249103;28.244463;28.439257
190;27.892875;28.101423;27.970161;28.006098;28.044985
200;27.523481;27.546221;27.764847;27.622576;27.708050
210;27.512024;27.534867;27.516352;27.245641;27.536384
