Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.400839;-0.219251;-0.304407;-0.378293;-0.329456
-390;-0.497637;-0.137380;-0.335044;-0.202512;-0.340103
-380;-0.053627;-0.256984;-0.268436;-0.140347;-0.079513
-370;-0.373350;-0.232974;-0.194753;-0.385117;-0.248596
-360;-0.232820;-0.246017;-0.061707;-0.299312;-0.151853
-350;-0.329988;-0.305805;-0.318707;-0.190568;-0.342377
-340;-0.092209;-0.169114;0.032973;-0.186989;-0.291581
-330;-0.237102;-0.529956;-0.571346;-0.170850;-0.221019
-320;-0.017301;-0.299938;-0.213956;-0.443906;-0.380544
-310;-0.247218;-0.121318;-0.448113;-0.386428;-0.028672
-300;-0.038848;-0.457805;-0.042555;-0.131445;-0.423018
-290;-0.075351;-0.089609;-0.205837;-0.474930;-0.053752
-280;-0.181373;-0.050796;-0.089442;0.063343;-0.387115
-270;-0.107740;-0.551427;-0.226461;-0.224641;-0.063884
-260;-0.259880;-0.145745;-0.354158;0.125463;-0.470126
-250;-0.297592;-0.200196;0.124027;-0.105111;-0.311186
-240;-0.153308;-0.193626;0.227138;-0.291619;-0.002390
-230;-0.481487;-0.145206;-0.351019;-0.484608;-0.374576
-220;-0.072477;0.103908;-0.332620;-0.366800;-0.176386
-210;-0.177775;0.037605;-0.001198;-0.536459;-0.202491
-200;-0.190450;-0.343028;-0.166583;-0.146375;-0.189339
-190;-0.266437;-0.434825;-0.553027;-0.234739;-0.454698
-180;-0.647766;-0.197764;-0.148613;-0.114166;0.095592
-170;-0.319544;-0.090191;-0.372072;-0.367968;-0.213298
-160;-0.420110;-0.105165;-0.163586;-0.003585;-0.478598
-150;-0.411845;-0.192367;-0.452633;-0.360850;-0.326165
-140;-0.118476;-0.223556;-0.135059;-0.286267;-0.341886
-130;-0.104106;-0.259869;-0.054119;0.102773;-0.209060
-120;-0.537916;-0.062748;-0.159636;-0.183829;-0.409236
-110;0.144674;-0.237777;-0.470293;-0.368719;-0.149316
-100;-0.017943;-0.340089;-0.392344;-0.298740;-0.042434
-90;-0.182423;-0.471581;-0.266542;-0.129025;-0.417159
-80;-0.291281;-0.262891;-0.184951;-0.342535;-0.168550
-70;-0.154361;-0.327973;-0.307306;-0.243129;0.019723
-60;-0.288201;-0.506008;-0.236016;-0.218584;-0.098005
-50;-0.149493;0.034645;-0.263371;-0.022108;-0.453765
-40;-0.163195;-0.040607;-0.329422;-0.419754;-0.221805
-30;-0.255800;-0.367911;-0.114348;-0.099812;-0.277275
-20;-0.188263;-0.234894;-0.384413;-0.292820;-0.420810
-10;-0.060964;0.200456;0.463109;-0.074722;0.214662
0;2.491861;2.665477;2.431819;2.448596;1.817763
10;4.673909;4.832743;4.686415;4.340868;4.359838
20;6.888575;6.744127;6.941107;6.703194;6.811769
30;9.076600;8.891523;8.814438;9.269272;8.984993
40;11.094058;10.999574;11.203503;11.045864;11.037217
50;13.096957;13.361207;13.180395;12.917226;13.291016
60;15.115475;15.351032;15.529372;15.602013;15.527334
70;17.284151;17.076337;17.350372;17.018206;17.020570
80;19.004712;19.069773;19.183895;19.163797;19.190653
90;21.080607;21.228172;21.171451;21.034449;21.241325
100;23.049290;23.535744;23.155631;23.247075;23.232857
110;25.563354;25.217060;25.209033;25.128015;24.855410
120;26.458674;26.966987;26.922269;27.159491;26.641311
130;26.432823;26.470425;26.491661;26.545507;26.410968
140;25.915359;26.453135;26.146892;26.227246;26.047241
150;26.183509;26.092781;25.576742;26.527827;25.941846
160;25.588250;25.619780;25.558873;25.481728;25.503646
170;25.397853;25.174074;25.145320;25.492207;25.316896
180;25.112606;24.858271;24.819252;25.393377;25.076577
190;24.891121;24.719003;24.757306;24.720969;24.649049
200;24.243248;24.584172;24.354244;24.486689;24.468405
210;24.194728;24.427477;24.097166;24.302633;24.444475
220;24.150084;24.005775;23.925162;24.007301;24.099844
230;23.767839;23.740023;23.773995;23.772384;23.929531
240;23.702114;23.495170;23.530319;23.505786;23.458579
250;23.356334;23.252813;23.131199;23.221025;23.198724
260;22.878373;22.964592;23.238186;22.970376;22.952126
270;22.890082;22.609822;22.731221;22.788156;22.791899
280;22.607537;22.205148;22.437263;22.551888;22.606656
290;22.199695;22.436641;22.423084;22.421176;22.259908
300;22.222063;22.100111;22.167616;22.154168;21.723498
310;21.514750;22.013452;21.875099;21.858401;21.687716
320;21.662292;21.585702;21.347044;21.712613;21.428175
330;21.133459;21.302905;21.216893;21.371313;21.324043
340;21.143638;20.877471;20.987421;20.876143;21.319579
350;20.816606;20.661315;20.741261;20.968312;21.018018
360;20.583329;20.727632;20.709376;20.819609;20.671383
370;20.546290;20.342904;20.401097;20.613848;20.256724
380;20.283877;20.215794;20.089952;19.936466;20.476730
390;19.678734;20.115697;20.121409;20.007403;20.076946
400;19.654237;19.808569;19.731455;19.675632;20.049730
410;19.566549;19.343089;19.792439;19.610721;19.650891
420;19.557772;19.467396;19.352949;19.167763;19.625999
430;19.074829;19.090067;19.063074;18.941533;18.976883
440;19.212454;18.900257;18.900591;19.009993;18.925981
450;19.117036;18.930039;18.574298;18.635346;18.723896
460;18.267688;18.683603;18.736087;18.784462;18.743422
470;18.537501;18.562366;18.174898;18.152967;18.279425
480;18.254381;18.096129;17.942965;18.131656;17.974159
490;17.750348;17.918501;17.742944;18.242423;17.957776
500;18.141765;17.629073;17.857282;17.653497;17.907380
510;17.628066;17.545469;17.584352;17.699856;17.577987
520;17.453247;17.616670;17.388279;17.366220;17.299889
530;17.090162;17.241265;17.233967;17.253793;17.507574
540;16.892519;17.087329;17.199826;17.134820;16.824809
550;16.905244;16.667233;16.949878;16.797131;16.882044
560;16.609610;16.778664;16.523650;16.661141;16.461457
570;16.588924;16.804131;16.615181;16.563844;16.422245
580;16.350700;16.570687;16.130220;16.295145;16.415799
590;16.178431;16.085665;15.886766;15.865994;16.114241
600;15.821703;15.787125;15.942313;16.113678;15.912657
610;15.717046;15.694475;15.818887;15.761312;15.812660
620;15.639307;15.691125;15.821392;15.567380;15.646350
630;15.148782;15.429370;15.587648;15.357026;15.484180
640;15.027122;15.167456;15.363932;15.241872;15.259313
650;14.826290;15.479689;14.950189;15.152397;14.804805
660;14.882206;14.555174;15.293034;14.694474;15.283031
670;14.581372;14.873208;14.792412;14.823422;14.658116
680;15.049730;14.664935;15.086616;14.528057;14.931758
690;14.717327;14.580023;14.662704;14.409577;14.667359
700;13.865300;14.411622;14.372374;14.435371;14.469074
710;14.380205;14.341325;14.162193;13.808116;14.012121
720;14.272864;14.089948;13.930339;13.993842;14.104605
730;13.678277;14.090564;13.874071;13.935109;14.154235
740;13.994180;13.770386;13.841454;13.798430;13.801740
750;13.541364;13.339846;13.857384;13.543383;13.788715
760;13.401056;13.147516;13.437558;13.624306;13.549037
770;13.400179;13.313892;13.560602;13.436110;13.238857
780;13.005719;13.185358;13.265816;13.035408;13.061672
790;12.871437;13.169309;12.903291;13.062662;13.024871
800;12.938010;12.939962;12.919667;12.783986;13.003607
810;12.800829;12.480302;12.944176;12.978466;12.951607
820;12.567953;12.724137;12.519999;12.405209;12.757890
830;12.335932;12.321794;12.561089;12.579518;12.299920
840;12.579035;12.260884;12.401702;12.422124;12.437940
850;12.091777;12.317791;12.041446;12.265396;12.180454
860;12.187518;12.098229;12.241408;11.924030;12.173567
870;11.890357;11.992540;11.876506;11.904592;11.788380
880;11.781944;11.822263;12.050238;11.703330;11.892941
890;11.694513;11.803841;11.575431;11.762463;11.603832
900;11.721521;11.997495;11.502330;11.400605;11.695794
910;11.578420;11.370700;11.445375;11.453560;11.178781
920;11.172911;11.371313;11.422234;11.243299;11.386899
930;11.433374;11.203020;11.182573;11.393918;10.969825
940;11.210901;10.907833;11.426584;10.691438;10.968429
950;11.140272;11.095781;10.684787;10.769013;11.166351
960;10.725502;10.784545;10.711510;10.933514;10.688049
970;10.985913;10.791663;10.902226;10.658104;10.664916
980;10.687741;10.770517;10.511480;11.015085;10.637976
990;10.808232;10.638044;10.754290;10.559461;10.318203
1000;10.430510;10.532906;10.411203;10.430620;10.176354
1010;10.609990;10.499133;10.364348;10.025703;10.663513
1020;10.629193;10.075465;10.092610;10.164922;10.500653
1030;10.128806;10.136213;10.227846;10.268151;10.044803
1040;10.120319;10.205909;10.257612;9.719965;10.065734
1050;9.798957;10.035119;9.811874;9.792539;9.786697
1060;9.926854;10.051492;9.666657;9.733522;9.685809
1070;9.725622;9.934399;9.773995;9.604541;9.625903
1080;9.609518;9.624236;9.675244;9.805050;9.364858
1090;9.351936;9.624721;9.397806;9.353936;9.231714
1100;9.260754;9.514800;9.394608;9.408779;9.728286
1110;9.396717;9.087087;9.130643;9.646494;9.207227
1120;9.017372;9.296153;9.207450;9.127148;9.504573
1130;9.102956;9.239011;9.164551;9.144466;8.975360
1140;8.790605;8.800885;8.763669;8.740445;9.094502
1150;9.007136;9.326830;9.111728;8.815077;8.836292
1160;9.205525;8.727138;8.860137;8.687761;8.739769
1170;8.968449;8.814783;8.537509;8.963955;8.744348
1180;8.647632;8.382110;8.652672;8.572279;8.687091
1190;8.438513;8.556653;8.526782;8.618359;8.497440
1200;8.619052;8.235026;8.758721;8.395466;8.158899
1210;8.188113;8.255979;8.478078;8.405505;8.371237
1220;8.422554;8.337952;8.234257;7.957572;8.369720
1230;8.048949;8.156243;7.971675;8.026554;8.355581
1240;8.344098;8.145501;8.085842;8.329366;8.154467
1250;8.160114;8.154579;8.086085;8.305627;7.930183
1260;8.037977;7.960625;7.545773;7.955791;7.805440
1270;8.067473;8.030178;7.495420;7.747050;7.706851
1280;7.976720;7.479352;7.266358;7.874669;8.004901
1290;7.672451;7.269285;7.696606;7.633182;7.871021
1300;7.958818;7.737734;7.578685;7.560553;7.642289
1310;7.154687;7.488235;7.293402;7.617468;7.871806
1320;7.274302;7.672032;7.462184;7.763777;7.561303
1330;7.197310;7.164540;7.414047;7.453555;7.542100
1340;7.363820;7.471567;7.410815;7.162591;7.226560
1350;7.016791;7.245577;7.386670;7.318793;6.982228
1360;7.086662;7.084714;6.952236;7.295923;6.983213
1370;6.836749;7.220051;7.288115;6.979272;7.280482
1380;7.042317;6.914589;6.859626;6.822550;6.943937
1390;6.899319;6.824778;7.214620;6.893293;6.963532
1400;6.629800;6.741871;6.867831;7.038355;6.733089
1410;6.750999;6.811285;6.886210;7.022491;6.996304
1420;6.663887;6.900303;6.771005;6.614533;6.509853
1430;6.848213;6.647182;6.603283;6.787406;6.423871
1440;6.613812;6.484658;6.496355;6.759826;6.476703
1450;6.543540;6.276090;6.514870;6.418141;6.573888
1460;6.570736;6.554698;6.623656;6.307292;6.517527
1470;6.590504;6.334227;6.240141;6.656541;6.406761
1480;6.360183;6.618911;6.175781;6.057125;6.170798
1490;6.262995;6.189303;6.153269;6.463255;6.212033
1500;6.235773;6.104859;5.984013;6.332647;6.164917
1510;5.872460;6.137637;6.376817;6.349959;6.420975
1520;6.177512;6.056489;5.815498;5.942628;6.243730
1530;5.918055;5.804090;6.132165;5.831505;6.506846
1540;5.947533;5.984470;6.169767;5.994879;5.942114
1550;6.022998;6.119781;5.959638;6.040423;6.230732
1560;5.852071;5.775894;5.985077;5.619190;5.778976
1570;5.881501;5.804339;5.512691;5.534803;5.631155
1580;5.721106;5.734853;5.862222;5.836837;5.804482
1590;5.424486;5.425374;5.710687;5.853239;5.651125
1600;5.194694;5.410433;5.712842;5.521410;5.591185
1610;5.836188;5.531077;5.025000;5.800802;5.281136
1620;5.296862;5.629001;5.337205;5.451325;5.395418
1630;5.747716;5.607635;5.784544;5.527657;5.302325
1640;5.553059;5.005274;5.476797;5.682142;5.218978
1650;5.192279;5.388730;5.337979;5.238278;5.102272
1660;5.426991;5.420411;5.264529;5.632666;5.243106
1670;4.998664;5.329568;5.365600;5.089533;5.251695
1680;5.313235;5.277271;5.104251;5.317530;5.075963
1690;4.851902;5.229380;5.082198;5.022356;5.284444
1700;4.894854;4.733995;5.069646;5.091114;5.056281
1710;4.899999;4.950067;5.254505;5.177651;4.845528
1720;4.952063;4.957809;5.247838;5.111866;5.056540
1730;4.758412;5.023124;5.355316;4.699431;4.872328
1740;4.877989;4.966541;4.907842;5.064992;4.971146
1750;4.664462;4.777709;4.980813;4.647639;4.677040
1760;5.005314;4.894124;4.849532;4.757931;5.112094
1770;4.843234;4.850707;4.523623;4.537223;4.832393
1780;5.037006;4.527814;4.953091;4.744017;4.664438
1790;4.831703;4.344609;4.460254;4.574925;4.865085
1800;4.511462;4.357185;4.445489;4.410958;4.707092
1810;4.635047;4.695619;4.662322;4.337353;4.500412
1820;4.420086;4.799491;4.824699;4.591956;4.270591
1830;4.198966;4.390685;4.403794;4.381870;4.622154
1840;4.524760;4.488817;4.399021;4.360388;4.390153
1850;4.450028;4.342451;4.279720;4.403087;4.613889
1860;4.029682;4.294399;4.404150;4.632651;4.354898
1870;4.369897;4.562284;4.063549;4.430168;4.274126
1880;4.028684;4.079297;4.076610;4.107713;4.306899
1890;4.054146;4.197057;3.951517;3.980815;4.317783
1900;4.339749;4.185425;4.417373;4.296175;4.027322
1910;4.338310;4.411345;4.081480;4.132727;4.125796
1920;4.201292;4.167492;4.159598;4.277845;4.069672
1930;4.145842;4.052507;3.982420;3.919625;4.016917
1940;4.095797;3.852287;3.933090;3.819127;4.217649
1950;4.164884;3.863259;4.302787;4.155040;4.106412
1960;3.912923;3.847223;3.949763;4.108751;4.044385
1970;3.866170;3.807202;3.931310;3.798837;3.889401
1980;3.709659;3.858224;3.820707;4.082579;3.856296
1990;3.830676;3.759224;3.778021;3.855499;3.823052
2000;3.445697;3.917191;4.007288;3.538705;4.277761
2010;3.822821;3.931469;3.892356;3.995296;3.576632
2020;3.741064;3.823301;3.656017;3.669537;3.678357
2030;4.047119;3.614026;3.545883;3.862614;3.771882
2040;3.493807;3.408424;3.749633;3.549019;3.556971
2050;3.494152;3.706228;3.696364;3.538509;3.885596
2060;3.457827;3.506524;3.703296;3.434819;3.550533
2070;3.494179;3.578701;3.439631;3.682101;3.430402
2080;3.622151;3.361344;3.943516;3.618698;3.395154
2090;3.585199;3.304492;3.370055;3.426580;3.677147
2100;3.702838;3.332859;3.291219;3.667411;3.397357
2110;3.323775;3.421981;3.591374;3.572279;3.629263
2120;3.171945;3.348171;3.622226;3.278618;3.347037
2130;3.086753;3.316166;3.373396;3.556223;3.446839
2140;3.391277;2.920638;3.427189;3.345181;3.217477
2150;3.452750;3.271829;3.228388;3.312443;3.517019
2160;3.261297;3.304457;3.447950;3.296412;3.185706
2170;3.356267;3.149608;3.099593;3.156314;3.247315
2180;3.308621;3.173091;3.102585;3.238148;3.261080
2190;3.466310;2.979075;3.223078;3.491357;3.196936
2200;2.798152;3.125112;3.187842;3.284132;3.079295
2210;3.354368;3.139530;3.273814;3.261346;2.887676
2220;3.081699;3.703257;2.921235;3.173209;3.435734
2230;3.005559;3.216135;2.953444;3.237222;3.007330
2240;3.060108;3.130494;3.213832;3.081454;3.142861
2250;3.105054;3.141633;2.998335;3.145929;3.065586
2260;3.242288;3.135868;3.310906;3.110592;2.901696
2270;3.287450;3.049235;2.996642;2.973746;2.999998
2280;2.830082;2.755328;3.053368;3.051584;3.088136
2290;2.833049;3.363973;2.558840;3.027435;2.981495
2300;2.865409;2.982537;2.882519;2.842363;2.700125
2310;2.849961;2.690480;2.855515;2.942303;2.611607
2320;2.693440;2.841625;2.824043;2.333734;2.555669
2330;2.896122;2.790665;2.761539;2.835097;2.847779
2340;2.778490;2.754878;2.780310;2.605636;2.853117
2350;2.917463;2.948228;2.734934;2.618189;2.769174
2360;2.934503;2.524434;2.729983;2.609386;2.487525
2370;2.475031;2.749905;2.754365;2.382337;2.686117
2380;2.683598;2.548920;2.798208;2.660892;2.624740
2390;2.697507;2.618029;2.510161;2.479518;2.607918
2400;2.630093;2.441688;2.640080;2.502785;2.616796
2410;2.544246;2.778930;2.706154;2.511307;2.426740
2420;2.360651;2.605669;2.553127;2.361654;2.598210
2430;2.613183;2.455126;2.504545;2.308994;2.583294
2440;2.377970;2.575595;2.548973;2.461049;2.722639
2450;2.420873;2.625983;2.868823;2.404346;2.334170
2460;2.253503;2.859817;2.603706;2.434122;2.719524
2470;2.353937;2.446577;2.052723;2.527850;2.501147
2480;2.564600;2.801068;2.616495;2.384416;2.302340
2490;2.521273;2.148792;2.415507;2.584396;2.331212
2500;2.737151;2.387707;2.499082;2.474683;2.280262
2510;2.392330;2.304049;2.201079;2.198066;2.223176
2520;2.414386;2.742271;2.348893;2.836830;2.476273
2530;2.297283;2.016338;2.378522;2.379172;2.336705
2540;2.441551;2.315837;2.216630;2.420505;2.527415
2550;2.171971;2.264888;2.401398;2.458034;2.318852
2560;2.103786;2.238571;1.993812;2.492664;2.268311
2570;2.413920;2.604742;2.414856;2.361594;2.096702
2580;2.126256;2.239587;2.059578;1.845995;2.276909
2590;2.270710;2.438396;2.281479;2.222158;2.062196
2600;2.269688;2.444101;2.351508;2.354213;2.416438
2610;2.152180;1.886775;2.320602;2.527485;2.452288
2620;2.573732;2.002578;1.997203;2.164722;2.082305
2630;1.911266;2.304516;1.934900;2.170008;2.047391
2640;2.490485;2.268045;2.071784;2.110858;2.100489
2650;2.033813;2.011344;2.224448;1.918854;2.079353
2660;2.216851;2.152305;2.250064;2.248877;1.836590
2670;2.352103;2.154996;2.229973;2.292308;1.996110
2680;2.252312;2.337739;1.571774;2.093246;2.340883
2690;2.133549;1.819183;2.021881;2.235975;1.784120
2700;2.170654;2.249335;1.870415;1.713398;2.245870
2710;2.032250;2.023398;2.070215;2.131010;2.098657
