Laser Delay [ns];TA [mOD]
-400;-0.343638
-390;-0.354266
-380;-0.361239
-370;-0.380873
-360;-0.281987
-350;-0.374733
-340;-0.338639
-330;-0.356027
-320;-0.324425
-310;-0.295379
-300;-0.309383
-290;-0.369534
-280;-0.289083
-270;-0.320534
-260;-0.321017
-250;-0.364779
-240;-0.294167
-230;-0.333683
-220;-0.358923
-210;-0.367929
-200;-0.191503
-190;-0.385463
-180;-0.299448
-170;-0.333102
-160;-0.350253
-150;-0.255221
-140;-0.278210
-130;-0.374732
-120;-0.260711
-110;-0.271998
-100;-0.276934
-90;-0.283989
-80;-0.256961
-70;-0.343728
-60;-0.314265
-50;-0.335812
-40;-0.257790
-30;-0.424229
-20;-0.320697
-10;0.455470
0;2.625139
10;4.682719
20;6.871661
30;8.709296
40;10.788601
50;12.740868
60;14.651978
70;16.522320
80;18.357630
90;20.289469
100;22.079029
110;23.870571
120;24.914453
130;24.556144
140;24.304984
150;24.019725
160;23.675970
170;23.228353
180;23.048081
190;22.704484
200;22.471204
210;22.172799
220;21.854463
230;21.634623
240;21.370777
250;21.140283
260;20.929935
270;20.598236
280;20.330034
290;20.051745
300;19.897803
310;19.524286
320;19.288330
330;19.133975
340;18.899081
350;18.608806
360;18.376829
370;18.123595
380;17.920429
390;17.692932
400;17.565563
410;17.250182
420;17.131782
430;16.923968
440;16.686412
450;16.455165
460;16.284161
470;16.077868
480;15.911073
490;15.703641
500;15.467667
510;15.288340
520;15.157066
530;14.918768
540;14.722427
550;14.678807
560;14.423903
570;14.297364
580;14.094608
590;13.816472
600;13.679771
610;13.534680
620;13.328036
630;13.274035
640;13.114147
650;12.896450
660;12.799462
670;12.588606
680;12.471065
690;12.333137
700;12.230953
710;11.979265
720;11.915041
730;11.685488
740;11.594630
750;11.480515
760;11.390838
770;11.252004
780;11.084271
790;11.036437
800;10.840559
810;10.666110
820;10.613744
830;10.386418
840;10.378321
850;10.140109
860;10.097752
870;9.988553
880;9.835780
890;9.809647
900;9.731955
910;9.512924
920;9.417951
930;9.345953
940;9.290625
950;9.206971
960;8.952086
970;8.973627
980;8.817172
990;8.717352
1000;8.566960
1010;8.505070
1020;8.410327
1030;8.368460
1040;8.242688
1050;8.194792
1060;8.071428
1070;8.046041
1080;7.905497
1090;7.865472
1100;7.704840
1110;7.646028
1120;7.613134
1130;7.470781
1140;7.407190
1150;7.318062
1160;7.205241
1170;7.136946
1180;7.134948
1190;7.066969
1200;6.919608
1210;6.908723
1220;6.894482
1230;6.782439
1240;6.675706
1250;6.612365
1260;6.505878
1270;6.425494
1280;6.430915
1290;6.375613
1300;6.232484
1310;6.227621
1320;6.164451
1330;6.037614
1340;6.076839
1350;5.942941
1360;5.914091
1370;5.880477
1380;5.781173
1390;5.845709
1400;5.749677
1410;5.586193
1420;5.528204
1430;5.541381
1440;5.421378
1450;5.407043
1460;5.429150
1470;5.324077
1480;5.321121
1490;5.229920
1500;5.137286
1510;5.130676
1520;5.073260
1530;5.129940
1540;5.002764
1550;4.887405
1560;4.883808
1570;4.879451
1580;4.979918
1590;4.817612
1600;4.687505
1610;4.839256
1620;4.648639
1630;4.553812
1640;4.559785
1650;4.605083
1660;4.402149
1670;4.484371
1680;4.427303
1690;4.350734
1700;4.279470
1710;4.264007
1720;4.276992
1730;4.241876
1740;4.273863
1750;4.218268
1760;4.181040
1770;4.127804
1780;4.082943
1790;4.048301
1800;4.024701
1810;4.017584
1820;3.906417
1830;3.907698
1840;3.909916
1850;3.811088
1860;3.902685
1870;3.796171
1880;3.839602
1890;3.815815
1900;3.684269
1910;3.659977
1920;3.695494
1930;3.746880
1940;3.581771
1950;3.596085
1960;3.621064
1970;3.555360
1980;3.615045
1990;3.518086
2000;3.482894
2010;3.443562
2020;3.408832
2030;3.388733
2040;3.377499
2050;3.239018
2060;3.334349
2070;3.382192
2080;3.312416
2090;3.225014
2100;3.204045
2110;3.238898
2120;3.191347
2130;3.170372
2140;3.220301
2150;3.204931
2160;3.210374
2170;3.154658
2180;3.205529
2190;3.085377
2200;3.134781
2210;2.994962
2220;3.071854
2230;3.046154
2240;2.955233
2250;2.972889
2260;3.027340
2270;2.975202
2280;2.835237
2290;2.924289
2300;2.899117
2310;2.870581
2320;2.931386
2330;2.956732
2340;2.953803
2350;2.830984
2360;2.761720
2370;2.854471
2380;2.781199
2390;2.773998
2400;2.768529
2410;2.684065
2420;2.801981
2430;2.731043
2440;2.701231
2450;2.653103
2460;2.663546
2470;2.739219
2480;2.644723
2490;2.654302
2500;2.588944
2510;2.614508
2520;2.598888
2530;2.586963
2540;2.619768
2550;2.557197
2560;2.536033
2570;2.525347
2580;2.569216
2590;2.541122
2600;2.532725
2610;2.533329
2620;2.456236
2630;2.498525
2640;2.414181
2650;2.506232
2660;2.436146
2670;2.552245
2680;2.495722
2690;2.412801
2700;2.398856
2710;2.445597
2720;2.382482
2730;2.405065
2740;2.378525
2750;2.399370
2760;2.383707
2770;2.358927
2780;2.406492
2790;2.321090
2800;2.405860
2810;2.409638
2820;2.305384
2830;2.309952
2840;2.296253
2850;2.286722
2860;2.341214
2870;2.219878
2880;2.318262
2890;2.316288
2900;2.263295
2910;2.304260
2920;2.219144
2930;2.216818
2940;2.233196
2950;2.191350
2960;2.329187
2970;2.152057
2980;2.198490
2990;2.175996
3000;2.158948
3010;2.222904
3020;2.288908
3030;2.181291
3040;2.136277
3050;2.165743
3060;2.175329
3070;2.200149
3080;2.193463
3090;2.179817
3100;2.108151
3110;2.159396
3120;2.186821
3130;2.240148
3140;2.142329
3150;2.033150
3160;2.166993
3170;2.116835
3180;2.174933
3190;2.071651
3200;2.196623
3210;2.140294
3220;2.017186
3230;2.025930
3240;2.078653
3250;2.135930
3260;2.070071
3270;2.100548
3280;2.047787
3290;2.000038
3300;2.097818
3310;2.007355
3320;2.114009
3330;2.068474
3340;2.099540
3350;1.985966
3360;2.082365
3370;2.061319
3380;2.021786
3390;2.014821
3400;2.122491
3410;2.042771
3420;1.944907
3430;2.031947
3440;2.055602
3450;2.013241
3460;1.955095
3470;1.994433
3480;2.044902
3490;2.025946
3500;2.025859
3510;1.955984
3520;1.960821
3530;1.985646
3540;1.998575
3550;1.944912
3560;1.986834
3570;2.067839
3580;1.930008
3590;1.877828
3600;1.947541
3610;1.937739
3620;1.953526
3630;1.989570
3640;1.974497
3650;1.927308
3660;1.981718
3670;1.976145
3680;1.974643
3690;1.914504
3700;1.985092
3710;1.944960
3720;1.924483
3730;1.933968
3740;2.010258
3750;1.906590
3760;1.873814
3770;1.938335
3780;1.970283
3790;1.866820
3800;1.919667
3810;1.905759
3820;1.864902
3830;1.940143
3840;1.913916
3850;1.889095
3860;1.981722
3870;1.854286
3880;1.891397
3890;1.841601
3900;2.000900
3910;1.880651
3920;1.801060
3930;1.891659
3940;1.966369
3950;1.876474
3960;1.853109
3970;1.918042
3980;1.880939
3990;1.767670
4000;1.901934
4010;1.840932
4020;1.959015
4030;1.910451
4040;1.914074
4050;1.758970
4060;1.835600
4070;1.856903
4080;1.872721
4090;1.783166
4100;1.910169
4110;1.897921
4120;1.798060
4130;1.857702
4140;1.769806
4150;1.880238
4160;1.838460
4170;1.800062
4180;1.817826
4190;1.900078
4200;1.886397
4210;1.869217
4220;1.869491
4230;1.906063
4240;1.905988
4250;1.948284
4260;1.794561
4270;1.939705
4280;1.779731
4290;1.858649
4300;1.839504
4310;1.795295
4320;1.931795
4330;1.876549
4340;1.874729
4350;1.896956
4360;1.840967
4370;1.871938
4380;1.801649
4390;1.889399
4400;1.791721
4410;1.917196
4420;1.827159
4430;1.876739
4440;1.845676
4450;1.810100
4460;1.853142
4470;1.814738
4480;1.827824
4490;1.714163
4500;1.808733
4510;1.877863
4520;1.770523
4530;1.816545
4540;1.857481
4550;1.892040
4560;1.848212
4570;1.894397
4580;1.892510
4590;1.779473
4600;1.839190
4610;1.873416
4620;1.763530
4630;1.771586
4640;1.780381
4650;1.754913
4660;1.807146
4670;1.854547
4680;1.780471
4690;1.892899
4700;1.889402
4710;1.874654
4720;1.808376
4730;1.809952
4740;1.832841
4750;1.887013
4760;1.872168
4770;1.738998
4780;1.804999
4790;1.841497
4800;1.862167
4810;1.794393
4820;1.782020
4830;1.794886
4840;1.813621
4850;1.835360
4860;1.761418
4870;1.913485
4880;1.761227
4890;1.853047
4900;1.854785
4910;1.790592
4920;1.789529
4930;1.857080
4940;1.858513
4950;1.713780
4960;1.805369
4970;1.761969
4980;1.855740
4990;1.901374
5000;1.597171
