Laser Delay [ns];TA [mOD]
-400;-0.375920
-390;-0.355678
-380;-0.348578
-370;-0.420909
-360;-0.377475
-350;-0.382075
-340;-0.357388
-330;-0.357422
-320;-0.402042
-310;-0.349077
-300;-0.392040
-290;-0.404067
-280;-0.406982
-270;-0.416961
-260;-0.356608
-250;-0.415857
-240;-0.416913
-230;-0.376786
-220;-0.411908
-210;-0.414032
-200;-0.360862
-190;-0.389584
-180;-0.380025
-170;-0.388039
-160;-0.379739
-150;-0.408718
-140;-0.374561
-130;-0.382205
-120;-0.405661
-110;-0.355334
-100;-0.380786
-90;-0.377469
-80;-0.392670
-70;-0.377099
-60;-0.403361
-50;-0.414333
-40;-0.348812
-30;-0.379813
-20;-0.058693
-10;1.249628
0;3.142212
10;4.897401
20;6.660684
30;8.329793
40;10.020271
50;11.648508
60;13.264670
70;14.833231
80;16.437784
90;17.927520
100;19.497592
110;20.599794
120;20.798877
130;20.542480
140;20.202420
150;19.847061
160;19.598786
170;19.340866
180;19.058082
190;18.784172
200;18.491517
210;18.308184
220;17.985192
230;17.788902
240;17.490761
250;17.196446
260;17.009408
270;16.675882
280;16.502622
290;16.289513
300;16.053266
310;15.755316
320;15.580725
330;15.417475
340;15.169719
350;15.006805
360;14.710335
370;14.574894
380;14.391489
390;14.161630
400;13.993741
410;13.754266
420;13.609601
430;13.328447
440;13.182661
450;13.113164
460;12.888056
470;12.689710
480;12.541096
490;12.355010
500;12.184993
510;11.991923
520;11.877106
530;11.681184
540;11.548976
550;11.409065
560;11.246684
570;11.127715
580;10.970235
590;10.846471
600;10.691067
610;10.526959
620;10.475015
630;10.321495
640;10.195496
650;10.032713
660;9.932910
670;9.747923
680;9.672781
690;9.591176
700;9.494990
710;9.367028
720;9.183366
730;9.094391
740;9.044038
750;8.928337
760;8.792716
770;8.753300
780;8.601685
790;8.506674
800;8.418728
810;8.297095
820;8.257510
830;8.103273
840;7.986061
850;7.910339
860;7.858594
870;7.708940
880;7.689747
890;7.628386
900;7.522439
910;7.420656
920;7.315578
930;7.273646
940;7.249047
950;7.138570
960;6.970244
970;6.977018
980;6.905947
990;6.912706
1000;6.762392
1010;6.716515
1020;6.614120
1030;6.602968
1040;6.507563
1050;6.460961
1060;6.449166
1070;6.327078
1080;6.189965
1090;6.216923
1100;6.197350
1110;6.050464
1120;6.034560
1130;5.991587
1140;5.891974
1150;5.836114
1160;5.851470
1170;5.762230
1180;5.770887
1190;5.693735
1200;5.611131
1210;5.605524
1220;5.536727
1230;5.469829
1240;5.452018
1250;5.389024
1260;5.336085
1270;5.313022
1280;5.234329
1290;5.243809
1300;5.170120
1310;5.144171
1320;5.089910
1330;5.019247
1340;5.037657
1350;4.969600
1360;4.928930
1370;4.904013
1380;4.883548
1390;4.816271
1400;4.824055
1410;4.772502
1420;4.778341
1430;4.698278
1440;4.647228
1450;4.703671
1460;4.625460
1470;4.597265
1480;4.588730
1490;4.534889
1500;4.532878
1510;4.471614
1520;4.446678
1530;4.374015
1540;4.424299
1550;4.396361
1560;4.346519
1570;4.349391
1580;4.299247
1590;4.294099
1600;4.208801
1610;4.262530
1620;4.224173
1630;4.180192
1640;4.094740
1650;4.100319
1660;4.109538
1670;4.097613
1680;4.059065
1690;4.119959
1700;3.981631
1710;3.973457
1720;3.989099
1730;3.964758
1740;3.954559
1750;3.930361
1760;3.808585
1770;3.869234
1780;3.908298
1790;3.900213
1800;3.873645
1810;3.806881
1820;3.819568
1830;3.781378
1840;3.773742
1850;3.797978
1860;3.775999
1870;3.712592
1880;3.722598
1890;3.668349
1900;3.706202
1910;3.674750
1920;3.642196
1930;3.584398
1940;3.615740
1950;3.580497
1960;3.606441
1970;3.612849
1980;3.535758
1990;3.583900
2000;3.516090
2010;3.549748
2020;3.542253
2030;3.489453
2040;3.476170
2050;3.510024
2060;3.486977
2070;3.510820
2080;3.486246
2090;3.477646
2100;3.466391
2110;3.462445
2120;3.435140
2130;3.411411
2140;3.387522
2150;3.369335
2160;3.405797
2170;3.333644
2180;3.372287
2190;3.282106
2200;3.308028
2210;3.381662
2220;3.409044
2230;3.318714
2240;3.364986
2250;3.306757
2260;3.368287
2270;3.264797
2280;3.297407
2290;3.260723
2300;3.266690
2310;3.289250
2320;3.275897
2330;3.253943
2340;3.302352
2350;3.216094
2360;3.248624
2370;3.232911
2380;3.291148
2390;3.205526
2400;3.244716
2410;3.210676
2420;3.193093
2430;3.238316
2440;3.185214
2450;3.190293
2460;3.189787
2470;3.093579
2480;3.194733
2490;3.165094
2500;3.067044
2510;3.079217
2520;3.181082
2530;3.138245
2540;3.168455
2550;3.176487
2560;3.092098
2570;3.157501
2580;3.128368
2590;3.150736
2600;3.148741
2610;3.098119
2620;3.114313
2630;3.110671
2640;3.092906
2650;3.147404
2660;3.089253
2670;3.048747
2680;3.112903
2690;3.108852
2700;3.094286
2710;3.042974
2720;3.045260
2730;3.098693
2740;3.045569
2750;3.030676
2760;3.038916
2770;3.078223
2780;3.020835
2790;3.065534
2800;3.069203
2810;3.030416
2820;3.042171
2830;3.010716
2840;3.024975
2850;3.043917
2860;2.986004
2870;2.995502
2880;3.037010
2890;2.984304
2900;2.998792
2910;3.034999
2920;3.002733
2930;3.013801
2940;3.013122
2950;2.975444
2960;2.944239
2970;3.013904
2980;2.969287
2990;2.974668
3000;3.024628
3010;2.938291
3020;2.972949
3030;2.936996
3040;2.954870
3050;2.969586
3060;2.944154
3070;2.977890
3080;2.985285
3090;2.964084
3100;2.963985
3110;2.949819
3120;3.023380
3130;2.966547
3140;2.920503
3150;2.923963
3160;2.942336
3170;2.948607
3180;2.939183
3190;2.938477
3200;2.948456
3210;2.989424
3220;2.968311
3230;2.964609
3240;2.923959
3250;2.913932
3260;2.948766
3270;2.930161
3280;2.936728
3290;2.883576
3300;2.961048
3310;2.961541
3320;2.953618
3330;2.900085
3340;2.949286
3350;2.870045
3360;2.951311
3370;2.945568
3380;2.921987
3390;2.947745
3400;2.904038
3410;2.914127
3420;2.948340
3430;2.865285
3440;2.982933
3450;2.878325
3460;2.914435
3470;2.887149
3480;2.945127
3490;2.982922
3500;2.903689
3510;2.860364
3520;2.917939
3530;2.904119
3540;2.878955
3550;2.930786
3560;2.860131
3570;2.939962
3580;2.923532
3590;2.876936
3600;2.876690
3610;2.898494
3620;2.906438
3630;2.846441
3640;2.908293
3650;2.864286
3660;2.849010
3670;2.888635
3680;2.906165
3690;2.910637
3700;2.871948
3710;2.911684
3720;2.873446
3730;2.938726
3740;2.896835
3750;2.937686
3760;2.922996
3770;2.893557
3780;2.883091
3790;2.893012
3800;2.879494
3810;2.899930
3820;2.847166
3830;2.920982
3840;2.873335
3850;2.874111
3860;2.892673
3870;2.929643
3880;2.883078
3890;2.899993
3900;2.890593
3910;2.815930
3920;2.884380
3930;2.886018
3940;2.855523
3950;2.855896
3960;2.889193
3970;2.849885
3980;2.838848
3990;2.891545
4000;2.884781
4010;2.873185
4020;2.856584
4030;2.863880
4040;2.832964
4050;2.850255
4060;2.853896
4070;2.878424
4080;2.808872
4090;2.845303
4100;2.891369
4110;2.873158
4120;2.895650
4130;2.894842
4140;2.847445
4150;2.852137
4160;2.856387
4170;2.854436
4180;2.841100
4190;2.854140
4200;2.827376
4210;2.831046
4220;2.849065
4230;2.885729
4240;2.841422
4250;2.873508
4260;2.873542
4270;2.832432
4280;2.835707
4290;2.830514
4300;2.863698
4310;2.834142
4320;2.882812
4330;2.868490
4340;2.831007
4350;2.833693
4360;2.798197
4370;2.864318
4380;2.906248
4390;2.871383
4400;2.848438
4410;2.885237
4420;2.875856
4430;2.836230
4440;2.872568
4450;2.911093
4460;2.898348
4470;2.873880
4480;2.904651
4490;2.835417
4500;2.879700
4510;2.846955
4520;2.875215
4530;2.876108
4540;2.820482
4550;2.847027
4560;2.797982
4570;2.828631
4580;2.883694
4590;2.823828
4600;2.875767
4610;2.834670
4620;2.858525
4630;2.815246
4640;2.784542
4650;2.789438
4660;2.817692
4670;2.815108
4680;2.828478
4690;2.825208
4700;2.829060
4710;2.847626
4720;2.787327
4730;2.803665
4740;2.786073
4750;2.891337
4760;2.841568
4770;2.819556
4780;2.853425
4790;2.865571
4800;2.882747
4810;2.808219
4820;2.854096
4830;2.758899
4840;2.850123
4850;2.871754
4860;2.840464
4870;2.835186
4880;2.853162
4890;2.851013
4900;2.873837
4910;2.844667
4920;2.805559
4930;2.836886
4940;2.853560
4950;2.840648
4960;2.820283
4970;2.793727
4980;2.839407
4990;2.761771
5000;2.790677
