Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.315502;-0.470476;-0.424576;-0.384104;-0.284940
-390;-0.436718;-0.419091;-0.279509;-0.379208;-0.263863
-380;-0.386129;-0.335343;-0.345765;-0.323855;-0.351797
-370;-0.369731;-0.374399;-0.505278;-0.479669;-0.375466
-360;-0.382503;-0.349942;-0.365197;-0.353126;-0.436604
-350;-0.443662;-0.350339;-0.401443;-0.345672;-0.369257
-340;-0.387009;-0.349540;-0.384121;-0.250984;-0.415287
-330;-0.349642;-0.379419;-0.373901;-0.334541;-0.349605
-320;-0.439944;-0.366642;-0.444814;-0.408806;-0.350006
-310;-0.275135;-0.414319;-0.411906;-0.366993;-0.277033
-300;-0.395565;-0.370703;-0.397671;-0.351933;-0.444331
-290;-0.471814;-0.368315;-0.357075;-0.385309;-0.437820
-280;-0.454933;-0.254980;-0.431272;-0.503387;-0.390340
-270;-0.473619;-0.401622;-0.369286;-0.423347;-0.416932
-260;-0.218968;-0.384997;-0.452262;-0.349218;-0.377596
-250;-0.436180;-0.380880;-0.529028;-0.399483;-0.333714
-240;-0.421842;-0.379575;-0.437834;-0.454024;-0.391291
-230;-0.391569;-0.269896;-0.445604;-0.425660;-0.351201
-220;-0.432129;-0.489610;-0.467355;-0.394077;-0.276368
-210;-0.452153;-0.367645;-0.375978;-0.379449;-0.494933
-200;-0.376531;-0.294153;-0.328307;-0.376307;-0.429014
-190;-0.455719;-0.398275;-0.292421;-0.443560;-0.357947
-180;-0.423440;-0.361139;-0.415742;-0.365645;-0.334157
-170;-0.415692;-0.358725;-0.375587;-0.457860;-0.332331
-160;-0.394468;-0.382397;-0.347783;-0.312226;-0.461819
-150;-0.468899;-0.450192;-0.418307;-0.313794;-0.392399
-140;-0.348166;-0.334551;-0.388911;-0.420391;-0.380788
-130;-0.318781;-0.461589;-0.353404;-0.319540;-0.457711
-120;-0.300837;-0.549795;-0.422552;-0.472974;-0.282148
-110;-0.439692;-0.324274;-0.399566;-0.258441;-0.354694
-100;-0.326760;-0.354876;-0.330987;-0.395064;-0.496244
-90;-0.334510;-0.361450;-0.345198;-0.420858;-0.425327
-80;-0.378527;-0.446045;-0.351343;-0.321192;-0.466242
-70;-0.364123;-0.427557;-0.340548;-0.313767;-0.439498
-60;-0.364003;-0.410053;-0.504163;-0.358899;-0.379687
-50;-0.428114;-0.295235;-0.483983;-0.339189;-0.525142
-40;-0.248617;-0.443213;-0.243643;-0.470382;-0.338205
-30;-0.339364;-0.393710;-0.435532;-0.342338;-0.388120
-20;-0.061765;-0.127532;0.022169;-0.132487;0.006151
-10;1.261611;1.151836;1.318110;1.314979;1.201606
0;3.158307;3.037018;3.131206;3.139937;3.244592
10;4.916539;4.904738;4.805160;4.863247;4.997322
20;6.588626;6.746008;6.581100;6.698982;6.688706
30;8.321872;8.410112;8.222977;8.333200;8.360804
40;10.112802;10.009525;10.013464;9.917620;10.047945
50;11.703644;11.645008;11.730148;11.587774;11.575965
60;13.311086;13.289491;13.150433;13.284948;13.287390
70;14.808110;14.810263;14.817695;14.920985;14.809101
80;16.516411;16.478678;16.294660;16.432202;16.466969
90;18.005397;17.863499;17.967973;17.886393;17.914336
100;19.519898;19.515400;19.494584;19.393614;19.564464
110;20.709613;20.567869;20.520091;20.613847;20.587548
120;20.917289;20.831696;20.762521;20.789633;20.693247
130;20.668645;20.527643;20.482748;20.545218;20.488145
140;20.246926;20.260611;20.179541;20.164388;20.160636
150;19.880839;19.940514;19.845330;19.752770;19.815851
160;19.670822;19.681058;19.513721;19.474141;19.654187
170;19.266717;19.410452;19.372639;19.367574;19.286950
180;19.087624;19.045100;18.997529;19.025291;19.134867
190;18.723852;18.869131;18.708141;18.866468;18.753268
200;18.506576;18.529556;18.496578;18.535125;18.389749
210;18.286387;18.324760;18.263870;18.411554;18.254346
220;17.909565;18.052880;18.028171;17.920838;18.014506
230;17.933341;17.797375;17.699788;17.714569;17.799437
240;17.572014;17.548849;17.461218;17.484553;17.387173
250;17.158462;17.208828;17.203187;17.172616;17.239135
260;16.979103;16.955171;17.007615;17.131137;16.974015
270;16.661594;16.764048;16.628080;16.687113;16.638573
280;16.439163;16.589082;16.538308;16.493999;16.452556
290;16.197671;16.286817;16.337387;16.306509;16.319183
300;16.087945;16.086610;16.091722;16.101018;15.899035
310;15.788496;15.731196;15.748675;15.815224;15.692989
320;15.605850;15.662718;15.561697;15.497580;15.575780
330;15.334773;15.543313;15.366349;15.449600;15.393341
340;15.154499;15.145103;15.168357;15.225655;15.154980
350;15.062712;14.920780;15.002654;14.961351;15.086525
